# Location,Grand Mesa
# Site,5N19
# PitID,COGM5N19_20200128
# Date/Local Time,2020-01-28T11:27
# UTM Zone,12N
# Easting,743219
# Northing,4324260
# Top (cm),Bottom (cm),Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
102.0,92.0,137.0,1.157,1.157,0.0,0.0
92.0,82.0,192.5,1.217,1.217,0.0,0.0
82.0,72.0,226.5,1.235,1.235,0.0,0.0
72.0,62.0,261.0,1.305,1.305,0.0,0.0
62.0,52.0,276.5,1.34,1.34,0.0,0.0
52.0,42.0,256.5,1.331,1.331,0.0,0.0
42.0,32.0,268.0,1.316,1.316,0.0,0.0
32.0,22.0,351.5,1.592,1.592,0.2,0.2
22.0,12.0,257.0,1.323,1.323,0.0,0.0
12.0,2.0,266.5,1.277,1.277,0.0,0.0
