# Location,Grand Mesa
# Site,5N19
# PitID,COGM5N19_20200128
# Date/Local Time,2020-01-28T11:27
# UTM Zone,12N
# Easting,743219
# Northing,4324260
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
102.0,99.0,< 1 mm,DF,F,M,Near Surface Faceted Grains/Radiation Recrystallization (NSFG/RR)
99.0,77.0,< 1 mm,DF,F,D,NaN
77.0,72.5,< 1 mm,RG,4F,D,NaN
72.5,72.0,4-6 mm ,PPGP,4F,D,Graupel layer surrounded by rounds (RG)
72.0,68.0,< 1 mm,RG,1F,D,NaN
68.0,51.0,1-2 mm,FC,F,D,NaN
51.0,31.5,1-2 mm,FC,F,D,NaN
31.5,22.5,1-2 mm,FC,1F/P,D,Rounding
22.5,10.0,2-4 mm,FC,F,D,NaN
10.0,0.0,1-2 mm,FC,4F,D,NaN
