
<<<<< Begin of task (503bce4a-f0e9-4d1e-bd96-dc3ac76d7b06) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\109-92cm\2n13_100-98cm_20um\2n13_100-98cm_20um_Rec\VOI\2n13_100-98cm_20um_rec_voi_0101.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1015
Total Z-position range, 101, 1115
Number of images inside VOI, 1015
Z-position range of VOI, 101, 1115
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/10/20 16:28:59 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 12/10/20 16:29:00 ]	Thresholding done

-----------------------------------------------------------------
[ 12/10/20 16:29:00 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4245 speckles removed
[ 12/10/20 16:29:03 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:29:03 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/10/20 16:29:06 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:29:57 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:51
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\109-92cm\2n13_100-98cm_20um\2n13_100-98cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_100-98cm_20um_rec_voi_1115.bmp,22.95939,421,95.03969,42.91536,45.15520,36.46641,657.50198,15.32090,0.10194,0.36026,-5.23865,270,151,15.14991,79.64704,26.09118,36.97441,52.12433,38.90418,54.84480,,,,,,,,,,,,149.88710,0.14955,0.13054,0.15855,3.45909,1.82370,14.46905,
2n13_100-98cm_20um_rec_voi_1114.bmp,22.93880,427,95.03969,42.73961,44.97028,36.46641,650.92637,15.23005,0.10009,0.35699,-4.72873,293,134,15.33044,72.76901,26.39990,36.96964,52.30008,38.89916,55.02972,,,,,,,,,,,,150.64679,0.12772,0.13132,0.16069,3.42450,1.82275,14.01810,
2n13_100-98cm_20um_rec_voi_1113.bmp,22.91821,415,95.03969,42.67103,44.89811,36.46641,641.27689,15.02839,0.10282,0.36182,-4.76039,281,134,15.29492,73.09726,26.38605,37.07374,52.36866,39.00869,55.10189,,,,,,,,,,,,175.01195,0.09630,0.13308,0.16333,3.37373,1.82122,13.68718,
2n13_100-98cm_20um_rec_voi_1112.bmp,22.89762,413,95.03969,42.54245,44.76282,36.46641,636.36685,14.95840,0.10301,0.36215,-4.36468,284,129,14.73646,64.59712,25.72755,37.76078,52.49724,39.73159,55.23718,,,,,,,,,,,,19.54866,0.11057,0.13370,0.16499,3.34790,1.78573,14.32594,
2n13_100-98cm_20um_rec_voi_1111.bmp,22.87703,407,95.03969,42.37645,44.58816,36.46641,637.18587,15.03632,0.10412,0.36410,-4.84345,271,136,14.85142,72.23263,25.95137,37.81182,52.66324,39.78530,55.41184,,,,,,,,,,,,32.91910,0.14454,0.13301,0.16530,3.35221,1.82078,14.12003,
2n13_100-98cm_20um_rec_voi_1110.bmp,22.85644,420,95.03969,42.21141,44.41450,36.46641,636.21040,15.07200,0.10050,0.35772,-4.78208,294,126,15.18145,72.90170,26.45181,37.64683,52.82828,39.61170,55.58550,,,,,,,,,,,,36.47386,0.14415,0.13270,0.16607,3.34708,1.82013,14.03017,
2n13_100-98cm_20um_rec_voi_1109.bmp,22.83585,422,95.03969,42.13625,44.33543,36.46641,627.41476,14.89014,0.09985,0.35656,-4.45430,284,138,15.19157,67.96154,26.49948,37.71186,52.90344,39.68012,55.66457,,,,,,,,,,,,38.88458,0.11822,0.13432,0.16864,3.30080,1.66157,14.23505,
2n13_100-98cm_20um_rec_voi_1108.bmp,22.81525,402,95.03969,42.24050,44.44512,36.46641,624.64567,14.78784,0.10508,0.36577,-4.72853,269,133,14.99059,71.19015,26.19309,37.80859,52.79918,39.78190,55.55488,,,,,,,,,,,,37.20615,0.11044,0.13525,0.16905,3.28624,1.81843,14.24108,
