
<<<<< Begin of task (6d983d2a-716f-46ef-81b6-060bf858cdf1) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\109-92cm\2n13_102-100cm_20um\2n13_102-100cm_20um_Rec\VOI\2n13_102-100cm_20um_rec_voi_0008.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1094
Total Z-position range, 7, 1100
Number of images inside VOI, 1094
Z-position range of VOI, 7, 1100
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/10/20 16:34:28 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 12/10/20 16:34:29 ]	Thresholding done

-----------------------------------------------------------------
[ 12/10/20 16:34:29 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4186 speckles removed
[ 12/10/20 16:34:32 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:34:32 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/10/20 16:34:35 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:35:35 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:00
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\109-92cm\2n13_102-100cm_20um\2n13_102-100cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_102-100cm_20um_rec_voi_1100.bmp,22.65052,332,95.03969,43.27868,45.53748,36.46641,590.80125,13.65109,0.13036,0.40740,-3.12052,238,94,13.92809,43.66924,24.34693,37.83292,51.76101,39.80749,54.46252,,,,,,,,,,,,171.89540,0.28362,0.14651,0.17522,3.10818,1.80888,14.32344,
2n13_102-100cm_20um_rec_voi_1099.bmp,22.62993,318,95.03969,43.19118,45.44541,36.46641,588.98542,13.63671,0.13582,0.41585,-2.97934,233,85,14.25791,42.68171,24.81835,37.59060,51.84851,39.55253,54.55459,,,,,,,,,,,,167.44284,0.28861,0.14666,0.17606,3.09863,1.81495,14.66789,
2n13_102-100cm_20um_rec_voi_1098.bmp,22.60934,305,95.03969,42.92956,45.17014,36.46641,580.37793,13.51931,0.14075,0.42333,-2.75780,220,85,14.34171,39.76173,25.04171,37.76841,52.11012,39.73962,54.82986,,,,,,,,,,,,164.92066,0.28266,0.14794,0.17957,3.05335,1.81559,14.89233,
2n13_102-100cm_20um_rec_voi_1097.bmp,22.58875,333,95.03969,42.54716,44.76779,36.46641,572.29304,13.45079,0.12777,0.40334,-2.24248,255,78,14.09642,31.83758,24.88617,38.39610,52.49252,40.40007,55.23221,,,,,,,,,,,,160.22139,0.27502,0.14869,0.18345,3.01081,1.81503,15.01984,
2n13_102-100cm_20um_rec_voi_1096.bmp,22.56816,321,95.03969,42.18623,44.38801,36.46641,564.97856,13.39249,0.13142,0.40906,-1.84329,256,65,13.81695,25.68778,24.67172,39.03651,52.85346,41.07390,55.61199,,,,,,,,,,,,157.68789,0.25977,0.14934,0.18710,2.97233,1.81259,15.53255,
2n13_102-100cm_20um_rec_voi_1095.bmp,22.54757,328,95.03969,41.85916,44.04388,36.46641,558.55754,13.34373,0.12762,0.40310,-1.52462,270,58,13.65932,21.05139,24.60320,39.52120,53.18052,41.58389,55.95612,,,,,,,,,,,,153.02812,0.23519,0.14988,0.19042,2.93855,1.81099,15.64361,
2n13_102-100cm_20um_rec_voi_1094.bmp,22.52697,305,95.03969,41.61965,43.79187,36.46641,549.42895,13.20119,0.13646,0.41683,-1.09430,255,50,13.64920,15.11022,24.69601,39.77083,53.42003,41.84655,56.20813,,,,,,,,,,,,148.53857,0.22360,0.15150,0.19446,2.89052,1.76056,15.10824,
2n13_102-100cm_20um_rec_voi_1093.bmp,22.50638,318,95.03969,41.55828,43.72729,36.46641,548.72591,13.20377,0.13069,0.40792,-1.17653,262,56,13.60723,16.16270,24.66619,39.87418,53.48141,41.95530,56.27271,,,,,,,,,,,,137.51814,0.20207,0.15147,0.19493,2.88683,1.71856,14.67082,
