
<<<<< Begin of task (5baac05d-0eba-4204-aabd-4bb1d33ecdc1) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\109-92cm\2n13_104-102cm_20um\2n13_104-102cm_20um_Rec\VOI\2n13_104-102cm_20um_rec_voi_0037.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1019
Total Z-position range, 36, 1054
Number of images inside VOI, 1019
Z-position range of VOI, 36, 1054
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/10/20 16:47:09 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 12/10/20 16:47:10 ]	Thresholding done

-----------------------------------------------------------------
[ 12/10/20 16:47:10 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2738 speckles removed
[ 12/10/20 16:47:13 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:47:13 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/10/20 16:47:16 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:48:18 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:02
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\109-92cm\2n13_104-102cm_20um\2n13_104-102cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_104-102cm_20um_rec_voi_1054.bmp,21.70332,19,95.03969,4.12870,4.34418,36.46641,53.24358,12.89598,0.21730,0.52600,-0.17125,14,5,1.62723,12.64098,28.27046,89.28376,90.91099,93.94366,95.65582,,,,,,,,,,,,65.86074,0.80732,0.15509,3.41491,0.28011,1.24906,2.41073,
2n13_104-102cm_20um_rec_voi_1053.bmp,21.68273,23,95.03969,4.22860,4.44930,36.46641,55.42591,13.10738,0.18385,0.48383,1.61203,16,7,0.96265,4.17959,18.54370,89.84843,90.81108,94.53780,95.55070,,,,,,,,,,,,64.35911,0.81984,0.15259,3.27685,0.29159,1.23310,2.27969,
2n13_104-102cm_20um_rec_voi_1052.bmp,21.66214,23,95.03969,4.36322,4.59095,36.46641,57.55671,13.19132,0.18971,0.49147,2.86195,14,9,1.60401,11.41720,26.88031,89.07245,90.67646,93.72132,95.40905,,,,,,,,,,,,63.76627,0.82661,0.15161,3.15086,0.30280,1.23303,2.49663,
2n13_104-102cm_20um_rec_voi_1051.bmp,21.64155,27,95.03969,4.44585,4.67789,36.46641,59.19367,13.31436,0.16466,0.45788,3.96337,18,9,1.54099,12.52000,25.73966,89.05284,90.59383,93.70069,95.32211,,,,,,,,,,,,61.75025,0.82703,0.15021,3.06093,0.31142,1.20926,2.68445,
2n13_104-102cm_20um_rec_voi_1050.bmp,21.62095,29,95.03969,4.51226,4.74777,36.46641,60.24944,13.35238,0.15560,0.44510,4.47908,23,6,1.06245,1.85837,19.05839,89.46497,90.52742,94.13433,95.25223,,,,,,,,,,,,60.70938,0.82801,0.14979,3.00509,0.31697,1.18279,2.66489,
2n13_104-102cm_20um_rec_voi_1049.bmp,21.60036,29,95.03969,4.60544,4.84580,36.46641,62.41264,13.55195,0.15881,0.44967,2.96270,23,6,1.44808,5.98472,23.92134,88.98617,90.43425,93.63053,95.15420,,,,,,,,,,,,61.22877,0.84367,0.14758,2.89795,0.32835,1.18475,2.89036,
2n13_104-102cm_20um_rec_voi_1048.bmp,21.57977,27,95.03969,4.70004,4.94535,36.46641,65.13206,13.85776,0.17408,0.47079,2.12186,20,7,1.12282,6.51923,19.28293,89.21682,90.33964,93.87323,95.05465,,,,,,,,,,,,61.38058,0.85577,0.14432,2.77405,0.34266,1.18479,2.84315,
2n13_104-102cm_20um_rec_voi_1047.bmp,21.55918,26,95.03969,4.78500,5.03474,36.46641,66.00604,13.79435,0.18404,0.48407,0.97770,21,5,1.51953,8.69864,24.10216,88.73516,90.25468,93.36642,94.96526,,,,,,,,,,,,61.51216,0.86117,0.14499,2.73474,0.34726,1.18694,3.04803,
