
<<<<< Begin of task (e3b23af6-3323-4b32-9570-561d2df8df35) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\109-92cm\2n13_106-104cm_20um\2n13_106-104cm_20um_Rec\VOI\2n13_106-104cm_20um_rec_voi_0066.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1038
Total Z-position range, 64, 1101
Number of images inside VOI, 1038
Z-position range of VOI, 64, 1101
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/10/20 16:52:28 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 12/10/20 16:52:29 ]	Thresholding done

-----------------------------------------------------------------
[ 12/10/20 16:52:29 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3769 speckles removed
[ 12/10/20 16:52:32 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:52:32 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/10/20 16:52:35 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:53:23 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:48
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\109-92cm\2n13_106-104cm_20um\2n13_106-104cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_106-104cm_20um_rec_voi_1101.bmp,22.67111,395,95.03969,35.92495,37.79994,36.46641,563.65707,15.68985,0.09095,0.34029,-2.45844,304,91,13.37148,32.95758,27.12464,45.74326,59.11474,48.13070,62.20006,,,,,,,,,,,,92.35096,0.28887,0.12747,0.20975,2.96538,1.79624,9.93922,
2n13_106-104cm_20um_rec_voi_1100.bmp,22.65052,391,95.03969,35.87984,37.75248,36.46641,557.10180,15.52687,0.09176,0.34182,-2.35581,299,92,13.54495,31.99125,27.40517,45.61489,59.15984,47.99563,62.24752,,,,,,,,,,,,95.55196,0.29077,0.12881,0.21238,2.93089,1.79779,9.88951,
2n13_106-104cm_20um_rec_voi_1099.bmp,22.62993,392,95.03969,35.94037,37.81617,36.46641,555.96675,15.46914,0.09168,0.34167,-1.77784,312,80,13.47329,24.01664,27.26633,45.62602,59.09932,48.00734,62.18383,,,,,,,,,,,,95.15362,0.29060,0.12929,0.21260,2.92492,1.79255,9.88598,
2n13_106-104cm_20um_rec_voi_1098.bmp,22.60934,409,95.03969,35.95495,37.83151,36.46641,550.99176,15.32451,0.08791,0.33456,-1.61161,331,78,13.47430,21.91082,27.25977,45.61044,59.08474,47.99094,62.16849,,,,,,,,,,,,93.93833,0.28764,0.13051,0.21447,2.89875,1.79354,9.62432,
2n13_106-104cm_20um_rec_voi_1097.bmp,22.58875,374,95.03969,36.12598,38.01147,36.46641,540.87086,14.97180,0.09659,0.35069,-1.42615,302,72,13.33560,19.21259,26.96153,45.57811,58.91371,47.95693,61.98853,,,,,,,,,,,,90.02757,0.28460,0.13358,0.21785,2.84550,1.68189,9.57814,
2n13_106-104cm_20um_rec_voi_1096.bmp,22.56816,383,95.03969,36.02941,37.90986,36.46641,531.57960,14.75405,0.09407,0.34609,-0.81116,326,57,13.29998,11.00451,26.96157,45.71030,59.01028,48.09601,62.09014,,,,,,,,,,,,87.89733,0.29348,0.13556,0.22202,2.79662,1.74258,9.84979,
2n13_106-104cm_20um_rec_voi_1095.bmp,22.54757,392,95.03969,35.71093,37.57476,36.46641,521.34928,14.59915,0.09110,0.34057,-0.69906,349,43,13.02968,9.31037,26.73269,46.29908,59.32876,48.71552,62.42524,,,,,,,,,,,,90.22592,0.30509,0.13699,0.22760,2.74280,1.78695,9.91906,
2n13_106-104cm_20um_rec_voi_1094.bmp,22.52697,371,95.03969,35.40310,37.25086,36.46641,513.74138,14.51120,0.09543,0.34857,-0.76396,322,49,12.87704,10.02753,26.67150,46.75955,59.63658,49.20002,62.74914,,,,,,,,,,,,90.06534,0.31235,0.13782,0.23217,2.70277,1.74656,10.29263,
