
<<<<< Begin of task (409029d6-26fe-4c87-b597-9d86364bfd6e) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\124-107cm\2n13_109-107cm_20um\2n13_109-107cm_20um_Rec\VOI\2n13_109-107cm_20um_rec_voi_0088.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1015
Total Z-position range, 88, 1102
Number of images inside VOI, 1015
Z-position range of VOI, 88, 1102
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/11/20 12:16:47 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/11/20 12:16:48 ]	Thresholding done

-----------------------------------------------------------------
[ 12/11/20 12:16:48 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2878 speckles removed
[ 12/11/20 12:16:51 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:16:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/11/20 12:16:53 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:17:35 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:42
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\124-107cm\2n13_109-107cm_20um\2n13_109-107cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_109-107cm_20um_rec_voi_1102.bmp,22.69171,442,95.03969,32.36341,34.05252,36.46641,526.42354,16.26601,0.07322,0.30533,-0.97765,376,66,13.00159,12.91405,28.65995,49.67469,62.67628,52.26731,65.94748,,,,,,,,,,,,90.21953,0.10985,0.12296,0.23812,2.76949,1.77880,11.63985,
2n13_109-107cm_20um_rec_voi_1101.bmp,22.67111,444,95.03969,32.34030,34.02821,36.46641,523.88263,16.19906,0.07284,0.30453,-1.21720,377,67,13.08989,16.15265,28.81319,49.60950,62.69939,52.19872,65.97179,,,,,,,,,,,,99.30593,0.13082,0.12346,0.23936,2.75613,1.77805,10.75356,
2n13_109-107cm_20um_rec_voi_1100.bmp,22.65052,448,95.03969,32.27564,33.96017,36.46641,518.32558,16.05934,0.07204,0.30287,-0.93704,385,63,13.16361,12.50722,28.96969,49.60044,62.76405,52.18918,66.03983,,,,,,,,,,,,96.53906,0.15713,0.12454,0.24218,2.72689,1.77629,10.77519,
2n13_109-107cm_20um_rec_voi_1099.bmp,22.62993,419,95.03969,32.08161,33.75601,36.46641,510.75316,15.92044,0.07657,0.31223,-0.43198,367,52,12.84889,5.69521,28.59726,50.10919,62.95808,52.72449,66.24399,,,,,,,,,,,,95.63527,0.17931,0.12562,0.24653,2.68705,1.77564,10.71092,
2n13_109-107cm_20um_rec_voi_1098.bmp,22.60934,406,95.03969,32.08977,33.76460,36.46641,503.43333,15.68828,0.07904,0.31723,-0.37073,349,57,12.66063,4.83815,28.29167,50.28929,62.94992,52.91399,66.23540,,,,,,,,,,,,94.43095,0.20049,0.12748,0.25008,2.64854,1.77281,10.62709,
2n13_109-107cm_20um_rec_voi_1097.bmp,22.58875,400,95.03969,32.11982,33.79622,36.46641,497.54283,15.49021,0.08030,0.31975,-0.31437,344,56,12.59857,4.02242,28.17313,50.32130,62.91987,52.94767,66.20378,,,,,,,,,,,,88.95671,0.21638,0.12911,0.25292,2.61755,1.77238,10.52163,
2n13_109-107cm_20um_rec_voi_1096.bmp,22.56816,401,95.03969,32.20271,33.88344,36.46641,495.06723,15.37346,0.08031,0.31976,-0.17535,353,48,12.56332,2.26312,28.06441,50.27365,62.83698,52.89753,66.11656,,,,,,,,,,,,81.90846,0.22658,0.13009,0.25385,2.60453,1.76950,10.89021,
2n13_109-107cm_20um_rec_voi_1095.bmp,22.54757,370,95.03969,32.28232,33.96720,36.46641,491.61515,15.22862,0.08725,0.33330,0.15470,327,43,12.43708,-1.80963,27.81137,50.32029,62.75737,52.94661,66.03280,,,,,,,,,,,,79.24817,0.22674,0.13133,0.25531,2.58637,1.77102,11.38733,
