
<<<<< Begin of task (192156b4-51ab-4d3d-ba5c-4f4341353d13) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\124-107cm\2n13_113.5-111.5cm_20um\2n13_113.5-111.5cm_20um_Rec\VOI\2n13_113.5-111.5cm_20um_rec_voi_0018.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 981
Total Z-position range, 18, 998
Number of images inside VOI, 981
Z-position range of VOI, 18, 998
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/11/20 12:26:09 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/11/20 12:26:09 ]	Thresholding done

-----------------------------------------------------------------
[ 12/11/20 12:26:09 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2660 speckles removed
[ 12/11/20 12:26:12 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:26:12 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/11/20 12:26:15 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:26:52 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\124-107cm\2n13_113.5-111.5cm_20um\2n13_113.5-111.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_113.5-111.5cm_20um_rec_voi_0998.bmp,20.55020,53,95.03969,8.78820,9.24687,36.46641,107.85875,12.27314,0.16582,0.45948,0.69388,49,4,2.84052,-1.58171,24.42675,83.41098,86.25149,87.76436,90.75313,,,,,,,,,,,,22.15096,0.71580,0.16296,1.59934,0.56744,1.59300,0.00000,
2n13_113.5-111.5cm_20um_rec_voi_0997.bmp,20.52961,60,95.03969,8.86346,9.32606,36.46641,107.80758,12.16315,0.14772,0.43369,-0.13134,56,4,2.77220,-3.85226,23.82503,83.40403,86.17623,87.75706,90.67394,,,,,,,,,,,,19.97516,0.72326,0.16443,1.59870,0.56717,1.58879,0.00000,
2n13_113.5-111.5cm_20um_rec_voi_0996.bmp,20.50902,58,95.03969,9.05028,9.52264,36.46641,109.77279,12.12921,0.15604,0.44573,-0.05966,55,3,2.95786,-0.71102,24.63212,83.03154,85.98940,87.36513,90.47736,,,,,,,,,,,,19.02383,0.73273,0.16489,1.56668,0.57751,1.58653,0.00000,
2n13_113.5-111.5cm_20um_rec_voi_0995.bmp,20.48843,61,95.03969,9.37422,9.86348,36.46641,114.00341,12.16137,0.15368,0.44234,-0.03773,56,5,3.06397,0.00029,24.63354,82.60150,85.66546,86.91264,90.13652,,,,,,,,,,,,17.80706,0.74586,0.16446,1.50286,0.59977,1.59932,0.00000,
2n13_113.5-111.5cm_20um_rec_voi_0994.bmp,20.46784,58,95.03969,9.66016,10.16434,36.46641,116.06462,12.01477,0.16655,0.46050,-0.50310,51,7,3.06142,-0.50975,24.06479,82.31810,85.37953,86.61445,89.83566,,,,,,,,,,,,16.82587,0.75191,0.16646,1.47124,0.61061,1.60539,0.00000,
2n13_113.5-111.5cm_20um_rec_voi_0993.bmp,20.44724,54,95.03969,9.88324,10.39907,36.46641,118.51989,11.99201,0.18302,0.48273,0.04559,47,7,3.42570,6.08550,25.73982,81.73075,85.15645,85.99644,89.60093,,,,,,,,,,,,16.46601,0.75874,0.16678,1.43700,0.62353,1.61382,0.00000,
2n13_113.5-111.5cm_20um_rec_voi_0992.bmp,20.42665,52,95.03969,10.16462,10.69513,36.46641,121.48812,11.95206,0.19547,0.49888,0.46068,43,9,3.39830,3.62074,25.05578,81.47677,84.87507,85.72921,89.30487,,,,,,,,,,,,15.68352,0.76746,0.16734,1.39726,0.63914,1.61224,0.00000,
2n13_113.5-111.5cm_20um_rec_voi_0991.bmp,20.40606,54,95.03969,10.41357,10.95707,36.46641,121.61959,11.67896,0.19284,0.49552,0.49316,46,8,3.40688,2.36113,24.65102,81.21924,84.62612,85.45824,89.04293,,,,,,,,,,,,15.36387,0.77330,0.17125,1.39165,0.63984,1.61429,0.00000,
