
<<<<< Begin of task (243a49da-56fb-4c81-a530-44c2f9e6cf90) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\124-107cm\2n13_117-115cm_20um\2n13_117-115cm_20um_Rec\VOI\2n13_117-115cm_20um_rec_voi_0011.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1098
Total Z-position range, 11, 1108
Number of images inside VOI, 1098
Z-position range of VOI, 11, 1108
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/11/20 12:43:04 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/11/20 12:43:05 ]	Thresholding done

-----------------------------------------------------------------
[ 12/11/20 12:43:05 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5371 speckles removed
[ 12/11/20 12:43:08 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:43:08 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/11/20 12:43:11 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:44:16 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:05
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\124-107cm\2n13_117-115cm_20um\2n13_117-115cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_117-115cm_20um_rec_voi_1108.bmp,22.81525,464,95.03969,29.61003,31.15543,36.46641,484.35264,16.35772,0.06381,0.28505,-1.04839,388,76,11.97565,12.62784,28.79754,53.45401,65.42966,56.24388,68.84457,,,,,,,,,,,,40.74305,0.23302,0.12227,0.27017,2.54816,1.70556,9.98876,
2n13_117-115cm_20um_rec_voi_1107.bmp,22.79466,449,95.03969,29.39060,30.92456,36.46641,480.44513,16.34690,0.06546,0.28869,-0.97611,374,75,12.41137,12.27511,29.69087,53.23771,65.64908,56.01630,69.07544,,,,,,,,,,,,37.32026,0.23017,0.12235,0.27328,2.52760,1.66406,10.19260,
2n13_117-115cm_20um_rec_voi_1106.bmp,22.77407,431,95.03969,29.36585,30.89852,36.46641,476.23071,16.21716,0.06813,0.29454,-1.15843,358,73,12.38784,14.45537,29.66885,53.28600,65.67383,56.06710,69.10148,,,,,,,,,,,,39.44722,0.21551,0.12333,0.27581,2.50543,1.74425,10.18407,
2n13_117-115cm_20um_rec_voi_1105.bmp,22.75348,432,95.03969,29.51971,31.06041,36.46641,471.29206,15.96533,0.06833,0.29496,-0.74633,366,66,12.30330,9.29154,29.41754,53.21667,65.51997,55.99416,68.93959,,,,,,,,,,,,36.94706,0.19781,0.12527,0.27804,2.47945,1.74229,10.16348,
2n13_117-115cm_20um_rec_voi_1104.bmp,22.73289,389,95.03969,29.72806,31.27963,36.46641,460.76760,15.49942,0.07642,0.31193,-1.04676,327,62,12.15851,12.79742,29.02722,53.15312,65.31163,55.92729,68.72037,,,,,,,,,,,,24.40246,0.18350,0.12904,0.28349,2.42408,1.74256,10.00332,
2n13_117-115cm_20um_rec_voi_1103.bmp,22.71230,395,95.03969,29.59953,31.14439,36.46641,455.25431,15.38046,0.07494,0.30889,-0.85810,334,61,11.98122,10.39162,28.81434,53.45894,65.44015,56.24907,68.85561,,,,,,,,,,,,7.16968,0.18210,0.13004,0.28749,2.39507,1.73844,10.16098,
2n13_117-115cm_20um_rec_voi_1102.bmp,22.69171,368,95.03969,29.44445,30.98122,36.46641,446.00617,15.14738,0.08001,0.31918,-0.23768,308,60,11.30318,2.78921,27.73948,54.29205,65.59523,57.12567,69.01878,,,,,,,,,,,,178.60855,0.20330,0.13204,0.29414,2.34642,1.73569,10.33321,
2n13_117-115cm_20um_rec_voi_1101.bmp,22.67111,365,95.03969,29.33050,30.86132,36.46641,440.66846,15.02424,0.08036,0.31987,-0.41432,309,56,11.33323,4.80046,27.87062,54.37595,65.70919,57.21394,69.13868,,,,,,,,,,,,174.86496,0.19878,0.13312,0.29823,2.31834,1.70381,10.54558,
