
<<<<< Begin of task (49663d73-80b5-424e-addc-25bf10d94b82) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\124-107cm\2n13_121-119cm_20um_redo\2n13_121-119cm_20um_redo_Rec\VOI\2n13_121-119cm_20um_redo_rec_voi_0075.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 534, 534
Total number of images, 1020
Total Z-position range, 74, 1093
Number of images inside VOI, 1020
Z-position range of VOI, 74, 1093
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/11/20 12:54:54 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/11/20 12:54:54 ]	Thresholding done

-----------------------------------------------------------------
[ 12/11/20 12:54:54 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3338 speckles removed
[ 12/11/20 12:54:57 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:54:57 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/11/20 12:55:00 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:55:53 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:53
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\124-107cm\2n13_121-119cm_20um_redo\2n13_121-119cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_121-119cm_20um_redo_rec_voi_1093.bmp,22.50638,386,94.69306,42.16503,44.52811,36.43229,613.41118,14.54787,0.10924,0.37294,-2.55425,324,62,14.56648,37.27143,25.67618,37.96155,52.52803,40.08905,55.47189,,,,,,,,,,,,23.91669,0.29100,0.13748,0.17127,3.23894,1.82486,16.61829,
2n13_121-119cm_20um_redo_rec_voi_1092.bmp,22.48579,354,94.69306,42.24957,44.61738,36.43229,609.83327,14.43407,0.11935,0.38982,-2.65165,290,64,14.77525,39.24391,25.91022,37.66824,52.44350,39.77931,55.38262,,,,,,,,,,,,24.14747,0.29472,0.13856,0.17199,3.22005,1.82351,16.37016,
2n13_121-119cm_20um_redo_rec_voi_1091.bmp,22.46520,352,94.69306,42.01970,44.37464,36.43229,601.85508,14.32316,0.11937,0.38986,-1.69422,299,53,14.19135,24.09578,25.24654,38.48202,52.67336,40.63868,55.62536,,,,,,,,,,,,24.92357,0.30182,0.13963,0.17504,3.17793,1.82216,16.00908,
2n13_121-119cm_20um_redo_rec_voi_1090.bmp,22.44461,335,94.69306,41.66359,43.99857,36.43229,591.16639,14.18904,0.12437,0.39793,-1.56819,282,53,14.22315,22.31029,25.44995,38.80633,53.02947,40.98117,56.00143,,,,,,,,,,,,26.47976,0.30775,0.14095,0.17941,3.12149,1.82069,15.35283,
2n13_121-119cm_20um_redo_rec_voi_1089.bmp,22.42402,352,94.69306,41.17180,43.47921,36.43229,582.64192,14.15148,0.11697,0.38591,-1.39171,288,64,14.14751,19.69372,25.57428,39.37375,53.52127,41.58040,56.52079,,,,,,,,,,,,28.75049,0.31919,0.14133,0.18372,3.07648,1.81360,15.01088,
2n13_121-119cm_20um_redo_rec_voi_1088.bmp,22.40343,359,94.69306,40.76353,43.04807,36.43229,578.16698,14.18344,0.11355,0.38023,-0.70142,309,50,14.13193,9.91484,25.74335,39.79760,53.92953,42.02800,56.95193,,,,,,,,,,,,29.63479,0.34444,0.14101,0.18655,3.05285,1.81088,14.90439,
2n13_121-119cm_20um_redo_rec_voi_1087.bmp,22.38284,355,94.69306,40.60941,42.88530,36.43229,569.70473,14.02889,0.11439,0.38164,-0.69784,305,50,14.22044,9.92604,25.93559,39.86321,54.08365,42.09729,57.11470,,,,,,,,,,,,28.51501,0.37167,0.14256,0.18987,3.00817,1.81059,14.70554,
2n13_121-119cm_20um_redo_rec_voi_1086.bmp,22.36224,367,94.69306,40.33990,42.60069,36.43229,560.17602,13.88640,0.10992,0.37410,-0.47629,320,47,13.87339,6.60972,25.59039,40.47977,54.35316,42.74840,57.39931,,,,,,,,,,,,27.55082,0.39393,0.14403,0.19406,2.95785,1.77121,14.27416,
