
<<<<< Begin of task (64096a81-34cb-4b4e-8c01-22fac692be09) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\124-107cm\2n13_122-120cm_20um_redo\2n13_122-120cm_20um_redo_Rec\VOI\2n13_122-120cm_20um_redo_rec_voi_0019.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1094
Total Z-position range, 13, 1106
Number of images inside VOI, 1094
Z-position range of VOI, 13, 1106
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/11/20 13:00:28 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/11/20 13:00:29 ]	Thresholding done

-----------------------------------------------------------------
[ 12/11/20 13:00:29 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5702 speckles removed
[ 12/11/20 13:00:32 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 13:00:32 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/11/20 13:00:36 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 13:01:46 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:10
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\124-107cm\2n13_122-120cm_20um_redo\2n13_122-120cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_122-120cm_20um_redo_rec_voi_1106.bmp,22.77407,396,95.03969,45.72688,48.11346,36.46641,744.35137,16.27820,0.11547,0.38344,-5.92262,236,160,16.28980,96.73519,26.26680,33.02300,49.31280,34.74654,51.88654,,,,,,,,,,,,111.82587,0.21105,0.12286,0.13250,3.91600,1.67236,13.41949,
2n13_122-120cm_20um_redo_rec_voi_1105.bmp,22.75348,413,95.03969,45.77522,48.16432,36.46641,745.35289,16.28289,0.11084,0.37566,-6.18618,250,163,17.27074,107.12546,27.39388,31.99373,49.26447,33.66355,51.83568,,,,,,,,,,,,108.41353,0.21282,0.12283,0.13219,3.92127,1.81197,13.10063,
2n13_122-120cm_20um_redo_rec_voi_1104.bmp,22.73289,427,95.03969,45.59062,47.97009,36.46641,744.01127,16.31939,0.10677,0.36870,-6.41330,264,163,16.58570,106.71349,26.67527,32.86336,49.44907,34.57857,52.02991,,,,,,,,,,,,107.29543,0.21262,0.12255,0.13293,3.91421,1.84515,13.19152,
2n13_122-120cm_20um_redo_rec_voi_1103.bmp,22.71230,418,95.03969,45.37507,47.74328,36.46641,739.09795,16.28864,0.10855,0.37177,-6.47662,255,163,17.33285,112.58621,27.64061,32.33177,49.66462,34.01923,52.25672,,,,,,,,,,,,101.90325,0.20860,0.12278,0.13439,3.88836,1.84633,13.53348,
2n13_122-120cm_20um_redo_rec_voi_1102.bmp,22.69171,423,95.03969,45.07885,47.43160,36.46641,729.50293,16.18282,0.10657,0.36836,-5.91965,258,165,16.53233,98.17508,26.83333,33.42851,49.96084,35.17321,52.56840,,,,,,,,,,,,95.85917,0.20009,0.12359,0.13697,3.83789,1.65234,14.37608,
2n13_122-120cm_20um_redo_rec_voi_1101.bmp,22.67111,415,95.03969,44.89101,47.23396,36.46641,721.85970,16.08027,0.10817,0.37112,-5.49910,271,144,16.42882,90.63456,26.79202,33.71986,50.14868,35.47976,52.76604,,,,,,,,,,,,89.12758,0.18643,0.12438,0.13894,3.79768,1.84313,13.86586,
2n13_122-120cm_20um_redo_rec_voi_1100.bmp,22.65052,384,95.03969,44.99357,47.34187,36.46641,717.79053,15.95318,0.11717,0.38625,-5.99628,228,156,16.43401,98.85021,26.75348,33.61210,50.04612,35.36639,52.65813,,,,,,,,,,,,86.11964,0.17023,0.12537,0.13944,3.77627,1.83670,14.15414,
2n13_122-120cm_20um_redo_rec_voi_1099.bmp,22.62993,381,95.03969,45.11966,47.47454,36.46641,711.22597,15.76311,0.11842,0.38831,-5.79932,228,153,16.54706,96.27432,26.83305,33.37297,49.92003,35.11477,52.52546,,,,,,,,,,,,80.66352,0.16765,0.12688,0.14038,3.74173,1.81907,14.28165,
