
<<<<< Begin of task (e35feaae-f844-47b7-b490-d27e45b28872) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\124-107cm\2n13_124-122cm_20um_redo\2n13_124-122cm_20um_redo_Rec\VOI\2n13_124-122cm_20um_redo_rec_voi_0008.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 944
Total Z-position range, 7, 950
Number of images inside VOI, 944
Z-position range of VOI, 7, 950
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/11/20 13:06:30 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/11/20 13:06:32 ]	Thresholding done

-----------------------------------------------------------------
[ 12/11/20 13:06:32 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5769 speckles removed
[ 12/11/20 13:06:36 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 13:06:36 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/11/20 13:06:39 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 13:08:24 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:45
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\124-107cm\2n13_124-122cm_20um_redo\2n13_124-122cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_124-122cm_20um_redo_rec_voi_0950.bmp,19.56182,96,95.03969,16.14378,16.98636,36.46641,232.21604,14.38424,0.16816,0.46272,-13.33872,74,22,8.90718,118.97470,35.55624,69.98872,78.89590,73.64158,83.01364,,,,,,,,,,,,44.03680,0.90745,0.13904,0.67950,1.22168,1.72475,5.99138,
2n13_124-122cm_20um_redo_rec_voi_0949.bmp,19.54122,84,95.03969,16.40179,17.25783,36.46641,235.88009,14.38136,0.19526,0.49861,-12.13992,60,24,7.84701,95.41428,32.36040,70.79089,78.63790,74.48561,82.74217,,,,,,,,,,,,43.76752,0.90620,0.13907,0.66676,1.24096,1.72243,6.47291,
2n13_124-122cm_20um_redo_rec_voi_0948.bmp,19.52063,76,95.03969,16.74518,17.61915,36.46641,238.90242,14.26694,0.22033,0.52966,-10.67962,41,35,7.33100,78.43084,30.44917,70.96351,78.29451,74.66724,82.38085,,,,,,,,,,,,43.62085,0.90522,0.14018,0.65545,1.25686,1.73318,6.92781,
2n13_124-122cm_20um_redo_rec_voi_0947.bmp,19.50004,79,95.03969,17.11587,18.00918,36.46641,238.14650,13.91378,0.21666,0.52522,-9.46712,45,34,7.12170,67.54745,29.38289,70.80212,77.92382,74.49743,81.99082,,,,,,,,,,,,43.63367,0.90332,0.14374,0.65442,1.25288,1.72937,6.75705,
2n13_124-122cm_20um_redo_rec_voi_0946.bmp,19.47945,74,95.03969,17.45369,18.36464,36.46641,235.33265,13.48326,0.23586,0.54800,-10.84264,53,21,7.83588,85.11294,30.98463,69.75011,77.58599,73.39051,81.63536,,,,,,,,,,,,43.61406,0.90206,0.14833,0.65937,1.23808,1.72913,7.27579,
2n13_124-122cm_20um_redo_rec_voi_0945.bmp,19.45886,83,95.03969,17.74302,18.66907,36.46641,239.11576,13.47661,0.21377,0.52171,-10.63587,45,38,7.99387,85.15448,31.05998,69.30279,77.29666,72.91984,81.33093,,,,,,,,,,,,43.61105,0.90152,0.14841,0.64652,1.25798,1.73260,7.81410,
2n13_124-122cm_20um_redo_rec_voi_0944.bmp,19.43827,84,95.03969,18.10502,19.04996,36.46641,246.55015,13.61778,0.21554,0.52386,-6.60214,51,33,6.65137,44.00737,26.86728,70.28330,76.93467,73.95153,80.95004,,,,,,,,,,,,43.49416,0.90157,0.14687,0.62409,1.29709,1.72607,8.29416,
2n13_124-122cm_20um_redo_rec_voi_0943.bmp,19.41768,81,95.03969,18.37744,19.33660,36.46641,250.63067,13.63795,0.22688,0.53747,-5.31301,53,28,6.66578,35.48275,26.61712,69.99646,76.66225,73.64972,80.66340,,,,,,,,,,,,43.47531,0.89965,0.14665,0.61175,1.31856,1.72127,8.15708,
