
<<<<< Begin of task (706f73a9-bdce-4c88-b377-adec6255c414) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\139-122cm\2n13_126-124cm_20um\2n13_126-124cm_20um_Rec\VOI\2n13_126-124cm_20um_rec_voi_0018.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1094
Total Z-position range, 18, 1111
Number of images inside VOI, 1094
Z-position range of VOI, 18, 1111
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/11/20 12:38:52 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 12/11/20 12:38:53 ]	Thresholding done

-----------------------------------------------------------------
[ 12/11/20 12:38:53 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5694 speckles removed
[ 12/11/20 12:38:56 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:38:56 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/11/20 12:38:59 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:39:45 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:46
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\139-122cm\2n13_126-124cm_20um\2n13_126-124cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_126-124cm_20um_rec_voi_1111.bmp,22.87703,479,95.03969,42.04684,44.24135,36.46641,641.45610,15.25575,0.08778,0.33431,-5.03744,327,152,14.85926,75.12450,26.11189,38.13359,52.99285,40.12386,55.75865,,,,,,,,,,,,173.86469,0.32059,0.13110,0.16523,3.37467,1.81402,15.56374,
2n13_126-124cm_20um_rec_voi_1110.bmp,22.85644,462,95.03969,41.92451,44.11264,36.46641,634.50763,15.13453,0.09075,0.33991,-4.72835,320,142,14.85608,70.51345,26.16401,38.25909,53.11517,40.25591,55.88736,,,,,,,,,,,,172.20560,0.32458,0.13215,0.16742,3.33812,1.81257,16.36517,
2n13_126-124cm_20um_rec_voi_1109.bmp,22.83585,438,95.03969,41.94889,44.13829,36.46641,629.33808,15.00250,0.09577,0.34920,-4.89542,292,146,14.63644,71.88369,25.86614,38.45435,53.09079,40.46136,55.86171,,,,,,,,,,,,171.26289,0.33176,0.13331,0.16872,3.31092,1.81217,16.30589,
2n13_126-124cm_20um_rec_voi_1108.bmp,22.81525,457,95.03969,41.80881,43.99090,36.46641,627.20622,15.00177,0.09149,0.34130,-5.07747,319,138,14.59537,74.35844,25.87640,38.63551,53.23087,40.65197,56.00910,,,,,,,,,,,,170.94403,0.33803,0.13332,0.16974,3.29971,1.81161,16.49767,
2n13_126-124cm_20um_rec_voi_1107.bmp,22.79466,410,95.03969,41.74691,43.92576,36.46641,620.07181,14.85312,0.10182,0.36006,-5.09689,277,133,15.00697,76.73462,26.44220,38.28581,53.29278,40.28402,56.07424,,,,,,,,,,,,171.12522,0.34116,0.13465,0.17189,3.26217,1.81066,16.18734,
2n13_126-124cm_20um_rec_voi_1106.bmp,22.77407,384,95.03969,41.61653,43.78858,36.46641,618.19588,14.85458,0.10838,0.37147,-4.95211,261,123,14.78214,73.42800,26.21009,38.64102,53.42316,40.65777,56.21142,,,,,,,,,,,,171.00632,0.34217,0.13464,0.17284,3.25230,1.81070,16.11557,
2n13_126-124cm_20um_rec_voi_1105.bmp,22.75348,397,95.03969,41.47581,43.64052,36.46641,613.73023,14.79731,0.10447,0.36472,-4.34070,286,111,14.66427,63.87723,26.12086,38.89961,53.56388,40.92986,56.35948,,,,,,,,,,,,170.07107,0.33515,0.13516,0.17455,3.22881,1.80865,15.56271,
2n13_126-124cm_20um_rec_voi_1104.bmp,22.73289,422,95.03969,41.41300,43.57443,36.46641,605.67774,14.62530,0.09814,0.35348,-4.09900,309,113,14.60030,60.05880,26.06577,39.02639,53.62668,41.06325,56.42557,,,,,,,,,,,,170.47024,0.33356,0.13675,0.17708,3.18645,1.71415,15.01631,
