
<<<<< Begin of task (3286a45d-c421-4681-b3f9-38d9535d73c8) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\139-122cm\2n13_127-125cm_20um\2n13_127-125cm_20um_Rec\VOI\2n13_127-125cm_20um_rec_voi_0011.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1036
Total Z-position range, 11, 1046
Number of images inside VOI, 1036
Z-position range of VOI, 11, 1046
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/11/20 12:45:23 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 12/11/20 12:45:23 ]	Thresholding done

-----------------------------------------------------------------
[ 12/11/20 12:45:23 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
11125 speckles removed
[ 12/11/20 12:45:27 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:45:27 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/11/20 12:45:30 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:46:35 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:05
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\139-122cm\2n13_127-125cm_20um\2n13_127-125cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_127-125cm_20um_rec_voi_1046.bmp,21.53859,0,95.03969,0.00000,0.00000,36.46641,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0.00000,0.00000,0.00000,95.03969,95.03969,100.00000,100.00000,,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2n13_127-125cm_20um_rec_voi_1045.bmp,21.51800,0,95.03969,0.00000,0.00000,36.46641,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0.00000,0.00000,0.00000,95.03969,95.03969,100.00000,100.00000,,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2n13_127-125cm_20um_rec_voi_1044.bmp,21.49741,0,95.03969,0.00000,0.00000,36.46641,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0.00000,0.00000,0.00000,95.03969,95.03969,100.00000,100.00000,,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2n13_127-125cm_20um_rec_voi_1043.bmp,21.47681,0,95.03969,0.00000,0.00000,36.46641,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0.00000,0.00000,0.00000,95.03969,95.03969,100.00000,100.00000,,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2n13_127-125cm_20um_rec_voi_1042.bmp,21.45622,0,95.03969,0.00000,0.00000,36.46641,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0.00000,0.00000,0.00000,95.03969,95.03969,100.00000,100.00000,,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2n13_127-125cm_20um_rec_voi_1041.bmp,21.43563,0,95.03969,0.00000,0.00000,36.46641,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0.00000,0.00000,0.00000,95.03969,95.03969,100.00000,100.00000,,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2n13_127-125cm_20um_rec_voi_1040.bmp,21.41504,0,95.03969,0.00000,0.00000,36.46641,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0.00000,0.00000,0.00000,95.03969,95.03969,100.00000,100.00000,,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
2n13_127-125cm_20um_rec_voi_1039.bmp,21.39445,0,95.03969,0.00000,0.00000,36.46641,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,0.00000,0.00000,0.00000,95.03969,95.03969,100.00000,100.00000,,,,,,,,,,,,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
