
<<<<< Begin of task (64fc5729-ca48-492f-a557-c878176f4fe3) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\139-122cm\2n13_129-127cm_20um_redo\2n13_129-127cm_20um_redo_Rec\VOI\2n13_129-127cm_20um_redo_rec_voi_0032.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1042
Total Z-position range, 32, 1073
Number of images inside VOI, 1042
Z-position range of VOI, 32, 1073
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/11/20 12:52:33 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 12/11/20 12:52:34 ]	Thresholding done

-----------------------------------------------------------------
[ 12/11/20 12:52:34 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3609 speckles removed
[ 12/11/20 12:52:37 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:52:37 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/11/20 12:52:40 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:54:08 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:28
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\139-122cm\2n13_129-127cm_20um_redo\2n13_129-127cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_129-127cm_20um_redo_rec_voi_1073.bmp,22.09456,231,95.03969,44.07003,46.37014,36.46641,565.96216,12.84234,0.19078,0.49286,-0.62471,199,32,13.68164,8.69946,23.69046,37.28802,50.96966,39.23415,53.62986,,,,,,,,,,,,71.45240,0.26211,0.15573,0.18012,2.97750,1.82335,16.55634,
2n13_129-127cm_20um_redo_rec_voi_1072.bmp,22.07396,245,95.03969,44.02387,46.32156,36.46641,567.83158,12.89827,0.17969,0.47832,-0.24923,217,28,14.05174,3.56196,24.19560,36.96408,51.01582,38.89331,53.67844,,,,,,,,,,,,69.98346,0.26052,0.15506,0.17969,2.98734,1.82579,16.19380,
2n13_129-127cm_20um_redo_rec_voi_1071.bmp,22.05337,242,95.03969,44.08954,46.39066,36.46641,570.33096,12.93574,0.18219,0.48163,-0.17664,213,29,13.97245,2.51533,24.06472,36.97770,50.95015,38.90764,53.60934,,,,,,,,,,,,68.86786,0.25092,0.15461,0.17867,3.00049,1.82386,16.59356,
2n13_129-127cm_20um_redo_rec_voi_1070.bmp,22.03278,251,95.03969,44.17275,46.47821,36.46641,565.85324,12.81001,0.17599,0.47336,-0.38657,220,31,14.01369,5.49563,24.08411,36.85325,50.86694,38.77670,53.52179,,,,,,,,,,,,67.14921,0.25727,0.15613,0.17979,2.97693,1.82283,16.33751,
2n13_129-127cm_20um_redo_rec_voi_1069.bmp,22.01219,239,95.03969,44.43505,46.75420,36.46641,559.70273,12.59597,0.18592,0.48654,-0.84128,211,28,14.35899,12.27559,24.42252,36.24565,50.60464,38.13739,53.24580,,,,,,,,,,,,65.66872,0.26340,0.15878,0.18083,2.94457,1.82221,16.38223,
2n13_129-127cm_20um_redo_rec_voi_1068.bmp,21.99160,221,95.03969,44.80653,47.14507,36.46641,561.01922,12.52093,0.20274,0.50808,-1.06017,191,30,14.50145,15.56436,24.45110,35.73171,50.23316,37.59662,52.85493,,,,,,,,,,,,63.61056,0.26368,0.15973,0.17908,2.95150,1.78631,16.68963,
2n13_129-127cm_20um_redo_rec_voi_1067.bmp,21.97101,222,95.03969,44.90665,47.25042,36.46641,563.67919,12.55224,0.20228,0.50750,-1.10824,194,28,14.41861,16.16882,24.30434,35.71443,50.13304,37.57844,52.74958,,,,,,,,,,,,60.90045,0.26374,0.15933,0.17788,2.96549,1.82429,16.38636,
2n13_129-127cm_20um_redo_rec_voi_1066.bmp,21.95042,210,95.03969,44.93055,47.27557,36.46641,563.05424,12.53166,0.21396,0.52193,-1.62072,177,33,14.62314,23.90891,24.55455,35.48600,50.10914,37.33808,52.72443,,,,,,,,,,,,60.64447,0.25824,0.15960,0.17799,2.96221,1.79397,16.71126,
