
<<<<< Begin of task (2bd2a18f-4bc3-45d8-aa13-db555d9c4398) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\139-122cm\2n13_131_129cm_20um_redo\2n13_131_129cm_20um_redo_Rec\VOI\2n13_131_129cm_20um_redo_rec_voi_0008.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1086
Total Z-position range, 8, 1093
Number of images inside VOI, 1086
Z-position range of VOI, 8, 1093
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/11/20 12:59:44 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 12/11/20 12:59:45 ]	Thresholding done

-----------------------------------------------------------------
[ 12/11/20 12:59:45 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
11123 speckles removed
[ 12/11/20 12:59:49 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 12:59:49 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/11/20 12:59:53 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 13:02:22 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:02:29
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\139-122cm\2n13_131_129cm_20um_redo\2n13_131_129cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_131_129cm_20um_redo_rec_voi_1093.bmp,22.50638,316,95.03969,45.18787,47.54631,36.46641,634.71546,14.04615,0.14300,0.42670,-3.61709,204,112,15.10486,54.72029,25.05255,34.74695,49.85182,36.56047,52.45369,,,,,,,,,,,,86.61414,0.25786,0.14239,0.15708,3.33921,1.82817,16.06896,
2n13_131_129cm_20um_redo_rec_voi_1092.bmp,22.48579,309,95.03969,44.84204,47.18244,36.46641,630.63994,14.06359,0.14512,0.42985,-3.41462,208,101,14.96765,51.22254,25.02545,35.23000,50.19765,37.06873,52.81756,,,,,,,,,,,,83.86028,0.28392,0.14221,0.15920,3.31777,1.77342,15.57331,
2n13_131_129cm_20um_redo_rec_voi_1091.bmp,22.46520,308,95.03969,44.52695,46.85090,36.46641,627.18266,14.08546,0.14457,0.42903,-4.04265,214,94,15.70319,63.61642,26.07198,34.80955,50.51274,36.62633,53.14910,,,,,,,,,,,,83.22756,0.30696,0.14199,0.16108,3.29958,1.82661,15.47992,
2n13_131_129cm_20um_redo_rec_voi_1090.bmp,22.44461,304,95.03969,44.37277,46.68868,36.46641,622.29539,14.02426,0.14596,0.43110,-4.14018,213,91,15.45064,64.23573,25.82708,35.21628,50.66692,37.05428,53.31132,,,,,,,,,,,,83.15680,0.32023,0.14261,0.16284,3.27387,1.82539,15.51860,
2n13_131_129cm_20um_redo_rec_voi_1089.bmp,22.42402,287,95.03969,44.32073,46.63391,36.46641,616.65063,13.91337,0.15443,0.44342,-3.81478,206,81,15.75937,60.37268,26.23060,34.95959,50.71896,36.78420,53.36609,,,,,,,,,,,,83.22635,0.31577,0.14375,0.16450,3.24417,1.82433,16.11161,
2n13_131_129cm_20um_redo_rec_voi_1088.bmp,22.40343,298,95.03969,44.13035,46.43360,36.46641,611.58172,13.85853,0.14809,0.43423,-3.50898,222,76,15.08785,53.19124,25.47840,35.82149,50.90934,37.69109,53.56640,,,,,,,,,,,,83.49118,0.30957,0.14432,0.16648,3.21751,1.82442,16.04338,
2n13_131_129cm_20um_redo_rec_voi_1087.bmp,22.38284,281,95.03969,43.96175,46.25620,36.46641,606.30119,13.79156,0.15645,0.44631,-3.11572,209,72,14.87150,46.57616,25.27738,36.20643,51.07794,38.09612,53.74380,,,,,,,,,,,,86.33421,0.30530,0.14502,0.16849,3.18973,1.82248,15.78775,
2n13_131_129cm_20um_redo_rec_voi_1086.bmp,22.36224,277,95.03969,43.84971,46.13831,36.46641,599.44528,13.67045,0.15830,0.44895,-2.57481,204,73,15.02584,38.91708,25.52136,36.16414,51.18998,38.05162,53.86169,,,,,,,,,,,,89.30981,0.30254,0.14630,0.17079,3.15366,1.82341,15.39505,
