
<<<<< Begin of task (60e91403-0829-402b-96fa-c814b96f676f) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\139-122cm\2n13_133-131cm_20um\2n13_133-131cm_20um_Rec\VOI\2n13_133-131cm_20um_rec_voi_0024.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 538, 538
Total number of images, 944
Total Z-position range, 24, 967
Number of images inside VOI, 944
Z-position range of VOI, 24, 967
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/11/20 13:06:54 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 12/11/20 13:06:54 ]	Thresholding done

-----------------------------------------------------------------
[ 12/11/20 13:06:54 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7699 speckles removed
[ 12/11/20 13:06:58 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 13:06:58 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/11/20 13:07:01 ]	Despeckle done

-----------------------------------------------------------------
[ 12/11/20 13:09:55 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:02:54
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\139-122cm\2n13_133-131cm_20um\2n13_133-131cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_133-131cm_20um_rec_voi_0967.bmp,19.91187,43,96.11115,21.23179,22.09087,36.71350,161.84498,7.62277,0.49376,0.79289,-9.74838,-2,45,11.09022,108.26724,34.31167,63.78913,74.87936,66.37017,77.90913,,,,,,,,,,,,162.25977,0.92786,0.26237,0.92532,0.84197,1.64013,11.32409,
2n13_133-131cm_20um_rec_voi_0966.bmp,19.89128,41,96.11115,21.59283,22.46652,36.71350,166.83445,7.72638,0.52665,0.81888,-9.66370,-3,44,7.74673,74.98562,26.40371,66.77158,74.51832,69.47330,77.53348,,,,,,,,,,,,162.42539,0.92636,0.25885,0.89332,0.86792,1.63777,11.35321,
2n13_133-131cm_20um_rec_voi_0965.bmp,19.87069,37,96.11115,22.00973,22.90029,36.71350,167.04985,7.58982,0.59486,0.87029,-3.18184,-11,48,5.65321,87.63358,20.43603,68.44821,74.10141,71.21776,77.09971,,,,,,,,,,,,162.69527,0.92419,0.26351,0.88718,0.86905,1.62446,11.61030,
2n13_133-131cm_20um_rec_voi_0964.bmp,19.85009,27,96.11115,22.45176,23.36020,36.71350,168.65063,7.51169,0.83155,1.02896,-16.13750,-22,49,6.07276,98.17374,21.28961,67.58663,73.65939,70.32132,76.63980,,,,,,,,,,,,163.01702,0.92227,0.26625,0.87351,0.87737,1.63592,11.56412,
2n13_133-131cm_20um_rec_voi_0963.bmp,19.82950,38,96.11115,22.76987,23.69118,36.71350,172.50283,7.57593,0.59921,0.87346,-15.59693,-13,51,5.92902,92.64061,20.65941,67.41226,73.34128,70.13989,76.30882,,,,,,,,,,,,163.29223,0.92061,0.26399,0.85032,0.89741,1.64555,11.32866,
2n13_133-131cm_20um_rec_voi_0962.bmp,19.80891,46,96.11115,23.13785,24.07406,36.71350,177.32964,7.66405,0.50300,0.80027,-14.90833,-6,52,6.06661,90.61801,20.77289,66.90668,72.97329,69.61386,75.92594,,,,,,,,,,,,163.67133,0.91878,0.26096,0.82302,0.92252,1.64704,11.38836,
2n13_133-131cm_20um_rec_voi_0961.bmp,19.78832,52,96.11115,23.55841,24.51163,36.71350,178.82600,7.59075,0.45305,0.75950,-8.26284,8,44,14.44739,119.49751,38.01364,58.10534,72.55273,60.45640,75.48837,,,,,,,,,,,,164.29547,0.91757,0.26348,0.81143,0.93031,1.65038,11.39440,
2n13_133-131cm_20um_rec_voi_0960.bmp,19.76773,42,96.11115,24.17407,25.15220,36.71350,181.06985,7.49025,0.57557,0.85606,-8.68455,-17,59,14.06001,122.22521,36.77350,57.87707,71.93708,60.21889,74.84780,,,,,,,,,,,,164.68965,0.91598,0.26701,0.79458,0.94198,1.63957,11.60177,
