
<<<<< Begin of task (e66231b8-5b83-4874-91b7-5b3b0fee1be4) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_19-17cm_20um\2n13_19-17cm_20um_Rec\VOI\2n13_19-17cm_20um_rec_voi_0080.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 545, 545
Total number of images, 1029
Total Z-position range, 80, 1108
Number of images inside VOI, 1029
Z-position range of VOI, 80, 1108
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/04/20 13:34:42 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 12/04/20 13:34:42 ]	Thresholding done

-----------------------------------------------------------------
[ 12/04/20 13:34:42 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3734 speckles removed
[ 12/04/20 13:34:45 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 13:34:45 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/04/20 13:34:47 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 13:35:31 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:44
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_19-17cm_20um\2n13_19-17cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_19-17cm_20um_rec_voi_1108.bmp,22.81525,332,98.63249,46.10510,46.74433,37.14532,504.15336,10.93487,0.13887,0.42049,-5.65492,189,143,12.39293,70.23922,21.18521,40.13447,52.52740,40.69092,53.25567,,,,,,,,,,,,76.38301,0.25364,0.18290,0.20838,2.55572,1.74632,14.73777,
2n13_19-17cm_20um_rec_voi_1107.bmp,22.79466,348,98.63249,45.96465,46.60193,37.14532,499.03812,10.85700,0.13208,0.41009,-5.44287,215,133,12.36208,67.50188,21.19454,40.30577,52.66785,40.86459,53.39807,,,,,,,,,,,,76.27748,0.25588,0.18421,0.21108,2.52979,1.76293,14.92912,
2n13_19-17cm_20um_rec_voi_1106.bmp,22.77407,314,98.63249,45.87030,46.50628,37.14532,492.94328,10.74646,0.14608,0.43128,-5.32917,183,131,12.21707,65.27287,21.03223,40.54512,52.76219,41.10726,53.49372,,,,,,,,,,,,76.86241,0.26221,0.18611,0.21407,2.49889,1.71810,15.64318,
2n13_19-17cm_20um_rec_voi_1105.bmp,22.75348,308,98.63249,45.75853,46.39295,37.14532,490.32136,10.71541,0.14857,0.43493,-5.38733,183,125,12.17070,65.75379,21.00960,40.70327,52.87397,41.26761,53.60705,,,,,,,,,,,,79.65037,0.26841,0.18665,0.21567,2.48560,1.75950,15.91983,
2n13_19-17cm_20um_rec_voi_1104.bmp,22.73289,297,98.63249,45.71443,46.34824,37.14532,490.14371,10.72186,0.15392,0.44269,-5.33657,168,129,12.05542,64.53108,20.86801,40.86265,52.91806,41.42919,53.65176,,,,,,,,,,,,81.37081,0.27351,0.18653,0.21593,2.48470,1.76479,16.10911,
2n13_19-17cm_20um_rec_voi_1103.bmp,22.71230,272,98.63249,45.49660,46.12739,37.14532,485.79903,10.67770,0.16727,0.46149,-5.40915,140,132,11.92801,64.70822,20.77159,41.20789,53.13590,41.77922,53.87261,,,,,,,,,,,,83.41820,0.27295,0.18731,0.21876,2.46267,1.75836,15.60346,
2n13_19-17cm_20um_rec_voi_1102.bmp,22.69171,272,98.63249,45.38477,46.01401,37.14532,477.30096,10.51677,0.16686,0.46092,-5.07614,155,117,11.93633,60.74918,20.82362,41.31140,53.24773,41.88417,53.98599,,,,,,,,,,,,83.86757,0.26962,0.19017,0.22312,2.41959,1.75278,15.28813,
2n13_19-17cm_20um_rec_voi_1101.bmp,22.67111,272,98.63249,45.14308,45.76898,37.14532,467.86467,10.36404,0.16597,0.45969,-4.55394,155,117,11.47962,52.44546,20.27388,42.00979,53.48941,42.59224,54.23102,,,,,,,,,,,,84.26751,0.26662,0.19297,0.22865,2.37176,1.75443,15.16708,
