
<<<<< Begin of task (1171cc16-192e-4eb9-ab30-cf7ff554122e) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_21-19cm_20um\2n13_21-19cm_20um_Rec\VOI\2n13_21-19cm_20um_rec_voi_0004.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1109
Total Z-position range, 4, 1112
Number of images inside VOI, 1109
Z-position range of VOI, 4, 1112
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/04/20 13:40:07 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 12/04/20 13:40:07 ]	Thresholding done

-----------------------------------------------------------------
[ 12/04/20 13:40:07 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5117 speckles removed
[ 12/04/20 13:40:10 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 13:40:10 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/04/20 13:40:13 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 13:41:04 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:51
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_21-19cm_20um\2n13_21-19cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_21-19cm_20um_rec_voi_1112.bmp,22.89762,300,95.03969,42.24050,44.44512,36.46641,473.40287,11.20732,0.14080,0.42341,-5.46604,175,125,11.93288,65.31919,22.02720,40.86630,52.79918,42.99920,55.55488,,,,,,,,,,,,73.44787,0.33642,0.17845,0.22306,2.49055,1.67412,10.33157,
2n13_21-19cm_20um_rec_voi_1111.bmp,22.87703,281,95.03969,42.15141,44.35138,36.46641,469.17967,11.13082,0.15001,0.43703,-5.54372,150,131,11.77971,65.37693,21.84214,41.10857,52.88828,43.25411,55.64862,,,,,,,,,,,,72.26470,0.33863,0.17968,0.22545,2.46834,1.75536,10.67206,
2n13_21-19cm_20um_rec_voi_1110.bmp,22.85644,279,95.03969,42.12501,44.32360,36.46641,463.09775,10.99341,0.15099,0.43845,-5.72053,154,125,11.58483,66.35275,21.56928,41.32985,52.91467,43.48693,55.67640,,,,,,,,,,,,70.67202,0.34426,0.18193,0.22852,2.43634,1.75523,10.88297,
2n13_21-19cm_20um_rec_voi_1109.bmp,22.83585,262,95.03969,42.15104,44.35099,36.46641,454.50767,10.78283,0.16088,0.45259,-5.62035,137,125,11.42959,64.32173,21.33157,41.45906,52.88865,43.62289,55.64901,,,,,,,,,,,,69.27447,0.35052,0.18548,0.23273,2.39115,1.75039,11.06226,
2n13_21-19cm_20um_rec_voi_1108.bmp,22.81525,259,95.03969,42.27755,44.48410,36.46641,446.82754,10.56891,0.16323,0.45589,-5.74207,148,111,12.51366,72.02927,22.83881,40.24847,52.76214,42.34912,55.51590,,,,,,,,,,,,69.01804,0.35339,0.18923,0.23616,2.35074,1.74483,11.26464,
2n13_21-19cm_20um_rec_voi_1107.bmp,22.79466,241,95.03969,42.42442,44.63863,36.46641,442.32798,10.42626,0.17603,0.47343,-5.39387,129,112,12.21437,66.05005,22.35476,40.40090,52.61527,42.50951,55.36137,,,,,,,,,,,,68.93496,0.35125,0.19182,0.23790,2.32707,1.74478,11.08992,
2n13_21-19cm_20um_rec_voi_1106.bmp,22.77407,241,95.03969,42.58972,44.81257,36.46641,438.99546,10.30754,0.17672,0.47435,-5.72676,129,112,12.30691,70.63597,22.41833,40.14306,52.44996,42.23820,55.18743,,,,,,,,,,,,68.77964,0.34858,0.19403,0.23895,2.30954,1.74255,11.01961,
2n13_21-19cm_20um_rec_voi_1105.bmp,22.75348,223,95.03969,42.76155,44.99336,36.46641,432.98591,10.12559,0.19176,0.49412,-5.68129,115,108,11.19464,63.74574,20.74764,41.08350,52.27814,43.22773,55.00664,,,,,,,,,,,,69.85169,0.34057,0.19752,0.24148,2.27792,1.73898,11.08742,
