
<<<<< Begin of task (d42bc7ca-de26-489a-a7e1-15495a7281cf) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_22-20cm_20um\2n13_22-20cm_20um_Rec\VOI\2n13_22-20cm_20um_rec_voi_0036.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 899
Total Z-position range, 36, 934
Number of images inside VOI, 899
Z-position range of VOI, 36, 934
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/04/20 13:45:03 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 12/04/20 13:45:03 ]	Thresholding done

-----------------------------------------------------------------
[ 12/04/20 13:45:03 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1619 speckles removed
[ 12/04/20 13:45:06 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 13:45:06 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/04/20 13:45:08 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 13:45:48 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:40
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_22-20cm_20um\2n13_22-20cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_22-20cm_20um_rec_voi_0934.bmp,19.23235,78,95.03969,34.36853,36.16229,36.46641,264.34155,7.69138,0.44062,0.74901,-0.74791,62,16,6.81037,5.20082,16.53849,53.86079,60.67116,56.67189,63.83771,,,,,,,,,,,,139.32260,0.62350,0.26003,0.45904,1.39069,1.61870,15.00985,
2n13_22-20cm_20um_rec_voi_0933.bmp,19.21176,86,95.03969,34.39371,36.18878,36.46641,265.78501,7.72772,0.39993,0.71358,-1.37912,64,22,7.14502,9.99780,17.20086,53.50097,60.64598,56.29329,63.81122,,,,,,,,,,,,138.52341,0.62258,0.25881,0.45635,1.39828,1.61920,15.13236,
2n13_22-20cm_20um_rec_voi_0932.bmp,19.19117,79,95.03969,34.47824,36.27773,36.46641,263.21983,7.63438,0.43643,0.74544,-1.76194,57,22,7.94066,14.09246,18.71963,52.62078,60.56145,55.36717,63.72227,,,,,,,,,,,,137.49120,0.61931,0.26197,0.46016,1.38479,1.62259,15.12633,
2n13_22-20cm_20um_rec_voi_0931.bmp,19.17058,76,95.03969,34.71118,36.52283,36.46641,264.39793,7.61708,0.45673,0.76258,-1.44610,51,25,7.29708,10.65123,17.37057,53.03143,60.32851,55.79925,63.47717,,,,,,,,,,,,136.35655,0.61733,0.26257,0.45635,1.39099,1.62277,15.18207,
2n13_22-20cm_20um_rec_voi_0930.bmp,19.14999,72,95.03969,35.02182,36.84967,36.46641,267.53503,7.63910,0.48641,0.78697,-1.38559,49,23,7.15138,9.99487,16.95716,52.86650,60.01787,55.62570,63.15033,,,,,,,,,,,,135.14934,0.61673,0.26181,0.44867,1.40749,1.62616,15.33724,
2n13_22-20cm_20um_rec_voi_0929.bmp,19.12940,75,95.03969,35.25253,37.09243,36.46641,269.53557,7.64585,0.47003,0.77361,-1.67827,51,24,7.35251,12.42723,17.25738,52.43465,59.78716,55.17132,62.90757,,,,,,,,,,,,134.18417,0.61378,0.26158,0.44363,1.41802,1.62641,15.38592,
2n13_22-20cm_20um_rec_voi_0928.bmp,19.10880,76,95.03969,35.33118,37.17519,36.46641,267.29414,7.56539,0.46488,0.76936,-1.19267,51,25,7.04129,8.45027,16.61761,52.66721,59.70851,55.41602,62.82481,,,,,,,,,,,,133.29922,0.60977,0.26436,0.44676,1.40622,1.62628,15.35180,
2n13_22-20cm_20um_rec_voi_0927.bmp,19.08821,78,95.03969,35.39786,37.24534,36.46641,267.50248,7.55703,0.45382,0.76014,-1.30564,54,24,7.63140,10.01693,17.73538,52.01043,59.64183,54.72496,62.75466,,,,,,,,,,,,132.69487,0.60503,0.26465,0.44592,1.40732,1.55584,15.31062,
