
<<<<< Begin of task (a356cb20-0486-4ad4-9012-7062a9de9975) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_24-22cm_20um\2n13_24-22cm_20um_Rec\VOI\2n13_24-22cm_20um_rec_voi_0080.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 537, 537
Total number of images, 1030
Total Z-position range, 80, 1109
Number of images inside VOI, 1030
Z-position range of VOI, 80, 1109
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/04/20 13:49:02 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 12/04/20 13:49:02 ]	Thresholding done

-----------------------------------------------------------------
[ 12/04/20 13:49:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3679 speckles removed
[ 12/04/20 13:49:05 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 13:49:05 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/04/20 13:49:07 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 13:49:52 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:45
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_24-22cm_20um\2n13_24-22cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_24-22cm_20um_rec_voi_1109.bmp,22.83585,304,95.75710,37.60984,39.27629,36.63114,415.93994,11.05934,0.12372,0.39689,-3.19160,218,86,10.41351,33.31794,21.68427,47.73375,58.14727,49.84879,60.72371,,,,,,,,,,,,133.09502,0.16348,0.18084,0.27959,2.17185,1.71502,11.26439,
2n13_24-22cm_20um_rec_voi_1108.bmp,22.81525,288,95.75710,37.63957,39.30734,36.63114,413.78416,10.99333,0.13069,0.40793,-3.30718,198,90,10.32134,34.21382,21.52032,47.79619,58.11753,49.91399,60.69266,,,,,,,,,,,,140.41229,0.16077,0.18193,0.28091,2.16059,1.71779,11.36734,
2n13_24-22cm_20um_rec_voi_1107.bmp,22.79466,305,95.75710,37.67116,39.34033,36.63114,414.58126,11.00527,0.12351,0.39656,-3.46435,224,81,10.39804,36.10373,21.63139,47.68791,58.08595,49.80091,60.65967,,,,,,,,,,,,149.90747,0.18118,0.18173,0.28022,2.16475,1.71391,11.47530,
2n13_24-22cm_20um_rec_voi_1106.bmp,22.77407,283,95.75710,37.78241,39.45651,36.63114,418.05682,11.06485,0.13351,0.41229,-4.12399,184,99,10.38399,42.91317,21.55858,47.59071,57.97470,49.69940,60.54349,,,,,,,,,,,,155.20175,0.20100,0.18075,0.27735,2.18290,1.71506,11.39043,
2n13_24-22cm_20um_rec_voi_1105.bmp,22.75348,282,95.75710,37.78331,39.45745,36.63114,415.09716,10.98626,0.13398,0.41303,-4.03920,176,106,10.38553,42.04384,21.56068,47.58827,57.97380,49.69685,60.54255,,,,,,,,,,,,158.62990,0.22299,0.18205,0.27933,2.16745,1.68219,11.33366,
2n13_24-22cm_20um_rec_voi_1104.bmp,22.73289,270,95.75710,37.76884,39.44234,36.63114,410.62878,10.87216,0.13988,0.42203,-3.98664,178,92,10.13812,40.55147,21.16211,47.85014,57.98826,49.97033,60.55766,,,,,,,,,,,,159.78304,0.23638,0.18396,0.28244,2.14412,1.71169,11.72989,
2n13_24-22cm_20um_rec_voi_1103.bmp,22.71230,250,95.75710,37.80684,39.48202,36.63114,403.96702,10.68502,0.15123,0.43880,-4.36329,162,88,10.11560,44.23758,21.10827,47.83467,57.95026,49.95417,60.51798,,,,,,,,,,,,159.56048,0.23761,0.18718,0.28691,2.10933,1.70740,11.66208,
2n13_24-22cm_20um_rec_voi_1102.bmp,22.69171,247,95.75710,37.81378,39.48927,36.63114,395.19687,10.45113,0.15309,0.44150,-4.27917,156,91,9.93465,42.61339,20.80624,48.00867,57.94332,50.13588,60.51073,,,,,,,,,,,,159.89317,0.23726,0.19137,0.29324,2.06354,1.65446,11.46324,
