
<<<<< Begin of task (0b5d5c79-5089-4178-b1a2-dd99aa2b5ace) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_26-24cm_20um\2n13_26-24cm_20um_Rec\VOI\2n13_26-24cm_20um_rec_voi_0015.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1079
Total Z-position range, 15, 1093
Number of images inside VOI, 1079
Z-position range of VOI, 15, 1093
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/04/20 13:53:54 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 12/04/20 13:53:54 ]	Thresholding done

-----------------------------------------------------------------
[ 12/04/20 13:53:54 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2967 speckles removed
[ 12/04/20 13:53:57 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 13:53:57 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/04/20 13:54:00 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 13:54:45 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:45
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_26-24cm_20um\2n13_26-24cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_26-24cm_20um_rec_voi_1093.bmp,22.50638,240,95.03969,39.05856,41.09710,36.46641,392.09938,10.03876,0.16274,0.45521,-2.51479,167,73,9.87937,24.88630,20.18756,46.10176,55.98113,48.50790,58.90290,,,,,,,,,,,,29.81298,0.31150,0.19923,0.28555,2.06282,1.72667,12.28611,
2n13_26-24cm_20um_rec_voi_1092.bmp,22.48579,204,95.03969,39.17166,41.21611,36.46641,387.36407,9.88889,0.19202,0.49445,-2.51090,133,71,9.75138,24.52600,19.93207,46.11665,55.86803,48.52357,58.78389,,,,,,,,,,,,29.39972,0.30709,0.20225,0.28845,2.03791,1.72441,12.25449,
2n13_26-24cm_20um_rec_voi_1091.bmp,22.46520,194,95.03969,39.29552,41.34643,36.46641,379.54869,9.65883,0.20255,0.50784,-2.13048,127,67,9.59153,20.47374,19.61977,46.15264,55.74416,48.56144,58.65357,,,,,,,,,,,,31.32216,0.30230,0.20706,0.29374,1.99679,1.72453,12.11138,
2n13_26-24cm_20um_rec_voi_1090.bmp,22.44461,180,95.03969,39.47281,41.53297,36.46641,375.12371,9.50334,0.21929,0.52841,-1.98735,124,56,9.46157,18.87539,19.33522,46.10531,55.56688,48.51164,58.46703,,,,,,,,,,,,32.20852,0.29960,0.21045,0.29626,1.97351,1.71490,12.13551,
2n13_26-24cm_20um_rec_voi_1089.bmp,22.42402,173,95.03969,39.62063,41.68851,36.46641,366.63235,9.25357,0.22902,0.54000,-1.50486,121,52,9.28428,14.03980,18.98435,46.13478,55.41906,48.54264,58.31149,,,,,,,,,,,,32.44971,0.28617,0.21613,0.30231,1.92884,1.72104,12.11845,
2n13_26-24cm_20um_rec_voi_1088.bmp,22.40343,165,95.03969,39.78917,41.86585,36.46641,362.93610,9.12148,0.24115,0.55411,-1.53421,113,52,9.16100,14.12580,18.71495,46.08952,55.25052,48.49502,58.13415,,,,,,,,,,,,32.00747,0.26285,0.21926,0.30446,1.90939,1.72082,12.43938,
2n13_26-24cm_20um_rec_voi_1087.bmp,22.38284,169,95.03969,39.92824,42.01218,36.46641,357.72366,8.95916,0.23626,0.54847,-1.35689,121,48,9.07291,12.38028,18.51571,46.03853,55.11144,48.44137,57.98782,,,,,,,,,,,,32.03335,0.23177,0.22324,0.30812,1.88197,1.72028,12.61368,
2n13_26-24cm_20um_rec_voi_1086.bmp,22.36224,156,95.03969,39.96487,42.05071,36.46641,355.02543,8.88344,0.25619,0.57113,-0.96235,114,42,8.99479,8.69695,18.37184,46.08003,55.07482,48.48504,57.94929,,,,,,,,,,,,34.15516,0.19758,0.22514,0.31026,1.86777,1.72460,12.27922,
