
<<<<< Begin of task (748b21b1-c540-4bdb-b062-d28cd90ca805) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_28-26cm_20um\2n13_28-26cm_20um_Rec\VOI\2n13_28-26cm_20um_rec_voi_0027.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 998
Total Z-position range, 26, 1023
Number of images inside VOI, 998
Z-position range of VOI, 26, 1023
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/04/20 13:58:38 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 12/04/20 13:58:38 ]	Thresholding done

-----------------------------------------------------------------
[ 12/04/20 13:58:38 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2160 speckles removed
[ 12/04/20 13:58:41 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 13:58:41 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/04/20 13:58:43 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 13:59:29 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:46
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_28-26cm_20um\2n13_28-26cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_28-26cm_20um_rec_voi_1023.bmp,21.06499,210,95.03969,43.08576,45.33449,36.46641,427.86538,9.93055,0.20517,0.51111,-0.17634,185,25,10.95009,1.97881,20.26449,41.00384,51.95393,43.14391,54.66551,,,,,,,,,,,,92.97476,0.26051,0.20140,0.24285,2.25098,1.75720,13.43526,
2n13_28-26cm_20um_rec_voi_1022.bmp,21.04440,241,95.03969,43.10123,45.35077,36.46641,426.40521,9.89311,0.17884,0.47719,-0.01071,211,30,10.97537,0.15178,20.29597,40.96308,51.93845,43.10103,54.64923,,,,,,,,,,,,94.59798,0.27183,0.20216,0.24361,2.24330,1.75255,12.94168,
2n13_28-26cm_20um_rec_voi_1021.bmp,21.02380,227,95.03969,43.21778,45.47340,36.46641,425.08045,9.83578,0.19039,0.49235,-0.29266,196,31,11.03203,3.26597,20.33561,40.78988,51.82191,42.91878,54.52660,,,,,,,,,,,,95.90614,0.28125,0.20334,0.24382,2.23633,1.76049,12.84579,
2n13_28-26cm_20um_rec_voi_1020.bmp,21.00321,207,95.03969,43.28032,45.53921,36.46641,420.01689,9.70457,0.20908,0.51596,-0.36465,173,34,10.83503,3.98884,20.02210,40.92434,51.75936,43.06026,54.46079,,,,,,,,,,,,98.84286,0.29257,0.20609,0.24646,2.20969,1.75337,13.10641,
2n13_28-26cm_20um_rec_voi_1019.bmp,20.98262,200,95.03969,43.31954,45.58048,36.46641,415.87398,9.60015,0.21660,0.52515,-0.62161,165,35,10.79183,6.74944,19.94374,40.92831,51.72014,43.06444,54.41952,,,,,,,,,,,,101.65693,0.29740,0.20833,0.24873,2.18790,1.75260,13.60560,
2n13_28-26cm_20um_rec_voi_1018.bmp,20.96203,204,95.03969,43.53049,45.80243,36.46641,417.13188,9.58252,0.21338,0.52124,-0.73891,169,35,10.76199,8.03696,19.82225,40.74721,51.50920,42.87389,54.19757,,,,,,,,,,,,106.76967,0.29189,0.20871,0.24697,2.19451,1.75659,14.18508,
2n13_28-26cm_20um_rec_voi_1017.bmp,20.94144,207,95.03969,43.84462,46.13296,36.46641,425.26017,9.69926,0.21181,0.51931,-0.77427,172,35,11.01030,8.62972,20.07167,40.18477,51.19507,42.28209,53.86704,,,,,,,,,,,,114.48322,0.29199,0.20620,0.24077,2.23728,1.72990,14.95385,
2n13_28-26cm_20um_rec_voi_1016.bmp,20.92085,204,95.03969,44.29094,46.60257,36.46641,428.21962,9.66833,0.21711,0.52577,-0.69235,174,30,11.00654,7.72456,19.90423,39.74221,50.74875,41.81644,53.39743,,,,,,,,,,,,122.63563,0.29126,0.20686,0.23702,2.25285,1.76304,15.75528,
