
<<<<< Begin of task (4a3bb866-c724-4b94-959a-90cc903d87b6) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_30-28cm_20um\2n13_30-28cm_20um_Rec\VOI\2n13_30-28cm_20um_rec_voi_0160.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 936
Total Z-position range, 160, 1095
Number of images inside VOI, 936
Z-position range of VOI, 160, 1095
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/04/20 14:02:56 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 12/04/20 14:02:57 ]	Thresholding done

-----------------------------------------------------------------
[ 12/04/20 14:02:57 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1956 speckles removed
[ 12/04/20 14:02:59 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 14:02:59 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/04/20 14:03:02 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 14:03:44 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:42
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_30-28cm_20um\2n13_30-28cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_30-28cm_20um_rec_voi_1095.bmp,22.54757,189,95.03969,40.99599,43.13566,36.46641,397.30925,9.69142,0.21691,0.52553,-3.06786,116,73,10.21868,31.41901,19.95264,43.82501,54.04369,46.11233,56.86434,,,,,,,,,,,,21.55896,0.25608,0.20637,0.27205,2.09023,1.73677,15.48784,
2n13_30-28cm_20um_rec_voi_1094.bmp,22.52697,174,95.03969,41.34776,43.50578,36.46641,389.75923,9.42637,0.23763,0.55006,-2.63936,110,64,10.03726,26.59998,19.53344,43.65467,53.69193,45.93309,56.49422,,,,,,,,,,,,22.68317,0.28521,0.21217,0.27551,2.05051,1.73398,15.37635,
2n13_30-28cm_20um_rec_voi_1093.bmp,22.50638,167,95.03969,41.83150,44.01477,36.46641,385.29015,9.21053,0.25049,0.56474,-2.76701,110,57,9.82224,27.29045,19.01554,43.38595,53.20819,45.65035,55.98523,,,,,,,,,,,,23.68007,0.30184,0.21714,0.27620,2.02700,1.73108,15.58726,
2n13_30-28cm_20um_rec_voi_1092.bmp,22.48579,139,95.03969,42.26239,44.46815,36.46641,379.69657,8.98427,0.30405,0.62219,-2.34117,91,48,9.61734,22.60874,18.53775,43.15996,52.77730,45.41256,55.53185,,,,,,,,,,,,23.29208,0.30753,0.22261,0.27800,1.99757,1.66926,16.02821,
2n13_30-28cm_20um_rec_voi_1091.bmp,22.46520,131,95.03969,42.68894,44.91696,36.46641,376.40316,8.81735,0.32587,0.64414,-2.17898,75,56,9.57451,20.96799,18.31971,42.77623,52.35075,45.00881,55.08304,,,,,,,,,,,,24.47220,0.30735,0.22683,0.27816,1.98024,1.73447,15.99556,
2n13_30-28cm_20um_rec_voi_1090.bmp,22.44461,121,95.03969,42.93598,45.17689,36.46641,374.48377,8.72191,0.35484,0.67216,-2.27324,77,44,9.62539,21.95517,18.31268,42.47832,52.10371,44.69535,54.82311,,,,,,,,,,,,25.75837,0.30171,0.22931,0.27827,1.97014,1.73389,16.17735,
2n13_30-28cm_20um_rec_voi_1089.bmp,22.42402,107,95.03969,43.06366,45.31123,36.46641,373.04687,8.66268,0.40246,0.71584,-2.16885,62,45,9.55808,20.78742,18.16375,42.41795,51.97603,44.63183,54.68877,,,,,,,,,,,,25.72315,0.30417,0.23088,0.27866,1.96258,1.73147,16.90597,
2n13_30-28cm_20um_rec_voi_1088.bmp,22.40343,114,95.03969,43.01574,45.26082,36.46641,368.73873,8.57218,0.37733,0.69313,-2.26563,71,43,9.76431,22.22332,18.50000,42.25964,52.02394,44.46525,54.73918,,,,,,,,,,,,24.48228,0.31304,0.23331,0.28217,1.93992,1.70413,17.06114,
