
<<<<< Begin of task (b5ec84c0-753b-4434-96db-0b03ac7951ab) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_32-30cm_20um\2n13_32-30cm_20um_Rec\VOI\2n13_32-30cm_20um_rec_voi_0035.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1076
Total Z-position range, 34, 1109
Number of images inside VOI, 1076
Z-position range of VOI, 34, 1109
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/04/20 14:07:00 ] Thresholding
Mode, Global
Lower grey threshold, 77
Upper grey threshold, 200
[ 12/04/20 14:07:00 ]	Thresholding done

-----------------------------------------------------------------
[ 12/04/20 14:07:00 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2594 speckles removed
[ 12/04/20 14:07:03 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 14:07:03 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/04/20 14:07:06 ]	Despeckle done

-----------------------------------------------------------------
[ 12/04/20 14:07:55 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:49
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\34-17cm\2n13_32-30cm_20um\2n13_32-30cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,77
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_32-30cm_20um_rec_voi_1109.bmp,22.83585,239,95.03969,41.62628,43.79884,36.46641,442.92559,10.64053,0.17417,0.47091,-4.99228,127,112,11.16305,55.93464,21.14641,42.25036,53.41341,44.45549,56.20116,,,,,,,,,,,,18.14742,0.20659,0.18796,0.24118,2.33021,1.74957,12.83105,
2n13_32-30cm_20um_rec_voi_1108.bmp,22.81525,232,95.03969,41.58382,43.75417,36.46641,438.42118,10.54307,0.17924,0.47772,-5.00631,119,113,11.09277,55.72409,21.05825,42.36309,53.45586,44.57411,56.24583,,,,,,,,,,,,26.85364,0.20037,0.18970,0.24386,2.30652,1.75059,12.95606,
2n13_32-30cm_20um_rec_voi_1107.bmp,22.79466,238,95.03969,41.36737,43.52642,36.46641,433.86059,10.48799,0.17381,0.47043,-4.68726,134,104,11.06595,51.98716,21.10481,42.60637,53.67232,44.83008,56.47358,,,,,,,,,,,,32.99683,0.19783,0.19069,0.24742,2.28252,1.74763,12.79383,
2n13_32-30cm_20um_rec_voi_1106.bmp,22.77407,253,95.03969,41.23105,43.38298,36.46641,432.61098,10.49236,0.16297,0.45552,-4.51494,153,100,11.10416,50.26540,21.21738,42.70447,53.80863,44.93330,56.61702,,,,,,,,,,,,36.00886,0.20278,0.19061,0.24876,2.27595,1.74692,12.30524,
2n13_32-30cm_20um_rec_voi_1105.bmp,22.75348,244,95.03969,41.17201,43.32086,36.46641,430.95317,10.46714,0.16874,0.46351,-4.18736,154,90,11.06897,46.48800,21.18829,42.79871,53.86768,45.03246,56.67914,,,,,,,,,,,,41.91880,0.19495,0.19107,0.24999,2.26723,1.74832,12.56836,
2n13_32-30cm_20um_rec_voi_1104.bmp,22.73289,236,95.03969,41.18950,43.33926,36.46641,428.66228,10.40708,0.17453,0.47140,-3.91684,141,95,10.85215,42.62545,20.85281,42.99804,53.85019,45.24220,56.66074,,,,,,,,,,,,46.06436,0.19022,0.19218,0.25125,2.25518,1.74944,12.83501,
2n13_32-30cm_20um_rec_voi_1103.bmp,22.71230,212,95.03969,41.23333,43.38538,36.46641,420.53036,10.19880,0.19450,0.49764,-4.05251,114,98,10.65732,43.30971,20.53803,43.14904,53.80636,45.40108,56.61462,,,,,,,,,,,,54.64428,0.18975,0.19610,0.25590,2.21239,1.67717,12.87619,
2n13_32-30cm_20um_rec_voi_1102.bmp,22.69171,204,95.03969,41.14805,43.29565,36.46641,414.76634,10.07985,0.20171,0.50677,-3.62046,118,86,10.48369,38.06901,20.30473,43.40795,53.89163,45.67350,56.70435,,,,,,,,,,,,63.43020,0.20178,0.19842,0.25987,2.18207,1.74350,13.27742,
