
<<<<< Begin of task (72ec830c-331e-4b02-ba04-12c596ee131b) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_36-34cm_20um\2n13_36-34cm_20um_Rec\VOI\2n13_36-34cm_20um_rec_voi_0035.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1065
Total Z-position range, 35, 1099
Number of images inside VOI, 1065
Z-position range of VOI, 35, 1099
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 16:21:20 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 12/08/20 16:21:21 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 16:21:21 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3315 speckles removed
[ 12/08/20 16:21:23 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:21:23 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 16:21:26 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:22:15 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:49
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_36-34cm_20um\2n13_36-34cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_36-34cm_20um_rec_voi_1099.bmp,22.62993,222,95.03969,41.26423,43.41789,36.46641,442.19193,10.71611,0.18587,0.48648,-4.37984,134,88,11.72130,51.42579,22.12170,42.05415,53.77546,44.24904,56.58211,,,,,,,,,,,,164.82221,0.23280,0.18663,0.24322,2.32635,1.75550,16.87496,
2n13_36-34cm_20um_rec_voi_1098.bmp,22.60934,233,95.03969,41.29831,43.45375,36.46641,435.48071,10.54476,0.17725,0.47505,-3.51011,156,77,10.98253,38.63679,21.00679,42.75885,53.74138,44.99052,56.54625,,,,,,,,,,,,163.50661,0.21657,0.18967,0.24681,2.29105,1.67805,16.84187,
2n13_36-34cm_20um_rec_voi_1097.bmp,22.58875,213,95.03969,41.45032,43.61369,36.46641,427.41323,10.31146,0.19460,0.49777,-3.11513,135,78,10.74000,33.57444,20.57853,42.84937,53.58937,45.08577,56.38631,,,,,,,,,,,,162.68866,0.20043,0.19396,0.25076,2.24860,1.74962,17.07691,
2n13_36-34cm_20um_rec_voi_1096.bmp,22.56816,210,95.03969,41.52754,43.69494,36.46641,419.36196,10.09841,0.19775,0.50178,-3.57703,135,75,10.81372,38.79380,20.66003,42.69843,53.51215,44.92695,56.30506,,,,,,,,,,,,156.33828,0.17980,0.19805,0.25521,2.20625,1.74610,16.82232,
2n13_36-34cm_20um_rec_voi_1095.bmp,22.54757,198,95.03969,41.68135,43.85678,36.46641,413.31980,9.91618,0.21051,0.51772,-3.85538,112,86,10.92179,42.18800,20.76262,42.43655,53.35834,44.65140,56.14322,,,,,,,,,,,,143.66402,0.17417,0.20169,0.25819,2.17446,1.74634,16.48639,
2n13_36-34cm_20um_rec_voi_1094.bmp,22.52697,179,95.03969,41.68516,43.86079,36.46641,410.05172,9.83687,0.23288,0.54453,-3.48321,96,83,10.71207,37.39944,20.44395,42.64246,53.35453,44.86806,56.13921,,,,,,,,,,,,135.34950,0.18312,0.20332,0.26023,2.15727,1.74384,15.79896,
2n13_36-34cm_20um_rec_voi_1093.bmp,22.50638,182,95.03969,41.58981,43.76047,36.46641,405.50734,9.75016,0.22852,0.53940,-3.21129,112,70,10.41298,33.56102,20.02389,43.03689,53.44987,45.28307,56.23953,,,,,,,,,,,,128.93649,0.19809,0.20512,0.26362,2.13336,1.74241,15.80998,
2n13_36-34cm_20um_rec_voi_1092.bmp,22.48579,174,95.03969,41.48932,43.65474,36.46641,401.21384,9.67029,0.23844,0.55100,-3.26838,103,71,10.36560,33.99990,19.98962,43.18476,53.55036,45.43866,56.34526,,,,,,,,,,,,127.28145,0.21108,0.20682,0.26694,2.11077,1.73699,15.70453,
