
<<<<< Begin of task (37ee2c68-da63-4416-8e3f-109ac2d7f1c6) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_38-36cm_20um\2n13_38-36cm_20um_Rec\VOI\2n13_38-36cm_20um_rec_voi_0027.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1056
Total Z-position range, 27, 1082
Number of images inside VOI, 1056
Z-position range of VOI, 27, 1082
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 16:26:09 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 12/08/20 16:26:10 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 16:26:10 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3034 speckles removed
[ 12/08/20 16:26:13 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:26:13 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 16:26:16 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:27:07 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:51
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_38-36cm_20um\2n13_38-36cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_38-36cm_20um_rec_voi_1082.bmp,22.27988,80,95.03969,20.15386,21.20574,36.46641,185.36335,9.19741,0.25192,0.56636,-5.03826,61,19,6.65312,33.61524,24.81860,68.23271,74.88582,71.79391,78.79426,,,,,,,,,,,,82.55457,0.71015,0.21745,0.80799,0.97519,1.50815,6.37702,
2n13_38-36cm_20um_rec_voi_1081.bmp,22.25929,83,95.03969,21.10634,22.20792,36.46641,192.17037,9.10486,0.25429,0.56901,-2.00876,59,24,11.38401,22.94199,35.03812,62.54934,73.93335,65.81392,77.79208,,,,,,,,,,,,82.05367,0.70822,0.21966,0.76946,1.01100,1.51144,6.76618,
2n13_38-36cm_20um_rec_voi_1080.bmp,22.23870,79,95.03969,21.92440,23.06868,36.46641,195.70052,8.92615,0.27752,0.59444,-2.98932,50,29,12.29726,36.84343,35.93414,60.81802,73.11528,63.99224,76.93132,,,,,,,,,,,,81.78265,0.70748,0.22406,0.74722,1.02957,1.52712,7.55908,
2n13_38-36cm_20um_rec_voi_1079.bmp,22.21810,74,95.03969,22.76160,23.94958,36.46641,198.55213,8.72312,0.30759,0.62581,-2.20576,49,25,9.49989,21.01946,29.44653,62.77820,72.27809,66.05472,76.05042,,,,,,,,,,,,81.44568,0.70780,0.22928,0.72805,1.04457,1.46416,7.82823,
2n13_38-36cm_20um_rec_voi_1078.bmp,22.19751,76,95.03969,23.62981,24.86309,36.46641,204.34905,8.64794,0.31092,0.62918,-1.87550,50,26,14.22166,26.72232,37.57229,57.18822,71.40988,60.17299,75.13691,,,,,,,,,,,,81.39002,0.70810,0.23127,0.69890,1.07507,1.54350,7.97736,
2n13_38-36cm_20um_rec_voi_1077.bmp,22.17692,71,95.03969,24.35252,25.62353,36.46641,209.92093,8.62009,0.34299,0.66084,-2.58832,41,30,9.70548,25.18806,28.49691,60.98169,70.68717,64.16445,74.37647,,,,,,,,,,,,81.35711,0.70846,0.23202,0.67346,1.10439,1.55596,8.03810,
2n13_38-36cm_20um_rec_voi_1076.bmp,22.15633,84,95.03969,24.87071,26.16876,36.46641,216.06317,8.68746,0.29608,0.61399,-0.66521,55,29,13.93583,9.32214,35.91103,56.23315,70.16898,59.16807,73.83124,,,,,,,,,,,,81.49588,0.70547,0.23022,0.64952,1.13670,1.56573,8.34740,
2n13_38-36cm_20um_rec_voi_1075.bmp,22.13574,88,95.03969,25.39192,26.71717,36.46641,221.45790,8.72159,0.28854,0.60612,-4.16957,70,18,8.73005,36.47971,25.58485,60.91772,69.64777,64.09713,73.28283,,,,,,,,,,,,81.50992,0.70388,0.22932,0.62899,1.16508,1.57112,8.55478,
