
<<<<< Begin of task (19b3968a-7903-4fad-b08a-31d16d57b66c) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_40-38cm_20um\2n13_40-38cm_20um_Rec\VOI\2n13_40-38cm_20um_rec_voi_0091.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1014
Total Z-position range, 91, 1104
Number of images inside VOI, 1014
Z-position range of VOI, 91, 1104
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 16:30:54 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 12/08/20 16:30:54 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 16:30:54 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2681 speckles removed
[ 12/08/20 16:30:57 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:30:57 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 16:30:59 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:31:46 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:47
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_40-38cm_20um\2n13_40-38cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_40-38cm_20um_rec_voi_1104.bmp,22.73289,183,95.03969,40.45284,42.56416,36.46641,400.49082,9.90019,0.22105,0.53052,-3.65402,100,83,10.18439,37.29467,20.11245,44.40245,54.58684,46.71991,57.43584,,,,,,,,,,,,24.73218,0.21732,0.20202,0.27260,2.10697,1.72716,12.16609,
2n13_40-38cm_20um_rec_voi_1103.bmp,22.71230,181,95.03969,40.28436,42.38688,36.46641,394.37392,9.78975,0.22257,0.53233,-3.23515,111,70,10.06662,32.64586,19.99291,44.68871,54.75533,47.02110,57.61312,,,,,,,,,,,,24.04508,0.22593,0.20430,0.27768,2.07479,1.71733,12.12594,
2n13_40-38cm_20um_rec_voi_1102.bmp,22.69171,181,95.03969,40.01543,42.10392,36.46641,390.61822,9.76169,0.22108,0.53055,-2.82474,113,68,9.98993,28.29276,19.97772,45.03433,55.02426,47.38476,57.89608,,,,,,,,,,,,21.61008,0.22796,0.20488,0.28173,2.05503,1.72466,12.17566,
2n13_40-38cm_20um_rec_voi_1101.bmp,22.67111,192,95.03969,39.86872,41.94955,36.46641,390.35870,9.79110,0.20765,0.51419,-2.67236,127,65,9.99184,26.77728,20.03956,45.17912,55.17096,47.53711,58.05045,,,,,,,,,,,,21.40018,0.23897,0.20427,0.28267,2.05366,1.72616,12.11991,
2n13_40-38cm_20um_rec_voi_1100.bmp,22.65052,191,95.03969,39.55247,41.61679,36.46641,386.09018,9.76147,0.20708,0.51348,-2.34975,136,55,9.92347,23.38737,20.05716,45.56375,55.48722,47.94181,58.38321,,,,,,,,,,,,18.96968,0.24369,0.20489,0.28743,2.03121,1.72196,12.33478,
2n13_40-38cm_20um_rec_voi_1099.bmp,22.62993,191,95.03969,39.29929,41.35039,36.46641,379.75203,9.66308,0.20576,0.51184,-1.53968,144,47,9.68332,14.96252,19.76890,46.05708,55.74040,48.46089,58.64961,,,,,,,,,,,,19.12192,0.24715,0.20697,0.29356,1.99786,1.71942,12.11181,
2n13_40-38cm_20um_rec_voi_1098.bmp,22.60934,192,95.03969,38.99935,41.03481,36.46641,374.82751,9.61112,0.20312,0.50855,-1.51277,152,40,9.61039,14.58017,19.77051,46.42994,56.04033,48.85321,58.96519,,,,,,,,,,,,19.08377,0.25290,0.20809,0.29902,1.97195,1.71808,12.09975,
2n13_40-38cm_20um_rec_voi_1097.bmp,22.58875,162,95.03969,38.84157,40.86879,36.46641,367.37278,9.45824,0.23976,0.55252,-1.55525,118,44,9.35716,14.59380,19.41370,46.84096,56.19812,49.28568,59.13121,,,,,,,,,,,,17.52689,0.26226,0.21146,0.30595,1.93273,1.71700,11.65131,
