
<<<<< Begin of task (91a70415-8778-4f5c-a5e8-3873ee96dee2) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_42-40cm_20um\2n13_42-40cm_20um_Rec\VOI\2n13_42-40cm_20um_rec_voi_0030.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1049
Total Z-position range, 30, 1078
Number of images inside VOI, 1049
Z-position range of VOI, 30, 1078
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 16:36:04 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 12/08/20 16:36:05 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 16:36:05 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2785 speckles removed
[ 12/08/20 16:36:08 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:36:08 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 16:36:11 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:37:00 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:49
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_42-40cm_20um\2n13_42-40cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_42-40cm_20um_rec_voi_1078.bmp,22.19751,111,95.03969,38.03766,40.02292,36.46641,329.76396,8.66941,0.34268,0.66054,-0.36725,89,22,8.59193,3.23505,18.42593,48.41010,57.00203,50.93672,59.97708,,,,,,,,,,,,153.31882,0.29946,0.23070,0.34571,1.73488,1.69719,15.42314,
2n13_42-40cm_20um_rec_voi_1077.bmp,22.17692,117,95.03969,37.92408,39.90341,36.46641,328.84709,8.67120,0.32414,0.64242,-0.15198,96,21,8.55107,1.37683,18.39923,48.56454,57.11561,51.09922,60.09659,,,,,,,,,,,,154.83488,0.28927,0.23065,0.34737,1.73005,1.64479,16.00159,
2n13_42-40cm_20um_rec_voi_1076.bmp,22.15633,107,95.03969,37.77679,39.74844,36.46641,330.20698,8.74100,0.35305,0.67046,-0.50096,83,24,8.86091,4.52014,18.99946,48.40199,57.26290,50.92818,60.25156,,,,,,,,,,,,154.79015,0.28154,0.22881,0.34683,1.73721,1.69653,16.43943,
2n13_42-40cm_20um_rec_voi_1075.bmp,22.13574,115,95.03969,37.63856,39.60300,36.46641,329.75397,8.76107,0.32729,0.64554,-0.50894,93,22,8.86298,4.59216,19.05954,48.53814,57.40112,51.07145,60.39700,,,,,,,,,,,,152.57551,0.28069,0.22828,0.34815,1.73482,1.69636,16.51120,
2n13_42-40cm_20um_rec_voi_1074.bmp,22.11515,107,95.03969,37.67137,39.63752,36.46641,328.50128,8.72018,0.35207,0.66953,-0.44651,85,22,8.58695,3.88983,18.56304,48.78136,57.36832,51.32736,60.36248,,,,,,,,,,,,149.37614,0.27710,0.22935,0.34927,1.72823,1.69815,16.69798,
2n13_42-40cm_20um_rec_voi_1073.bmp,22.09456,116,95.03969,37.73540,39.70488,36.46641,327.06160,8.66724,0.32531,0.64358,0.01580,95,21,8.57725,-0.04337,18.52032,48.72704,57.30429,51.27020,60.29512,,,,,,,,,,,,148.86912,0.27212,0.23075,0.35042,1.72066,1.69669,16.74520,
2n13_42-40cm_20um_rec_voi_1072.bmp,22.07396,106,95.03969,37.86673,39.84307,36.46641,325.33727,8.59164,0.35723,0.67442,0.06232,85,21,8.32227,-0.41488,18.01785,48.85069,57.17296,51.40031,60.15693,,,,,,,,,,,,146.86124,0.26661,0.23278,0.35147,1.71159,1.69608,16.26264,
2n13_42-40cm_20um_rec_voi_1071.bmp,22.05337,109,95.03969,38.15919,40.15079,36.46641,326.78159,8.56364,0.35008,0.66764,-0.37560,86,23,8.57036,3.29828,18.34035,48.31014,56.88050,50.83154,59.84921,,,,,,,,,,,,145.17815,0.26198,0.23355,0.34813,1.71918,1.69927,16.65784,
