
<<<<< Begin of task (02cac016-2516-4c93-9d7c-378459b6b02d) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_44-42cm_20um_redo\2n13_44-42cm_20um_redo_Rec\VOI\2n13_44-42cm_20um_redo_rec_voi_0063.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 938
Total Z-position range, 46, 983
Number of images inside VOI, 938
Z-position range of VOI, 46, 983
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 16:40:51 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 12/08/20 16:40:52 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 16:40:52 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2805 speckles removed
[ 12/08/20 16:40:54 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:40:54 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 16:40:57 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:41:44 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:47
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_44-42cm_20um_redo\2n13_44-42cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_44-42cm_20um_redo_rec_voi_0983.bmp,20.24133,146,95.03969,46.32717,48.74508,36.46641,421.86219,9.10615,0.31731,0.63562,-1.50324,108,38,10.91606,16.52975,19.06962,37.79645,48.71252,39.76913,51.25492,,,,,,,,,,,,70.17538,0.18867,0.21963,0.23094,2.21940,1.76470,17.87187,
2n13_44-42cm_20um_redo_rec_voi_0982.bmp,20.22074,156,95.03969,45.85112,48.24418,36.46641,419.45482,9.14819,0.29392,0.61174,-1.58493,122,34,11.04327,17.63633,19.41012,38.14530,49.18857,40.13618,51.75582,,,,,,,,,,,,76.36622,0.13855,0.21862,0.23454,2.20674,1.76378,18.12396,
2n13_44-42cm_20um_redo_rec_voi_0981.bmp,20.20015,157,95.03969,45.46755,47.84060,36.46641,415.49749,9.13833,0.28960,0.60723,-0.78571,127,30,10.57872,8.43072,18.87497,38.99342,49.57213,41.02856,52.15940,,,,,,,,,,,,85.28201,0.09207,0.21886,0.23862,2.18592,1.76107,18.62712,
2n13_44-42cm_20um_redo_rec_voi_0980.bmp,20.17956,152,95.03969,45.12109,47.47605,36.46641,407.44450,9.03002,0.29685,0.61478,-0.50433,131,21,10.30656,5.31189,18.59462,39.61204,49.91860,41.67947,52.52395,,,,,,,,,,,,11.10297,0.03683,0.22148,0.24503,2.14355,1.75810,18.65727,
2n13_44-42cm_20um_redo_rec_voi_0979.bmp,20.15897,153,95.03969,45.07318,47.42563,36.46641,404.85069,8.98208,0.29460,0.61245,-0.76847,121,32,10.35256,8.07335,18.67826,39.61395,49.96651,41.68148,52.57437,,,,,,,,,,,,6.22266,0.10706,0.22267,0.24684,2.12990,1.75288,18.45136,
2n13_44-42cm_20um_redo_rec_voi_0978.bmp,20.13837,146,95.03969,45.07969,47.43249,36.46641,404.47162,8.97237,0.30877,0.62700,-0.91328,116,30,10.28202,9.51147,18.57244,39.67797,49.95999,41.74885,52.56751,,,,,,,,,,,,8.55805,0.15162,0.22291,0.24704,2.12791,1.75342,18.60902,
2n13_44-42cm_20um_redo_rec_voi_0977.bmp,20.11778,157,95.03969,45.02579,47.37578,36.46641,402.52397,8.93985,0.28679,0.60428,-0.93793,127,30,10.26718,9.75150,18.56869,39.74672,50.01389,41.82118,52.62422,,,,,,,,,,,,7.30898,0.18002,0.22372,0.24850,2.11766,1.75305,18.46988,
2n13_44-42cm_20um_redo_rec_voi_0976.bmp,20.09719,135,95.03969,45.11558,47.47025,36.46641,398.72759,8.83791,0.33419,0.65231,-1.00601,104,31,10.14952,10.34512,18.36515,39.77460,49.92411,41.85051,52.52975,,,,,,,,,,,,10.02751,0.19409,0.22630,0.25042,2.09769,1.75328,18.83242,
