
<<<<< Begin of task (fbded075-356c-4c91-bf5b-188e1bea3226) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_46-44cm_20um_redo\2n13_46-44cm_20um_redo_Rec\VOI\2n13_46-44cm_20um_redo_rec_voi_0048.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1042
Total Z-position range, 44, 1085
Number of images inside VOI, 1042
Z-position range of VOI, 44, 1085
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 16:45:05 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 12/08/20 16:45:06 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 16:45:06 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3284 speckles removed
[ 12/08/20 16:45:09 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:45:09 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 16:45:12 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:46:07 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:55
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_46-44cm_20um_redo\2n13_46-44cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_46-44cm_20um_redo_rec_voi_1085.bmp,22.34165,158,95.03969,41.02605,43.16728,36.46641,359.51950,8.76320,0.25966,0.57498,-1.33747,114,44,9.38085,12.59518,18.61025,44.63279,54.01364,46.96227,56.83272,,,,,,,,,,,,36.04440,0.33200,0.22823,0.30048,1.89142,1.72509,10.86462,
2n13_46-44cm_20um_redo_rec_voi_1084.bmp,22.32106,143,95.03969,41.32550,43.48236,36.46641,355.15776,8.59416,0.28899,0.60659,-1.31516,107,36,9.25243,12.22832,18.29341,44.46176,53.71419,46.78231,56.51764,,,,,,,,,,,,35.75201,0.32746,0.23272,0.30248,1.86847,1.72426,10.52163,
2n13_46-44cm_20um_redo_rec_voi_1083.bmp,22.30047,133,95.03969,41.45063,43.61403,36.46641,354.25795,8.54650,0.31166,0.62993,-0.83013,100,33,9.05807,7.57402,17.93369,44.53098,53.58905,46.85514,56.38597,,,,,,,,,,,,34.11653,0.31554,0.23401,0.30254,1.86374,1.68694,10.51560,
2n13_46-44cm_20um_redo_rec_voi_1082.bmp,22.27988,120,95.03969,41.64801,43.82170,36.46641,354.64979,8.51541,0.34707,0.66475,-1.18550,77,43,9.03597,10.77057,17.82806,44.35571,53.39168,46.67072,56.17830,,,,,,,,,,,,34.38594,0.29989,0.23487,0.30110,1.86580,1.73068,10.02348,
2n13_46-44cm_20um_redo_rec_voi_1081.bmp,22.25929,120,95.03969,41.79858,43.98014,36.46641,354.88018,8.49024,0.34832,0.66596,-0.98852,72,48,8.99098,8.94425,17.70241,44.25013,53.24110,46.55963,56.01986,,,,,,,,,,,,35.73693,0.27994,0.23556,0.30005,1.86701,1.73275,9.69505,
2n13_46-44cm_20um_redo_rec_voi_1080.bmp,22.23870,129,95.03969,41.83171,44.01499,36.46641,353.26906,8.44501,0.32428,0.64256,-0.81327,91,38,9.00836,7.38102,17.71902,44.19962,53.20798,46.50649,55.98501,,,,,,,,,,,,36.71023,0.27551,0.23683,0.30123,1.85853,1.73418,9.60915,
2n13_46-44cm_20um_redo_rec_voi_1079.bmp,22.21810,119,95.03969,41.92139,44.10935,36.46641,350.45985,8.35993,0.35228,0.66973,-0.67419,83,36,8.95923,6.13469,17.60833,44.15907,53.11830,46.46382,55.89065,,,,,,,,,,,,37.53021,0.26817,0.23924,0.30313,1.84376,1.73214,9.32544,
2n13_46-44cm_20um_redo_rec_voi_1078.bmp,22.19751,118,95.03969,42.15618,44.35639,36.46641,351.67949,8.34230,0.35726,0.67444,-1.04034,81,37,9.05187,9.50168,17.67666,43.83164,52.88351,46.11930,55.64361,,,,,,,,,,,,39.82097,0.26803,0.23974,0.30075,1.85017,1.73130,9.56797,
