
<<<<< Begin of task (c57d8ce7-5420-4c01-b9c3-734e31501619) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_47-45cm_20um_redo2\2n13_47-45cm_20um_redo2_Rec\VOI\2n13_47-45cm_20um_redo2_rec_voi_0034.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1069
Total Z-position range, 34, 1102
Number of images inside VOI, 1069
Z-position range of VOI, 34, 1102
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 16:50:29 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 12/08/20 16:50:29 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 16:50:29 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3228 speckles removed
[ 12/08/20 16:50:32 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:50:32 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 16:50:35 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:51:28 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:53
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_47-45cm_20um_redo2\2n13_47-45cm_20um_redo2_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_47-45cm_20um_redo2_rec_voi_1102.bmp,22.69171,192,95.03969,38.32471,40.32495,36.46641,401.35217,10.47241,0.19961,0.50413,-3.45302,112,80,10.05687,34.81250,20.78657,46.65811,56.71498,49.09329,59.67505,,,,,,,,,,,,167.18832,0.39464,0.19098,0.28262,2.11150,1.73449,11.17728,
2n13_47-45cm_20um_redo2_rec_voi_1101.bmp,22.67111,198,95.03969,38.36918,40.37174,36.46641,398.75922,10.39270,0.19378,0.49672,-3.91932,112,86,10.20559,40.13971,21.01007,46.46492,56.67051,48.89002,59.62826,,,,,,,,,,,,165.00128,0.39208,0.19244,0.28423,2.09786,1.73226,11.30332,
2n13_47-45cm_20um_redo2_rec_voi_1100.bmp,22.65052,202,95.03969,38.25411,40.25067,36.46641,396.16920,10.35625,0.18938,0.49104,-3.84328,111,91,10.11056,39.00108,20.90485,46.67501,56.78557,49.11108,59.74933,,,,,,,,,,,,163.57879,0.39306,0.19312,0.28667,2.08423,1.72702,11.12756,
2n13_47-45cm_20um_redo2_rec_voi_1099.bmp,22.62993,194,95.03969,38.06278,40.04935,36.46641,391.34688,10.28162,0.19620,0.49981,-3.56346,112,82,9.95596,35.61738,20.73349,47.02095,56.97691,49.47507,59.95065,,,,,,,,,,,,163.34050,0.39619,0.19452,0.29118,2.05886,1.72674,11.04270,
2n13_47-45cm_20um_redo2_rec_voi_1098.bmp,22.60934,181,95.03969,37.94735,39.92789,36.46641,384.20834,10.12478,0.20965,0.51666,-3.22225,101,80,9.61124,31.08042,20.20927,47.48110,57.09234,49.95923,60.07211,,,,,,,,,,,,162.82725,0.40129,0.19754,0.29719,2.02130,1.72326,11.01504,
2n13_47-45cm_20um_redo2_rec_voi_1097.bmp,22.58875,172,95.03969,37.93038,39.91005,36.46641,377.02034,9.93980,0.22053,0.52989,-2.96364,90,82,9.45574,28.10305,19.95466,47.65356,57.10930,50.14070,60.08995,,,,,,,,,,,,162.83508,0.39917,0.20121,0.30295,1.98349,1.72133,10.87340,
2n13_47-45cm_20um_redo2_rec_voi_1096.bmp,22.56816,171,95.03969,37.89291,39.87062,36.46641,373.32202,9.85203,0.22160,0.53117,-2.92915,84,87,9.34719,27.44826,19.78656,47.79958,57.14677,50.29434,60.12938,,,,,,,,,,,,163.11177,0.40235,0.20300,0.30615,1.96403,1.71886,10.96929,
2n13_47-45cm_20um_redo2_rec_voi_1095.bmp,22.54757,168,95.03969,37.88253,39.85969,36.46641,369.82341,9.76237,0.22549,0.53582,-2.57196,92,76,9.36437,24.14728,19.82007,47.79280,57.15716,50.28720,60.14031,,,,,,,,,,,,163.99281,0.40267,0.20487,0.30911,1.94563,1.70530,11.14255,
