
<<<<< Begin of task (7de7543f-b35f-4148-972b-e88a077aca9b) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_49-47cm_20um_redo\2n13_49-47cm_20um_redo_Rec\VOI\2n13_49-47cm_20um_redo_rec_voi_0155.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 927
Total Z-position range, 155, 1081
Number of images inside VOI, 927
Z-position range of VOI, 155, 1081
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 16:44:15 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/08/20 16:44:16 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 16:44:16 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3369 speckles removed
[ 12/08/20 16:44:18 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:44:18 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 16:44:21 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:45:27 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:06
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_49-47cm_20um_redo\2n13_49-47cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_49-47cm_20um_redo_rec_voi_1081.bmp,22.25929,99,95.03969,40.74117,42.86753,36.46641,319.51123,7.84247,0.41153,0.72386,-0.48612,77,22,8.18945,4.07283,16.73686,46.10907,54.29852,48.51560,57.13247,,,,,,,,,,,,99.09381,0.25556,0.25502,0.33988,1.68094,1.69489,16.15262,
2n13_49-47cm_20um_redo_rec_voi_1080.bmp,22.23870,95,95.03969,40.66633,42.78879,36.46641,316.78681,7.78990,0.42807,0.73826,0.04375,80,15,8.02218,-0.29304,16.47653,46.35118,54.37336,48.77034,57.21121,,,,,,,,,,,,98.12477,0.26119,0.25674,0.34328,1.66660,1.69819,15.98892,
2n13_49-47cm_20um_redo_rec_voi_1079.bmp,22.21810,99,95.03969,40.37679,42.48413,36.46641,314.01429,7.77710,0.40785,0.72062,-0.01468,80,19,8.11800,0.15340,16.73995,46.54490,54.66290,48.97417,57.51587,,,,,,,,,,,,96.60652,0.26266,0.25717,0.34816,1.65202,1.60867,15.73786,
2n13_49-47cm_20um_redo_rec_voi_1078.bmp,22.19751,104,95.03969,40.10028,42.19320,36.46641,310.68904,7.74780,0.38558,0.70067,0.38882,88,16,7.87706,-3.01867,16.41829,47.06234,54.93940,49.51862,57.80680,,,,,,,,,,,,97.52696,0.27463,0.25814,0.35366,1.63452,1.69474,15.20705,
2n13_49-47cm_20um_redo_rec_voi_1077.bmp,22.17692,102,95.03969,39.90641,41.98920,36.46641,309.76889,7.76238,0.39124,0.70579,0.28698,87,15,7.82072,-2.22828,16.38632,47.31256,55.13328,49.78190,58.01080,,,,,,,,,,,,99.48965,0.28337,0.25765,0.35596,1.62968,1.69332,15.35369,
2n13_49-47cm_20um_redo_rec_voi_1076.bmp,22.15633,103,95.03969,39.69790,41.76982,36.46641,311.90383,7.85693,0.38542,0.70052,0.23542,87,16,7.85708,-1.80474,16.52210,47.48470,55.34178,49.96303,58.23018,,,,,,,,,,,,100.46887,0.29133,0.25455,0.35486,1.64091,1.66310,15.50490,
2n13_49-47cm_20um_redo_rec_voi_1075.bmp,22.13574,106,95.03969,39.68317,41.75431,36.46641,315.04250,7.93895,0.37437,0.69041,-0.05672,86,20,8.33170,0.53112,17.35233,47.02482,55.35652,49.47914,58.24569,,,,,,,,,,,,100.68886,0.29533,0.25192,0.35142,1.65743,1.69486,15.43313,
2n13_49-47cm_20um_redo_rec_voi_1074.bmp,22.11515,110,95.03969,39.70315,41.77534,36.46641,316.73770,7.97765,0.36094,0.67791,0.07253,91,19,7.99758,-0.53429,16.76617,47.33895,55.33654,49.80967,58.22466,,,,,,,,,,,,102.06257,0.29598,0.25070,0.34942,1.66634,1.69879,15.26797,
