
<<<<< Begin of task (f2f55a93-9ff2-4b6b-a167-89c2e24e4db3) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_49-47cm_20um_redo\2n13_49-47cm_20um_redo_Rec\VOI\2n13_49-47cm_20um_redo_rec_voi_0027.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1012
Total Z-position range, 27, 1038
Number of images inside VOI, 1012
Z-position range of VOI, 27, 1038
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 16:55:58 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 12/08/20 16:55:59 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 16:55:59 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2450 speckles removed
[ 12/08/20 16:56:03 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:56:03 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 16:56:07 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:56:50 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\49-32cm\2n13_49-47cm_20um_redo\2n13_49-47cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_49-47cm_20um_redo_rec_voi_1038.bmp,21.37386,26,95.03969,10.05072,10.57529,36.46641,78.73473,7.83374,0.38657,0.70156,-0.65004,17,9,0.34885,6.52908,3.35447,84.64011,84.98896,89.05765,89.42471,,,,,,,,,,,,169.92356,0.83993,0.25531,2.15887,0.41422,1.52803,2.86331,
2n13_49-47cm_20um_redo_rec_voi_1037.bmp,21.35327,22,95.03969,10.23633,10.77059,36.46641,78.51883,7.67060,0.46529,0.76969,-6.14010,15,7,1.05577,6.48255,9.34965,83.74758,84.80336,88.11854,89.22941,,,,,,,,,,,,170.21221,0.84447,0.26074,2.16008,0.41308,1.52877,2.79551,
2n13_49-47cm_20um_redo_rec_voi_1036.bmp,21.33267,26,95.03969,10.46763,11.01395,36.46641,82.59400,7.89042,0.40260,0.71597,-0.00000,20,6,0.24211,4.64295,2.26063,84.32995,84.57206,88.73130,88.98605,,,,,,,,,,,,170.76010,0.85181,0.25347,2.04790,0.43452,1.53828,2.80403,
2n13_49-47cm_20um_redo_rec_voi_1035.bmp,21.31208,21,95.03969,10.72457,11.28431,36.46641,82.83353,7.72371,0.51069,0.80637,0.25832,11,10,2.46522,8.97072,18.69035,81.84990,84.31511,86.12181,88.71569,,,,,,,,,,,,171.15316,0.85709,0.25894,2.03577,0.43578,1.53738,2.77491,
2n13_49-47cm_20um_redo_rec_voi_1034.bmp,21.29149,16,95.03969,11.00622,11.58066,36.46641,85.51091,7.76933,0.68789,0.93587,2.85168,3,13,1.39280,8.61956,11.23317,82.64066,84.03347,86.95385,88.41934,,,,,,,,,,,,171.43553,0.86223,0.25742,1.96544,0.44987,1.54209,2.68402,
2n13_49-47cm_20um_redo_rec_voi_1033.bmp,21.27090,18,95.03969,11.23836,11.82491,36.46641,88.73366,7.89560,0.62435,0.89160,-0.11297,1,17,3.28784,19.03288,22.63387,80.51348,83.80133,84.71564,88.17509,,,,,,,,,,,,171.49289,0.86749,0.25331,1.88883,0.46682,1.55257,2.61621,
2n13_49-47cm_20um_redo_rec_voi_1032.bmp,21.25031,19,95.03969,11.49674,12.09678,36.46641,90.66597,7.88623,0.60509,0.87774,0.14671,-1,20,2.79329,15.29267,19.54714,80.74965,83.54295,84.96414,87.90322,,,,,,,,,,,,171.69786,0.87137,0.25361,1.84287,0.47699,1.55881,2.62474,
2n13_49-47cm_20um_redo_rec_voi_1031.bmp,21.22972,17,95.03969,11.76116,12.37500,36.46641,92.96186,7.90414,0.69183,0.93855,-0.09603,-2,19,4.41352,30.70995,27.28661,78.86501,83.27853,82.98113,87.62500,,,,,,,,,,,,171.55284,0.87380,0.25303,1.79167,0.48907,1.56370,2.59562,
