
<<<<< Begin of task (be01e6e8-c841-4107-924a-167be3cc0386) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_51-49cm_20um_redo\2n13_51-49cm_20um_redo_Rec\VOI\2n13_51-49cm_20um_redo_rec_voi_0056.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1040
Total Z-position range, 56, 1095
Number of images inside VOI, 1040
Z-position range of VOI, 56, 1095
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 16:49:52 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/08/20 16:49:53 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 16:49:53 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1955 speckles removed
[ 12/08/20 16:49:56 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:49:56 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 16:49:59 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:50:49 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:50
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_51-49cm_20um_redo\2n13_51-49cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_51-49cm_20um_redo_rec_voi_1095.bmp,22.54757,143,95.03969,41.85423,44.03869,36.46641,353.99636,8.45784,0.29269,0.61046,-2.49460,92,51,9.16476,22.95541,17.96343,44.02069,53.18545,46.31822,55.96131,,,,,,,,,,,,8.78573,0.28888,0.23647,0.30049,1.86236,1.71550,14.04516,
2n13_51-49cm_20um_redo_rec_voi_1094.bmp,22.52697,133,95.03969,41.80627,43.98822,36.46641,351.70119,8.41264,0.31433,0.63263,-2.49950,90,43,7.16235,17.96186,14.62640,46.07107,53.23342,48.47561,56.01178,,,,,,,,,,,,9.09031,0.28280,0.23774,0.30272,1.85029,1.71378,14.14105,
2n13_51-49cm_20um_redo_rec_voi_1093.bmp,22.50638,134,95.03969,41.76806,43.94801,36.46641,351.24368,8.40939,0.31170,0.62998,-1.89269,91,43,9.05262,17.18953,17.81286,44.21902,53.27163,46.52690,56.05199,,,,,,,,,,,,7.90132,0.27054,0.23783,0.30333,1.84788,1.71033,14.08031,
2n13_51-49cm_20um_redo_rec_voi_1092.bmp,22.48579,145,95.03969,41.71050,43.88745,36.46641,349.88294,8.38837,0.28766,0.60519,-1.47354,106,39,9.28322,13.77807,18.20464,44.04597,53.32919,46.34482,56.11255,,,,,,,,,,,,6.87088,0.25739,0.23843,0.30484,1.84072,1.71483,14.00147,
2n13_51-49cm_20um_redo_rec_voi_1091.bmp,22.46520,146,95.03969,41.60757,43.77915,36.46641,348.24340,8.36971,0.28498,0.60237,-1.00123,104,42,8.89796,8.97559,17.61779,44.53416,53.43212,46.85849,56.22085,,,,,,,,,,,,4.21056,0.23719,0.23896,0.30687,1.83209,1.66569,13.76248,
2n13_51-49cm_20um_redo_rec_voi_1090.bmp,22.44461,139,95.03969,41.33165,43.48883,36.46641,345.05184,8.34837,0.29735,0.61530,-1.64360,104,35,9.81683,16.20543,19.19281,43.89121,53.70804,46.18198,56.51117,,,,,,,,,,,,6.14763,0.21201,0.23957,0.31130,1.81530,1.71323,14.28726,
2n13_51-49cm_20um_redo_rec_voi_1089.bmp,22.42402,147,95.03969,40.97310,43.11157,36.46641,340.88224,8.31966,0.27873,0.59572,-0.93539,113,34,8.84644,8.34786,17.75697,45.22015,54.06659,47.58028,56.88843,,,,,,,,,,,,8.99251,0.17100,0.24039,0.31722,1.79337,1.71022,14.50066,
2n13_51-49cm_20um_redo_rec_voi_1088.bmp,22.40343,139,95.03969,40.62891,42.74942,36.46641,336.04630,8.27111,0.29229,0.61005,-2.71253,108,31,0.56318,14.84072,1.36722,53.84759,54.41077,56.65800,57.25058,,,,,,,,,,,,19.66786,0.11105,0.24181,0.32383,1.76793,1.70972,14.59010,
