
<<<<< Begin of task (7dabac8d-7076-48b8-81d0-fc72ed41b442) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_52.5-50.5cm_20um_redo\2n13_52.5-50.5cm_20um_redo_Rec\VOI\2n13_52.5-50.5cm_20um_redo_rec_voi_0050.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 943
Total Z-position range, 32, 974
Number of images inside VOI, 943
Z-position range of VOI, 32, 974
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 16:55:02 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/08/20 16:55:03 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 16:55:03 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1557 speckles removed
[ 12/08/20 16:55:06 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:55:06 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 16:55:08 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:55:56 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:48
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_52.5-50.5cm_20um_redo\2n13_52.5-50.5cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_52.5-50.5cm_20um_redo_rec_voi_0974.bmp,20.05601,137,95.03969,35.30871,37.15154,36.46641,309.65291,8.76987,0.25773,0.57284,0.67747,126,11,7.90367,-5.31320,18.29029,51.82731,59.73098,54.53228,62.84846,,,,,,,,,,,,115.72938,0.42209,0.22805,0.38579,1.62907,1.66518,11.92253,
2n13_52.5-50.5cm_20um_redo_rec_voi_0973.bmp,20.03542,132,95.03969,36.62217,38.53355,36.46641,315.87130,8.62514,0.27744,0.59435,0.43647,121,11,8.18176,-3.52806,18.26126,50.23576,58.41752,52.85766,61.46645,,,,,,,,,,,,118.46587,0.42208,0.23188,0.36988,1.66179,1.64642,12.43671,
2n13_52.5-50.5cm_20um_redo_rec_voi_0972.bmp,20.01483,114,95.03969,37.84203,39.81708,36.46641,319.98008,8.45568,0.33195,0.65011,0.39565,100,14,8.13873,-3.17669,17.70029,49.05893,57.19765,51.61941,60.18292,,,,,,,,,,,,120.13134,0.42277,0.23653,0.35751,1.68340,1.70237,12.73851,
2n13_52.5-50.5cm_20um_redo_rec_voi_0971.bmp,19.99423,120,95.03969,39.02140,41.05801,36.46641,326.63735,8.37072,0.32518,0.64345,-0.05209,101,19,8.39414,0.49579,17.70334,47.62415,56.01828,50.10975,58.94199,,,,,,,,,,,,122.10016,0.41857,0.23893,0.34300,1.71843,1.69410,12.76057,
2n13_52.5-50.5cm_20um_redo_rec_voi_0970.bmp,19.97364,122,95.03969,39.92231,42.00593,36.46641,331.22448,8.29673,0.32723,0.64548,-0.64691,98,24,8.78205,5.72978,18.03134,46.33533,55.11738,48.75367,57.99407,,,,,,,,,,,,124.43368,0.40845,0.24106,0.33281,1.74256,1.70126,12.38286,
2n13_52.5-50.5cm_20um_redo_rec_voi_0969.bmp,19.95305,124,95.03969,40.47966,42.59238,36.46641,335.07790,8.27768,0.32645,0.64471,-0.97341,99,25,8.94911,8.74248,18.10505,45.61092,54.56002,47.99145,57.40762,,,,,,,,,,,,126.99748,0.39749,0.24161,0.32566,1.76283,1.55245,12.52243,
2n13_52.5-50.5cm_20um_redo_rec_voi_0968.bmp,19.93246,118,95.03969,40.90605,43.04102,36.46641,334.50462,8.17739,0.34666,0.66437,-0.77879,99,19,8.79148,6.87755,17.68997,45.34215,54.13363,47.70865,56.95898,,,,,,,,,,,,130.09856,0.38988,0.24458,0.32366,1.75982,1.70627,12.60979,
2n13_52.5-50.5cm_20um_redo_rec_voi_0967.bmp,19.91187,117,95.03969,41.31474,43.47104,36.46641,338.02357,8.18167,0.35312,0.67052,-1.00218,92,25,8.90162,8.95253,17.72653,44.82333,53.72495,47.16275,56.52896,,,,,,,,,,,,133.38070,0.38837,0.24445,0.31788,1.77833,1.70863,12.72128,
