
<<<<< Begin of task (b25bfb8b-02f2-4836-8ca9-921d018cff30) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_54.5-52.5cm_20um\2n13_54.5-52.5cm_20um_Rec\VOI\2n13_54.5-52.5cm_20um_rec_voi_0222.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 538, 538
Total number of images, 848
Total Z-position range, 221, 1068
Number of images inside VOI, 848
Z-position range of VOI, 221, 1068
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 16:59:51 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/08/20 16:59:52 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 16:59:52 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1221 speckles removed
[ 12/08/20 16:59:55 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 16:59:55 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 16:59:58 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 17:00:43 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:45
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_54.5-52.5cm_20um\2n13_54.5-52.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_54.5-52.5cm_20um_rec_voi_1068.bmp,21.99160,44,96.11115,17.35988,18.06230,36.71350,123.40080,7.10839,0.39454,0.70876,-0.15359,33,11,3.25424,0.49984,15.78646,75.49703,78.75127,78.55179,81.93770,,,,,,,,,,,,17.39156,0.79759,0.28136,1.27635,0.64197,1.36709,6.35478,
2n13_54.5-52.5cm_20um_rec_voi_1067.bmp,21.97101,46,96.11115,17.31663,18.01730,36.71350,125.00157,7.21858,0.37645,0.69232,-0.01083,36,10,3.29823,1.86058,15.99928,75.49628,78.79451,78.55102,81.98270,,,,,,,,,,,,17.61072,0.79139,0.27706,1.26070,0.65030,1.36440,6.18359,
2n13_54.5-52.5cm_20um_rec_voi_1066.bmp,21.95042,46,96.11115,17.23326,17.93056,36.71350,126.75795,7.35542,0.37464,0.69065,-0.24773,32,14,3.35579,3.43138,16.29890,75.52210,78.87788,78.57787,82.06944,,,,,,,,,,,,17.52123,0.78653,0.27191,1.24454,0.65943,1.37117,6.02240,
2n13_54.5-52.5cm_20um_rec_voi_1065.bmp,21.92982,41,96.11115,17.17682,17.87183,36.71350,128.16316,7.46140,0.41895,0.73036,0.13015,30,11,3.41430,4.68978,16.58143,75.52003,78.93433,78.57572,82.12817,,,,,,,,,,,,17.29179,0.78251,0.26805,1.23178,0.66674,1.37126,5.76780,
2n13_54.5-52.5cm_20um_rec_voi_1064.bmp,21.90923,39,96.11115,17.03525,17.72453,36.71350,130.23314,7.64492,0.43680,0.74576,0.16424,28,11,3.49057,5.86788,17.00575,75.58533,79.07589,78.64366,82.27547,,,,,,,,,,,,17.02549,0.77634,0.26161,1.21437,0.67751,1.35760,5.56293,
2n13_54.5-52.5cm_20um_rec_voi_1063.bmp,21.88864,38,96.11115,16.78642,17.46563,36.71350,130.21280,7.75703,0.44175,0.74997,-0.56179,26,12,3.47621,1.95294,17.15576,75.84853,79.32473,78.91751,82.53437,,,,,,,,,,,,16.89763,0.76927,0.25783,1.21839,0.67741,1.35660,5.66838,
2n13_54.5-52.5cm_20um_rec_voi_1062.bmp,21.86805,43,96.11115,16.56742,17.23777,36.71350,128.59668,7.76202,0.38529,0.70040,-0.32045,33,10,3.36787,1.07932,16.89402,76.17586,79.54373,79.25809,82.76223,,,,,,,,,,,,16.86641,0.76242,0.25766,1.23710,0.66900,1.35080,5.70353,
2n13_54.5-52.5cm_20um_rec_voi_1061.bmp,21.84746,44,96.11115,16.41478,17.07895,36.71350,127.81371,7.78650,0.37306,0.68920,3.63599,36,8,0.23633,5.18040,1.41930,79.46004,79.69637,82.67516,82.92105,,,,,,,,,,,,16.83832,0.75715,0.25685,1.24707,0.66493,1.35077,5.93254,
