
<<<<< Begin of task (483c90ce-27d0-43e0-a4b4-7ee7d3989e4d) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_56-54cm_20um\2n13_56-54cm_20um_Rec\VOI\2n13_56-54cm_20um_rec_voi_0030.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1055
Total Z-position range, 29, 1083
Number of images inside VOI, 1055
Z-position range of VOI, 29, 1083
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 17:05:24 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/08/20 17:05:25 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 17:05:25 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1495 speckles removed
[ 12/08/20 17:05:27 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 17:05:27 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 17:05:30 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 17:06:01 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:31
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_56-54cm_20um\2n13_56-54cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_56-54cm_20um_rec_voi_1083.bmp,22.30047,95,95.03969,32.74602,34.45510,36.46641,266.68104,8.14392,0.34469,0.66248,-0.66171,71,24,6.96683,4.63062,17.54301,55.32684,62.29367,58.21446,65.54490,,,,,,,,,,,,134.17949,0.11515,0.24558,0.46718,1.40300,1.61347,12.65408,
2n13_56-54cm_20um_rec_voi_1082.bmp,22.27988,101,95.03969,32.94340,34.66278,36.46641,266.98517,8.10436,0.32617,0.64443,-0.44836,76,25,6.91340,3.11927,17.34561,55.18289,62.09629,58.06299,65.33722,,,,,,,,,,,,124.80955,0.11395,0.24678,0.46517,1.40460,1.56834,12.42507,
2n13_56-54cm_20um_rec_voi_1081.bmp,22.25929,103,95.03969,33.08586,34.81268,36.46641,266.32332,8.04946,0.32122,0.63953,-0.01023,80,23,7.29607,0.09173,18.06766,54.65776,61.95383,57.51046,65.18732,,,,,,,,,,,,125.41414,0.11070,0.24846,0.46525,1.40112,1.62801,12.05753,
2n13_56-54cm_20um_rec_voi_1080.bmp,22.23870,94,95.03969,33.20919,34.94245,36.46641,264.76579,7.97267,0.35329,0.67069,-0.18655,70,24,7.64646,1.44456,18.71578,54.18404,61.83049,57.01201,65.05755,,,,,,,,,,,,143.98517,0.07946,0.25086,0.46706,1.39292,1.62827,11.75676,
2n13_56-54cm_20um_rec_voi_1079.bmp,22.21810,93,95.03969,33.42528,35.16981,36.46641,266.18513,7.96359,0.35941,0.67647,0.26741,72,21,7.25346,-1.92380,17.83108,54.36095,61.61441,57.19816,64.83019,,,,,,,,,,,,150.99200,0.07150,0.25114,0.46294,1.40039,1.63223,11.78838,
2n13_56-54cm_20um_rec_voi_1078.bmp,22.19751,97,95.03969,33.67788,35.43559,36.46641,269.30553,7.99651,0.34719,0.66488,0.19584,76,21,7.35686,-1.42461,17.92837,54.00495,61.36181,56.82358,64.56441,,,,,,,,,,,,97.64057,0.04230,0.25011,0.45570,1.41681,1.63693,12.02591,
2n13_56-54cm_20um_rec_voi_1077.bmp,22.17692,97,95.03969,33.78213,35.54529,36.46641,269.36049,7.97346,0.34827,0.66591,0.64621,76,21,7.31425,-4.71267,17.79779,53.94331,61.25756,56.75872,64.45471,,,,,,,,,,,,61.12814,0.10160,0.25083,0.45484,1.41709,1.59796,12.48788,
2n13_56-54cm_20um_rec_voi_1076.bmp,22.15633,91,95.03969,33.94861,35.72045,36.46641,269.38790,7.93517,0.37306,0.68920,0.45338,73,18,7.45661,-3.36605,18.00886,53.63447,61.09108,56.43377,64.27955,,,,,,,,,,,,65.22668,0.12923,0.25204,0.45355,1.41724,1.63586,12.71085,
