
<<<<< Begin of task (feb159c9-1ace-43bd-bf39-9d6aa603c390) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_58-56cm_20um\2n13_58-56cm_20um_Rec\VOI\2n13_58-56cm_20um_rec_voi_0026.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 981
Total Z-position range, 25, 1005
Number of images inside VOI, 981
Z-position range of VOI, 25, 1005
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 17:12:41 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/08/20 17:12:42 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 17:12:42 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1561 speckles removed
[ 12/08/20 17:12:44 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 17:12:44 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 17:12:46 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 17:13:18 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:32
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_58-56cm_20um\2n13_58-56cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_58-56cm_20um_rec_voi_1005.bmp,20.69434,2,95.03969,3.44531,3.62512,36.46641,23.33794,6.77384,1.72265,1.48100,0.00000,0,2,0.17814,2.59709,4.91619,91.41625,91.59438,96.18744,96.37488,,,,,,,,,,,,155.03331,0.94185,0.29525,7.84940,0.12278,1.33360,0.00000,
2n13_58-56cm_20um_rec_voi_1004.bmp,20.67375,3,95.03969,3.49417,3.67654,36.46641,23.73978,6.79410,1.16472,1.21777,0.00000,0,3,0.18561,2.91449,5.04400,91.35991,91.54551,96.12816,96.32346,,,,,,,,,,,,155.24882,0.94072,0.29437,7.71242,0.12489,1.33545,0.00000,
2n13_58-56cm_20um_rec_voi_1003.bmp,20.65316,3,95.03969,3.54039,3.72517,36.46641,25.41293,7.17800,1.18013,1.22580,0.00000,0,3,0.03493,1.36988,0.97690,91.46437,91.49930,96.23808,96.27483,,,,,,,,,,,,155.69910,0.93718,0.27863,7.20100,0.13370,1.34898,0.00000,
2n13_58-56cm_20um_rec_voi_1002.bmp,20.63257,2,95.03969,3.60770,3.79599,36.46641,25.58351,7.09136,1.80385,1.51550,0.00000,-1,3,0.03890,1.24134,1.06681,91.39308,91.43199,96.16307,96.20401,,,,,,,,,,,,156.18460,0.93295,0.28203,7.14773,0.13459,1.35900,0.00000,
2n13_58-56cm_20um_rec_voi_1001.bmp,20.61198,6,95.03969,3.65349,3.84418,36.46641,26.25828,7.18717,0.60892,0.88051,-0.00000,4,2,0.04394,1.12278,1.18833,91.34226,91.38619,96.10959,96.15582,,,,,,,,,,,,156.64290,0.92979,0.27827,6.96056,0.13814,1.35743,0.00000,
2n13_58-56cm_20um_rec_voi_1000.bmp,20.59138,5,95.03969,3.72117,3.91539,36.46641,27.07280,7.27534,0.74423,0.97344,0.00000,3,2,0.05533,1.31664,1.46518,91.26318,91.31851,96.02639,96.08461,,,,,,,,,,,,156.72655,0.92672,0.27490,6.74614,0.14243,1.35466,0.00000,
2n13_58-56cm_20um_rec_voi_0999.bmp,20.57079,6,95.03969,3.78107,3.97841,36.46641,28.12942,7.43955,0.63018,0.89575,0.00000,2,4,0.07033,1.78464,1.82614,91.18829,91.25862,95.94759,96.02159,,,,,,,,,,,,157.14790,0.92486,0.26883,6.48848,0.14799,1.35083,0.00000,
2n13_58-56cm_20um_rec_voi_0998.bmp,20.55020,4,95.03969,3.82665,4.02637,36.46641,28.72597,7.50683,0.95666,1.10366,0.00000,2,2,0.00943,0.53830,0.24593,91.20361,91.21304,95.96371,95.97363,,,,,,,,,,,,157.93369,0.92438,0.26642,6.35056,0.15113,1.36307,0.00000,
