
<<<<< Begin of task (d558f767-d09c-40bb-833d-01154239bbd7) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_60-58cm_20um\2n13_60-58cm_20um_Rec\VOI\2n13_60-58cm_20um_rec_voi_0084.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 995
Total Z-position range, 82, 1076
Number of images inside VOI, 995
Z-position range of VOI, 82, 1076
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 17:18:57 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/08/20 17:18:58 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 17:18:58 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1708 speckles removed
[ 12/08/20 17:19:00 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 17:19:00 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 17:19:02 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 17:19:31 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:29
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_60-58cm_20um\2n13_60-58cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_60-58cm_20um_rec_voi_1076.bmp,22.15633,80,95.03969,28.90639,30.41507,36.46641,234.81626,8.12333,0.36133,0.67828,-0.40697,46,34,7.49869,3.16232,20.59792,58.63461,66.13330,61.69487,69.58493,,,,,,,,,,,,150.98182,0.28819,0.24620,0.56328,1.23536,1.57368,11.45428,
2n13_60-58cm_20um_rec_voi_1075.bmp,22.13574,76,95.03969,29.05760,30.57418,36.46641,233.82237,8.04686,0.38234,0.69772,-0.10661,48,28,7.52233,0.90797,20.56409,58.45976,65.98209,61.51089,69.42582,,,,,,,,,,,,151.59172,0.29345,0.24854,0.56438,1.23013,1.57114,11.21778,
2n13_60-58cm_20um_rec_voi_1074.bmp,22.11515,74,95.03969,29.12587,30.64600,36.46641,234.55660,8.05321,0.39359,0.70791,-0.70203,50,24,10.11019,7.21301,25.76760,55.80363,65.91382,58.71614,69.35400,,,,,,,,,,,,151.76661,0.29774,0.24835,0.56203,1.23399,1.57367,10.82612,
2n13_60-58cm_20um_rec_voi_1073.bmp,22.09456,73,95.03969,29.19795,30.72185,36.46641,230.34667,7.88914,0.39997,0.71362,0.04482,54,19,9.29615,-0.31288,24.14955,56.54559,65.84174,59.49682,69.27815,,,,,,,,,,,,151.03873,0.30782,0.25351,0.57168,1.21184,1.57330,10.52181,
2n13_60-58cm_20um_rec_voi_1072.bmp,22.07396,66,95.03969,29.22938,30.75492,36.46641,226.13760,7.73666,0.44287,0.75092,-1.00140,46,20,9.26886,9.40226,24.07606,56.54145,65.81031,59.49247,69.24508,,,,,,,,,,,,148.28799,0.31683,0.25851,0.58204,1.18970,1.56769,10.68404,
2n13_60-58cm_20um_rec_voi_1071.bmp,22.05337,68,95.03969,29.27098,30.79869,36.46641,222.59331,7.60457,0.43046,0.74032,-0.28644,48,20,8.38762,2.51167,22.27278,57.38109,65.76871,60.37592,69.20131,,,,,,,,,,,,146.15220,0.31987,0.26300,0.59093,1.17105,1.56159,11.16161,
2n13_60-58cm_20um_rec_voi_1070.bmp,22.03278,61,95.03969,29.28895,30.81760,36.46641,220.22677,7.51911,0.48015,0.78188,-1.32055,37,24,10.88204,14.48616,27.08930,54.86870,65.75074,57.73241,69.18240,,,,,,,,,,,,143.45130,0.32247,0.26599,0.59712,1.15860,1.52005,11.29369,
2n13_60-58cm_20um_rec_voi_1069.bmp,22.01219,64,95.03969,29.31704,30.84715,36.46641,219.52202,7.48786,0.45808,0.76370,0.30343,42,22,7.90499,-2.32377,21.23740,57.81766,65.72265,60.83528,69.15285,,,,,,,,,,,,141.81873,0.31567,0.26710,0.59878,1.15490,1.55835,11.35899,
