
<<<<< Begin of task (195ad568-2049-4fa8-8558-9021632116fa) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_62-60cm_20um\2n13_62-60cm_20um_Rec\VOI\2n13_62-60cm_20um_rec_voi_0032.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1054
Total Z-position range, 31, 1084
Number of images inside VOI, 1054
Z-position range of VOI, 31, 1084
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 17:24:07 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/08/20 17:24:08 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 17:24:08 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1979 speckles removed
[ 12/08/20 17:24:10 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 17:24:10 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 17:24:13 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 17:24:49 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_62-60cm_20um\2n13_62-60cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_62-60cm_20um_rec_voi_1084.bmp,22.32106,111,95.03969,39.43756,41.49589,36.46641,326.27348,8.27317,0.35529,0.67259,-1.43915,79,32,8.44517,12.26058,17.63720,47.15695,55.60212,49.61816,58.50411,,,,,,,,,,,,15.74599,0.25268,0.24175,0.34083,1.71651,1.68425,14.49067,
2n13_62-60cm_20um_rec_voi_1083.bmp,22.30047,114,95.03969,39.66552,41.73574,36.46641,329.67009,8.31125,0.34794,0.66559,-1.84888,71,43,8.53962,15.90051,17.71517,46.83455,55.37417,49.27893,58.26426,,,,,,,,,,,,10.32177,0.26291,0.24064,0.33594,1.73438,1.68682,14.32198,
2n13_62-60cm_20um_rec_voi_1082.bmp,22.27988,103,95.03969,39.78504,41.86150,36.46641,326.45234,8.20541,0.38626,0.70129,-1.48550,61,42,8.41226,12.60210,17.45380,46.84239,55.25465,49.28719,58.13850,,,,,,,,,,,,6.16787,0.27328,0.24374,0.33852,1.71745,1.65626,14.36066,
2n13_62-60cm_20um_rec_voi_1081.bmp,22.25929,102,95.03969,39.90280,41.98541,36.46641,322.16883,8.07384,0.39120,0.70576,-1.70310,66,36,8.50501,14.59058,17.56950,46.63187,55.13688,49.06568,58.01459,,,,,,,,,,,,6.37101,0.28246,0.24771,0.34229,1.69492,1.68469,14.38978,
2n13_62-60cm_20um_rec_voi_1080.bmp,22.23870,105,95.03969,39.75869,41.83378,36.46641,321.42668,8.08444,0.37865,0.69435,-1.43486,71,34,8.47480,12.21854,17.57037,46.80619,55.28099,49.24910,58.16622,,,,,,,,,,,,7.17482,0.28444,0.24739,0.34397,1.69101,1.68407,14.32198,
2n13_62-60cm_20um_rec_voi_1079.bmp,22.21810,100,95.03969,39.71576,41.78861,36.46641,321.16132,8.08649,0.39716,0.71111,-1.64017,64,36,8.45440,13.92616,17.55111,46.86953,55.32392,49.31574,58.21139,,,,,,,,,,,,6.01601,0.28957,0.24733,0.34452,1.68962,1.68522,14.50627,
2n13_62-60cm_20um_rec_voi_1078.bmp,22.19751,97,95.03969,39.68937,41.76084,36.46641,319.86880,8.05931,0.40917,0.72178,-1.37758,62,35,8.50162,11.80671,17.64151,46.84870,55.35032,49.29382,58.23916,,,,,,,,,,,,4.26826,0.30275,0.24816,0.34608,1.68282,1.68730,14.38272,
2n13_62-60cm_20um_rec_voi_1077.bmp,22.17692,107,95.03969,39.68656,41.75788,36.46641,320.29148,8.07053,0.37090,0.68720,-1.38680,68,39,8.39265,11.70143,17.45588,46.96047,55.35313,49.41144,58.24212,,,,,,,,,,,,3.07356,0.31909,0.24782,0.34564,1.68504,1.68830,14.21299,
