
<<<<< Begin of task (2611d0e3-f1b6-4296-8ca8-fb75c0c43456) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_64-62cm_20um\2n13_64-62cm_20um_Rec\VOI\2n13_64-62cm_20um_rec_voi_0041.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 934
Total Z-position range, 40, 973
Number of images inside VOI, 934
Z-position range of VOI, 40, 973
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/08/20 17:29:10 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/08/20 17:29:11 ]	Thresholding done

-----------------------------------------------------------------
[ 12/08/20 17:29:11 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4499 speckles removed
[ 12/08/20 17:29:13 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 17:29:13 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/08/20 17:29:15 ]	Despeckle done

-----------------------------------------------------------------
[ 12/08/20 17:29:58 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\64-47cm\2n13_64-62cm_20um\2n13_64-62cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_64-62cm_20um_rec_voi_0973.bmp,20.03542,83,95.03969,34.52133,36.32307,36.46641,272.96424,7.90712,0.41592,0.72771,-1.68281,52,31,7.09848,11.99627,17.05554,53.41987,60.51836,56.20797,63.67693,,,,,,,,,,,,175.39787,0.51640,0.25294,0.44342,1.43605,1.59667,11.57137,
2n13_64-62cm_20um_rec_voi_0972.bmp,20.01483,76,95.03969,35.13444,36.96818,36.46641,277.17951,7.88911,0.46230,0.76721,-2.01901,47,29,7.80291,15.80815,18.17278,52.10233,59.90525,54.82166,63.03182,,,,,,,,,,,,176.32078,0.49625,0.25351,0.43225,1.45823,1.67609,11.83095,
2n13_64-62cm_20um_rec_voi_0971.bmp,19.99423,76,95.03969,35.65274,37.51352,36.46641,280.68969,7.87288,0.46911,0.77285,-1.74062,49,27,8.62707,15.06807,19.48309,50.75988,59.38695,53.40914,62.48648,,,,,,,,,,,,177.55616,0.47734,0.25404,0.42315,1.47670,1.68026,11.74962,
2n13_64-62cm_20um_rec_voi_0970.bmp,19.97364,74,95.03969,36.13377,38.01966,36.46641,284.21313,7.86558,0.48829,0.78849,-1.83217,47,27,8.89785,16.35437,19.75912,50.00806,58.90592,52.61809,61.98034,,,,,,,,,,,,179.02185,0.46119,0.25427,0.41452,1.49523,1.68227,11.49856,
2n13_64-62cm_20um_rec_voi_0969.bmp,19.95305,77,95.03969,36.61671,38.52781,36.46641,288.24541,7.87196,0.47554,0.77812,-2.08350,49,28,7.83662,16.38178,17.62887,50.58635,58.42298,53.22656,61.47219,,,,,,,,,,,,0.83649,0.44312,0.25407,0.40537,1.51645,1.68285,11.45488,
2n13_64-62cm_20um_rec_voi_0968.bmp,19.93246,71,95.03969,36.95369,38.88238,36.46641,288.25712,7.80050,0.52047,0.81406,-1.68902,48,23,7.52021,12.75255,16.90926,50.56579,58.08600,53.20492,61.11762,,,,,,,,,,,,2.97025,0.42088,0.25639,0.40302,1.51651,1.68176,11.26956,
2n13_64-62cm_20um_rec_voi_0967.bmp,19.91187,71,95.03969,37.21334,39.15558,36.46641,289.91941,7.79074,0.52413,0.81691,-2.32666,45,26,8.15653,19.03453,17.97786,49.66981,57.82635,52.26218,60.84442,,,,,,,,,,,,4.65351,0.40872,0.25672,0.39891,1.52525,1.68085,11.45032,
2n13_64-62cm_20um_rec_voi_0966.bmp,19.89128,71,95.03969,37.49954,39.45672,36.46641,288.27332,7.68738,0.52816,0.82005,-1.57416,49,22,8.71283,13.76485,18.85389,48.82732,57.54014,51.37571,60.54328,,,,,,,,,,,,5.90461,0.39460,0.26017,0.39921,1.51659,1.52107,11.39957,
