
<<<<< Begin of task (2ec7d9bf-554f-4018-8512-dfba41429e97) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\79-62cm\2n13_68-66cm_20um\2n13_68-66cm_20um_Rec\VOI\2n13_68-66cm_20um_rec_voi_0025.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 869
Total Z-position range, 25, 893
Number of images inside VOI, 869
Z-position range of VOI, 25, 893
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/09/20 13:49:59 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/09/20 13:50:00 ]	Thresholding done

-----------------------------------------------------------------
[ 12/09/20 13:50:00 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2538 speckles removed
[ 12/09/20 13:50:02 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 13:50:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/09/20 13:50:04 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 13:50:44 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:40
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\79-62cm\2n13_68-66cm_20um\2n13_68-66cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_68-66cm_20um_rec_voi_0893.bmp,18.38811,4,95.03969,1.42328,1.49756,36.46641,11.56851,8.12807,0.35582,0.67309,0.00000,3,1,0.03721,0.79539,2.54754,93.57920,93.61641,98.46329,98.50244,,,,,,,,,,,,123.96631,0.97883,0.24606,16.18469,0.06086,1.00870,0.94910,
2n13_68-66cm_20um_rec_voi_0892.bmp,18.36752,5,95.03969,1.53135,1.61127,36.46641,11.95415,7.80629,0.30627,0.62446,0.00000,4,1,0.03954,0.82951,2.51695,93.46880,93.50834,98.34713,98.38873,,,,,,,,,,,,124.13508,0.97913,0.25620,15.64450,0.06289,1.01594,0.99278,
2n13_68-66cm_20um_rec_voi_0891.bmp,18.34692,6,95.03969,1.59945,1.68293,36.46641,12.51158,7.82241,0.26658,0.58259,0.00000,4,2,0.04738,1.09366,2.87719,93.39285,93.44023,98.26721,98.31707,,,,,,,,,,,,124.47146,0.97809,0.25568,14.93660,0.06582,1.03670,1.05455,
2n13_68-66cm_20um_rec_voi_0890.bmp,18.32633,6,95.03969,1.66385,1.75069,36.46641,12.72955,7.65067,0.27731,0.59421,0.00000,4,2,0.04749,1.03542,2.77494,93.32835,93.37584,98.19934,98.24931,,,,,,,,,,,,124.68292,0.97775,0.26142,14.67072,0.06697,1.04259,1.11632,
2n13_68-66cm_20um_rec_voi_0889.bmp,18.30574,9,95.03969,1.75708,1.84878,36.46641,14.16767,8.06320,0.19523,0.49857,0.00000,8,1,0.04691,0.86570,2.60011,93.23570,93.28261,98.10186,98.15122,,,,,,,,,,,,125.01769,0.97217,0.24804,13.16838,0.07454,0.99959,1.16604,
2n13_68-66cm_20um_rec_voi_0888.bmp,18.28515,11,95.03969,1.86822,1.96573,36.46641,15.32871,8.20498,0.16984,0.46502,0.00000,10,1,0.05067,0.89482,2.64052,93.12080,93.17147,97.98096,98.03427,,,,,,,,,,,,125.61904,0.96641,0.24375,12.15647,0.08064,1.03261,1.12735,
2n13_68-66cm_20um_rec_voi_0887.bmp,18.26456,13,95.03969,1.97279,2.07575,36.46641,17.07216,8.65382,0.15175,0.43957,0.00000,12,1,0.06461,1.36282,3.17109,93.00229,93.06690,97.85627,97.92425,,,,,,,,,,,,126.23594,0.96167,0.23111,10.90277,0.08982,1.03277,1.15397,
2n13_68-66cm_20um_rec_voi_0886.bmp,18.24397,14,95.03969,2.08356,2.19231,36.46641,18.79356,9.01992,0.14883,0.43531,-0.00000,13,1,0.07553,1.46224,3.49805,92.88060,92.95613,97.72823,97.80769,,,,,,,,,,,,127.07490,0.95700,0.22173,9.89234,0.09887,1.05131,1.38797,
