
<<<<< Begin of task (4b731a91-6aa2-4c01-8911-ae85f0d6d591) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\79-62cm\2n13_70-68cm_20um\2n13_70-68cm_20um_Rec\VOI\2n13_70-68cm_20um_rec_voi_0103.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 538, 538
Total number of images, 993
Total Z-position range, 102, 1094
Number of images inside VOI, 993
Z-position range of VOI, 102, 1094
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/09/20 13:54:30 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/09/20 13:54:31 ]	Thresholding done

-----------------------------------------------------------------
[ 12/09/20 13:54:31 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3287 speckles removed
[ 12/09/20 13:54:33 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 13:54:33 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/09/20 13:54:36 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 13:55:15 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:39
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\79-62cm\2n13_70-68cm_20um\2n13_70-68cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_70-68cm_20um_rec_voi_1094.bmp,22.52697,214,96.11115,37.59086,39.11187,36.71350,392.44540,10.43991,0.17566,0.47292,-3.43509,130,84,9.94965,34.22872,20.92878,48.57063,58.52029,50.53590,60.88813,,,,,,,,,,,,115.91846,0.29277,0.19157,0.29823,2.04162,1.72024,13.28638,
2n13_70-68cm_20um_rec_voi_1093.bmp,22.50638,210,96.11115,37.46313,38.97897,36.71350,384.98325,10.27632,0.17840,0.47659,-3.22270,129,81,9.78604,31.58218,20.71156,48.86198,58.64802,50.83903,61.02103,,,,,,,,,,,,116.84485,0.30817,0.19462,0.30468,2.00280,1.71728,12.89971,
2n13_70-68cm_20um_rec_voi_1092.bmp,22.48579,197,96.11115,37.38405,38.89669,36.71350,379.10845,10.14091,0.18977,0.49155,-3.14802,113,84,9.65232,30.42770,20.52097,49.07478,58.72709,51.06044,61.10331,,,,,,,,,,,,118.08064,0.31930,0.19722,0.30982,1.97224,1.72170,12.94796,
2n13_70-68cm_20um_rec_voi_1091.bmp,22.46520,185,96.11115,37.26120,38.76886,36.71350,374.14139,10.04105,0.20141,0.50640,-3.11108,108,77,9.57457,29.82737,20.44285,49.27538,58.84995,51.26917,61.23114,,,,,,,,,,,,118.48971,0.31743,0.19918,0.31459,1.94640,1.70832,13.16740,
2n13_70-68cm_20um_rec_voi_1090.bmp,22.44461,178,96.11115,37.12780,38.63006,36.71350,371.17194,9.99714,0.20858,0.51534,-2.93083,108,70,9.41668,27.63162,20.23157,49.56668,58.98335,51.57224,61.36994,,,,,,,,,,,,117.08792,0.31508,0.20006,0.31782,1.93095,1.71390,13.13432,
2n13_70-68cm_20um_rec_voi_1089.bmp,22.42402,170,96.11115,36.95374,38.44897,36.71350,364.45522,9.86247,0.21737,0.52609,-2.43187,110,60,9.26907,22.57598,20.05302,49.88834,59.15741,51.90692,61.55103,,,,,,,,,,,,112.44454,0.30764,0.20279,0.32463,1.89601,1.71293,12.52821,
2n13_70-68cm_20um_rec_voi_1088.bmp,22.40343,173,96.11115,36.74720,38.23406,36.71350,360.90457,9.82128,0.21241,0.52005,-2.30236,107,66,9.13111,21.05550,19.90289,50.23284,59.36395,52.26536,61.76594,,,,,,,,,,,,108.78736,0.30943,0.20364,0.32897,1.87754,1.70703,12.05771,
2n13_70-68cm_20um_rec_voi_1087.bmp,22.38284,154,96.11115,36.59821,38.07905,36.71350,355.95371,9.72599,0.23765,0.55008,-2.04153,98,56,8.93320,18.26870,19.61987,50.57973,59.51293,52.62629,61.92095,,,,,,,,,,,,106.32861,0.31173,0.20563,0.33439,1.85178,1.70605,11.71076,
