
<<<<< Begin of task (f3b47aca-8bc7-4107-9434-66e9d7e69cd1) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\79-62cm\2n13_72-70cm_20um\2n13_72-70cm_20um_Rec\VOI\2n13_72-70cm_20um_rec_voi_0033.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1067
Total Z-position range, 33, 1099
Number of images inside VOI, 1067
Z-position range of VOI, 33, 1099
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/09/20 13:58:48 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/09/20 13:58:49 ]	Thresholding done

-----------------------------------------------------------------
[ 12/09/20 13:58:49 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4090 speckles removed
[ 12/09/20 13:58:51 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 13:58:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/09/20 13:58:54 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 13:59:37 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\79-62cm\2n13_72-70cm_20um\2n13_72-70cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_72-70cm_20um_rec_voi_1099.bmp,22.62993,238,95.03969,35.85191,37.72310,36.46641,389.01774,10.85068,0.15064,0.43795,-3.48963,165,73,9.72954,34.04587,21.34539,49.45824,59.18778,52.03956,62.27690,,,,,,,,,,,,176.42623,0.21116,0.18432,0.30429,2.04661,1.70802,13.46464,
2n13_72-70cm_20um_rec_voi_1098.bmp,22.60934,241,95.03969,35.79600,37.66426,36.46641,389.34584,10.87680,0.14853,0.43487,-3.57080,165,76,9.90683,35.46985,21.67662,49.33686,59.24369,51.91185,62.33574,,,,,,,,,,,,4.04910,0.22101,0.18388,0.30432,2.04833,1.70765,13.09959,
2n13_72-70cm_20um_rec_voi_1097.bmp,22.58875,230,95.03969,35.71602,37.58011,36.46641,382.62462,10.71297,0.15529,0.44465,-2.81989,160,70,9.55925,27.04172,21.11362,49.76442,59.32367,52.36173,62.41989,,,,,,,,,,,,5.80830,0.22598,0.18669,0.31009,2.01297,1.70702,12.50804,
2n13_72-70cm_20um_rec_voi_1096.bmp,22.56816,221,95.03969,35.57196,37.42853,36.46641,374.64315,10.53198,0.16096,0.45270,-2.42854,152,69,9.33097,22.72859,20.78032,50.13675,59.46772,52.75349,62.57147,,,,,,,,,,,,6.92954,0.22595,0.18990,0.31746,1.97098,1.68172,12.20478,
2n13_72-70cm_20um_rec_voi_1095.bmp,22.54757,190,95.03969,35.54954,37.40495,36.46641,365.45632,10.28020,0.18710,0.48808,-2.30694,120,70,9.05145,20.94552,20.29428,50.43869,59.49014,53.07119,62.59505,,,,,,,,,,,,7.45886,0.21504,0.19455,0.32557,1.92265,1.69758,11.79252,
2n13_72-70cm_20um_rec_voi_1094.bmp,22.52697,201,95.03969,35.47163,37.32297,36.46641,359.75211,10.14197,0.17648,0.47402,-2.16294,128,73,9.01843,19.56979,20.27066,50.54963,59.56806,53.18791,62.67703,,,,,,,,,,,,10.04799,0.20317,0.19720,0.33116,1.89264,1.68714,11.82517,
2n13_72-70cm_20um_rec_voi_1093.bmp,22.50638,207,95.03969,35.45965,37.31036,36.46641,356.93119,10.06584,0.17130,0.46702,-2.34631,140,67,8.94036,21.08149,20.13594,50.63967,59.58003,53.28266,62.68964,,,,,,,,,,,,7.79071,0.19468,0.19869,0.33385,1.87780,1.69060,12.04961,
2n13_72-70cm_20um_rec_voi_1092.bmp,22.48579,204,95.03969,35.46978,37.32102,36.46641,352.92875,9.95013,0.17387,0.47051,-2.31218,133,71,8.82450,20.52149,19.92244,50.74541,59.56991,53.39391,62.67898,,,,,,,,,,,,5.19473,0.19983,0.20100,0.33757,1.85674,1.65355,11.75384,
