
<<<<< Begin of task (f399e007-8ee7-4c46-93f9-358c5d11d595) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\79-62cm\2n13_74-72cm_20um\2n13_74-72cm_20um_Rec\VOI\2n13_74-72cm_20um_rec_voi_0009.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 876
Total Z-position range, 8, 883
Number of images inside VOI, 876
Z-position range of VOI, 8, 883
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/09/20 14:03:25 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/09/20 14:03:25 ]	Thresholding done

-----------------------------------------------------------------
[ 12/09/20 14:03:25 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3445 speckles removed
[ 12/09/20 14:03:27 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 14:03:27 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/09/20 14:03:30 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 14:04:01 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:31
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\79-62cm\2n13_74-72cm_20um\2n13_74-72cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_74-72cm_20um_rec_voi_0883.bmp,18.18219,107,95.03969,31.99309,33.66288,36.46641,291.28188,9.10452,0.29900,0.61701,-0.13946,72,35,7.46424,1.04101,18.91724,55.58235,63.04659,58.48331,66.33712,,,,,,,,,,,,94.97167,0.21931,0.21967,0.43289,1.53242,1.65130,11.84387,
2n13_74-72cm_20um_rec_voi_0882.bmp,18.16160,111,95.03969,31.98440,33.65373,36.46641,292.32779,9.13970,0.28815,0.60571,0.07088,83,28,7.51586,-0.53272,19.02737,55.53942,63.05529,58.43814,66.34627,,,,,,,,,,,,102.19568,0.22369,0.21883,0.43140,1.53792,1.65144,11.93227,
2n13_74-72cm_20um_rec_voi_0881.bmp,18.14101,112,95.03969,32.14197,33.81953,36.46641,293.56121,9.13327,0.28698,0.60448,-0.10519,84,28,7.55302,0.81183,19.02763,55.34470,62.89771,58.23325,66.18047,,,,,,,,,,,,108.75247,0.23365,0.21898,0.42852,1.54441,1.65150,12.16377,
2n13_74-72cm_20um_rec_voi_0880.bmp,18.12042,109,95.03969,32.18586,33.86570,36.46641,292.24699,9.07998,0.29528,0.61316,0.09599,77,32,8.05451,-0.71557,20.01599,54.79932,62.85383,57.65941,66.13430,,,,,,,,,,,,112.96329,0.25356,0.22026,0.43014,1.53750,1.64855,12.32247,
2n13_74-72cm_20um_rec_voi_0879.bmp,18.09983,112,95.03969,32.27394,33.95839,36.46641,292.67760,9.06854,0.28816,0.60572,-0.51270,76,36,7.55058,3.92102,18.95962,55.21517,62.76574,58.09696,66.04161,,,,,,,,,,,,114.23954,0.25223,0.22054,0.42891,1.53977,1.65020,12.10407,
2n13_74-72cm_20um_rec_voi_0878.bmp,18.07924,109,95.03969,32.43279,34.12552,36.46641,292.26077,9.01128,0.29755,0.61551,-0.44106,74,35,7.73216,3.48971,19.25101,54.87474,62.60690,57.73877,65.87448,,,,,,,,,,,,113.49959,0.25194,0.22194,0.42843,1.53757,1.64986,11.93684,
2n13_74-72cm_20um_rec_voi_0877.bmp,18.05864,113,95.03969,32.56465,34.26427,36.46641,292.32487,8.97675,0.28818,0.60574,-0.35329,83,30,7.68011,2.79203,19.08350,54.79492,62.47503,57.65478,65.73573,,,,,,,,,,,,110.25264,0.24637,0.22280,0.42744,1.53791,1.65382,12.01317,
2n13_74-72cm_20um_rec_voi_0876.bmp,18.03805,124,95.03969,32.77093,34.48131,36.46641,295.43113,9.01504,0.26428,0.58008,0.11213,97,27,7.62891,-0.78138,18.88352,54.63984,62.26876,57.49161,65.51869,,,,,,,,,,,,110.52964,0.23487,0.22185,0.42154,1.55425,1.64685,12.16937,
