
<<<<< Begin of task (038d2886-4b77-44f8-975a-db7f45d559cb) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\79-62cm\2n13_76-74cm_20um\2n13_76-74cm_20um_Rec\VOI\2n13_76-74cm_20um_rec_voi_0099.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1009
Total Z-position range, 76, 1084
Number of images inside VOI, 1009
Z-position range of VOI, 76, 1084
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/09/20 14:07:13 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/09/20 14:07:13 ]	Thresholding done

-----------------------------------------------------------------
[ 12/09/20 14:07:13 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2925 speckles removed
[ 12/09/20 14:07:16 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 14:07:16 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/09/20 14:07:18 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 14:07:54 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\79-62cm\2n13_76-74cm_20um\2n13_76-74cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_76-74cm_20um_rec_voi_1084.bmp,22.32106,118,95.03969,30.59409,32.19086,36.46641,291.22999,9.51916,0.25927,0.57456,-0.63580,88,30,7.43085,4.81427,19.54204,57.01475,64.44560,59.99046,67.80914,,,,,,,,,,,,9.20970,0.29066,0.21010,0.44258,1.53215,1.64433,11.42016,
2n13_76-74cm_20um_rec_voi_1083.bmp,22.30047,122,95.03969,30.47950,32.07029,36.46641,290.30348,9.52455,0.24983,0.56400,-1.06391,84,38,7.47102,8.04530,19.68622,57.08916,64.56019,60.06876,67.92971,,,,,,,,,,,,9.77321,0.27919,0.20998,0.44478,1.52728,1.64413,10.94113,
2n13_76-74cm_20um_rec_voi_1082.bmp,22.27988,113,95.03969,30.35956,31.94409,36.46641,285.39259,9.40042,0.26867,0.58488,-0.27968,77,36,7.30068,2.13860,19.38564,57.37945,64.68013,60.37420,68.05591,,,,,,,,,,,,11.17832,0.25046,0.21276,0.45327,1.50144,1.63780,10.85481,
2n13_76-74cm_20um_rec_voi_1081.bmp,22.25929,110,95.03969,30.14745,31.72091,36.46641,280.51960,9.30492,0.27407,0.59072,-0.81132,72,38,7.13532,5.90622,19.13838,57.75692,64.89223,60.77137,68.27909,,,,,,,,,,,,17.90282,0.21548,0.21494,0.46266,1.47580,1.63343,10.14721,
2n13_76-74cm_20um_rec_voi_1080.bmp,22.23870,116,95.03969,29.91149,31.47264,36.46641,274.80762,9.18736,0.25786,0.57299,-0.41333,85,31,7.12822,3.05704,19.24479,57.99998,65.12819,61.02711,68.52736,,,,,,,,,,,,28.12336,0.20978,0.21769,0.47399,1.44575,1.62988,10.23353,
2n13_76-74cm_20um_rec_voi_1079.bmp,22.21810,116,95.03969,29.63070,31.17718,36.46641,270.95885,9.14453,0.25544,0.57029,-0.20133,92,24,7.10012,1.54862,19.33016,58.30887,65.40899,61.35212,68.82282,,,,,,,,,,,,34.16023,0.20822,0.21871,0.48280,1.42550,1.62082,10.53784,
2n13_76-74cm_20um_rec_voi_1078.bmp,22.19751,113,95.03969,29.46465,31.00246,36.46641,270.54909,9.18216,0.26075,0.57619,-0.20631,90,23,7.50351,1.61357,20.29723,58.07153,65.57504,61.10240,68.99754,,,,,,,,,,,,37.50685,0.18153,0.21781,0.48476,1.42335,1.59627,10.44091,
2n13_76-74cm_20um_rec_voi_1077.bmp,22.17692,103,95.03969,29.32881,30.85953,36.46641,269.52280,9.18970,0.28475,0.60212,-0.33828,77,26,7.18689,2.49790,19.68164,58.52400,65.71088,61.57848,69.14047,,,,,,,,,,,,42.89935,0.15703,0.21764,0.48761,1.41795,1.60280,10.47752,
