
<<<<< Begin of task (e427e3b1-78e0-49e3-862b-beee0177cc93) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\79-62cm\2n13_78-76cm_20um\2n13_78-76cm_20um_Rec\VOI\2n13_78-76cm_20um_rec_voi_0029.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1060
Total Z-position range, 24, 1083
Number of images inside VOI, 1060
Z-position range of VOI, 24, 1083
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/09/20 14:11:47 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/09/20 14:11:48 ]	Thresholding done

-----------------------------------------------------------------
[ 12/09/20 14:11:48 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3069 speckles removed
[ 12/09/20 14:11:51 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 14:11:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/09/20 14:11:53 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 14:12:30 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\79-62cm\2n13_78-76cm_20um\2n13_78-76cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_78-76cm_20um_rec_voi_1083.bmp,22.30047,76,95.03969,27.12255,28.53813,36.46641,245.11339,9.03726,0.35688,0.67408,-1.40332,44,32,6.43873,9.08179,19.18500,61.47841,67.91714,64.68709,71.46187,,,,,,,,,,,,47.35689,0.53237,0.22131,0.55417,1.28953,1.56454,9.81678,
2n13_78-76cm_20um_rec_voi_1082.bmp,22.27988,80,95.03969,26.90837,28.31277,36.46641,240.19544,8.92642,0.33635,0.65442,0.00845,58,22,7.08730,-0.02581,20.84765,61.04402,68.13132,64.23003,71.68723,,,,,,,,,,,,47.23879,0.53163,0.22405,0.56730,1.26366,1.55801,9.40453,
2n13_78-76cm_20um_rec_voi_1081.bmp,22.25929,78,95.03969,26.64597,28.03667,36.46641,236.82123,8.88770,0.34161,0.65951,-1.14806,57,21,7.15927,8.26292,21.17800,61.23445,68.39372,64.43040,71.96333,,,,,,,,,,,,47.46862,0.53875,0.22503,0.57760,1.24591,1.55127,9.02139,
2n13_78-76cm_20um_rec_voi_1080.bmp,22.23870,82,95.03969,26.54876,27.93440,36.46641,235.39639,8.86657,0.32377,0.64205,0.19674,66,16,9.47233,-1.83100,26.29662,59.01860,68.49092,62.09890,72.06560,,,,,,,,,,,,47.62080,0.53761,0.22557,0.58192,1.23841,1.55109,8.63825,
2n13_78-76cm_20um_rec_voi_1079.bmp,22.21810,78,95.03969,26.50371,27.88699,36.46641,236.25709,8.91411,0.33979,0.65775,-1.74820,63,15,7.33402,12.86747,21.67408,61.20196,68.53598,64.39621,72.11301,,,,,,,,,,,,47.77117,0.53406,0.22436,0.58018,1.24294,1.54870,8.22204,
2n13_78-76cm_20um_rec_voi_1078.bmp,22.19751,71,95.03969,26.41271,27.79124,36.46641,235.01490,8.89780,0.37201,0.68823,-1.47091,43,28,6.95193,10.25040,20.83623,61.67504,68.62698,64.89399,72.20876,,,,,,,,,,,,47.89365,0.52661,0.22477,0.58402,1.23640,1.55207,8.01320,
2n13_78-76cm_20um_rec_voi_1077.bmp,22.17692,82,95.03969,26.32102,27.69477,36.46641,236.60275,8.98912,0.32099,0.63929,-1.01968,54,28,6.68773,6.84136,20.26047,62.03094,68.71867,65.26846,72.30523,,,,,,,,,,,,47.44535,0.51388,0.22249,0.58088,1.24476,1.55356,8.20955,
2n13_78-76cm_20um_rec_voi_1076.bmp,22.15633,84,95.03969,26.39877,27.77658,36.46641,239.91700,9.08819,0.31427,0.63257,0.56282,55,29,9.13720,-5.12819,25.71255,59.50371,68.64092,62.60933,72.22342,,,,,,,,,,,,46.07379,0.50935,0.22007,0.57221,1.26219,1.55640,8.43252,
