
<<<<< Begin of task (773c458d-10bd-4b93-a49b-32eaa22ecca3) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_79-77cm_20um_redo2\2n13_79-77cm_20um_redo2_Rec\VOI\2n13_79-77cm_20um_redo2_rec_voi_0028.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1045
Total Z-position range, 28, 1072
Number of images inside VOI, 1045
Z-position range of VOI, 28, 1072
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/09/20 14:21:48 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/09/20 14:21:48 ]	Thresholding done

-----------------------------------------------------------------
[ 12/09/20 14:21:48 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3142 speckles removed
[ 12/09/20 14:21:51 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 14:21:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/09/20 14:21:54 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 14:23:05 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:11
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_79-77cm_20um_redo2\2n13_79-77cm_20um_redo2_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_79-77cm_20um_redo2_rec_voi_1072.bmp,22.07396,126,95.03969,37.86901,39.84547,36.46641,358.01714,9.45409,0.30055,0.61860,-1.60902,89,37,9.12337,14.71670,19.41458,48.04731,57.17068,50.55499,60.15453,,,,,,,,,,,,9.93742,0.37926,0.21155,0.31937,1.88351,1.70388,14.63627,
2n13_79-77cm_20um_redo2_rec_voi_1071.bmp,22.05337,139,95.03969,37.70572,39.67365,36.46641,357.24330,9.47451,0.27126,0.58769,-0.95459,116,23,9.01011,8.63563,19.28706,48.32386,57.33397,50.84598,60.32635,,,,,,,,,,,,13.73856,0.39763,0.21109,0.32098,1.87944,1.70380,14.48964,
2n13_79-77cm_20um_redo2_rec_voi_1070.bmp,22.03278,139,95.03969,37.58063,39.54204,36.46641,353.00925,9.39338,0.27036,0.58672,-1.37038,106,33,8.97624,12.32638,19.28016,48.48281,57.45905,51.01323,60.45796,,,,,,,,,,,,15.56833,0.41522,0.21292,0.32554,1.85717,1.69944,13.84734,
2n13_79-77cm_20um_redo2_rec_voi_1069.bmp,22.01219,123,95.03969,37.53341,39.49235,36.46641,349.86508,9.32143,0.30515,0.62332,-2.76667,87,36,10.14989,28.11431,21.28604,47.35639,57.50628,49.82802,60.50765,,,,,,,,,,,,16.81396,0.42205,0.21456,0.32873,1.84063,1.69942,14.01250,
2n13_79-77cm_20um_redo2_rec_voi_1068.bmp,21.99160,128,95.03969,37.23751,39.18101,36.46641,342.97086,9.21036,0.29092,0.60861,-1.35988,100,28,8.80224,12.02604,19.11878,48.99994,57.80218,51.55735,60.81899,,,,,,,,,,,,17.30511,0.43734,0.21715,0.33707,1.80436,1.69349,14.13148,
2n13_79-77cm_20um_redo2_rec_voi_1067.bmp,21.97101,120,95.03969,36.95910,38.88806,36.46641,338.72767,9.16493,0.30799,0.62622,-1.99911,92,28,9.21485,18.50309,19.95682,48.86574,58.08059,51.41614,61.11194,,,,,,,,,,,,17.99789,0.45234,0.21822,0.34293,1.78203,1.69061,14.34032,
2n13_79-77cm_20um_redo2_rec_voi_1066.bmp,21.95042,125,95.03969,36.76877,38.68781,36.46641,338.99925,9.21976,0.29415,0.61198,-1.33857,97,28,8.80950,11.86752,19.32829,49.46142,58.27092,52.04291,61.31219,,,,,,,,,,,,19.16041,0.46263,0.21693,0.34378,1.78346,1.68464,14.19119,
2n13_79-77cm_20um_redo2_rec_voi_1065.bmp,21.92982,126,95.03969,36.54511,38.45247,36.46641,340.78817,9.32514,0.29004,0.60769,-1.39604,97,29,8.88063,12.47406,19.54977,49.61395,58.49458,52.20340,61.54753,,,,,,,,,,,,20.20972,0.46986,0.21447,0.34329,1.79287,1.68953,13.88085,
