
<<<<< Begin of task (79e6b0ef-afd6-4c1f-a9e5-c0ba5ab404d2) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_81-79cm_20um\2n13_81-79cm_20um_Rec\VOI\2n13_81-79cm_20um_rec_voi_0028.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1054
Total Z-position range, 28, 1081
Number of images inside VOI, 1054
Z-position range of VOI, 28, 1081
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/09/20 14:27:14 ] Thresholding
Mode, Global
Lower grey threshold, 73
Upper grey threshold, 200
[ 12/09/20 14:27:15 ]	Thresholding done

-----------------------------------------------------------------
[ 12/09/20 14:27:15 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1944 speckles removed
[ 12/09/20 14:27:17 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 14:27:17 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/09/20 14:27:20 ]	Despeckle done

-----------------------------------------------------------------
[ 12/09/20 14:27:55 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:35
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_81-79cm_20um\2n13_81-79cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,73
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_81-79cm_20um_rec_voi_1081.bmp,22.25929,136,95.03969,33.95788,35.73021,36.46641,302.14700,8.89770,0.24969,0.56384,0.02674,119,17,8.16623,-0.17727,19.38612,52.91557,61.08181,55.67734,64.26979,,,,,,,,,,,,134.12919,0.24606,0.22478,0.40432,1.58958,1.67259,12.09347,
2n13_81-79cm_20um_rec_voi_1080.bmp,22.23870,130,95.03969,33.76056,35.52259,36.46641,299.13344,8.86044,0.25970,0.57503,-0.16938,109,21,8.11699,1.40438,19.38269,53.16213,61.27913,55.93677,64.47741,,,,,,,,,,,,139.65117,0.27354,0.22572,0.40971,1.57373,1.62875,12.20142,
2n13_81-79cm_20um_rec_voi_1079.bmp,22.21810,124,95.03969,33.68127,35.43916,36.46641,298.33220,8.85751,0.27162,0.58808,-0.17012,101,23,7.87293,1.36890,18.94617,53.48549,61.35842,56.27701,64.56084,,,,,,,,,,,,142.42965,0.29957,0.22580,0.41134,1.56951,1.66068,12.26216,
2n13_81-79cm_20um_rec_voi_1078.bmp,22.19751,112,95.03969,33.56933,35.32138,36.46641,296.96388,8.84628,0.29973,0.61776,-0.08625,88,24,7.82353,0.70412,18.90067,53.64682,61.47035,56.44676,64.67862,,,,,,,,,,,,143.52172,0.31288,0.22608,0.41399,1.56232,1.66153,12.76281,
2n13_81-79cm_20um_rec_voi_1077.bmp,22.17692,99,95.03969,33.43789,35.18308,36.46641,295.08068,8.82474,0.33776,0.65578,-0.63683,67,32,7.74758,4.95266,18.81144,53.85422,61.60180,56.66498,64.81692,,,,,,,,,,,,146.45278,0.32238,0.22664,0.41753,1.55241,1.65999,13.27553,
2n13_81-79cm_20um_rec_voi_1076.bmp,22.15633,111,95.03969,33.18344,34.91535,36.46641,292.87180,8.82584,0.29895,0.61696,0.00275,79,32,7.50107,-0.00355,18.43718,54.35518,61.85625,57.19208,65.08465,,,,,,,,,,,,149.29263,0.33816,0.22661,0.42241,1.54079,1.54829,13.98003,
2n13_81-79cm_20um_rec_voi_1075.bmp,22.13574,113,95.03969,32.80973,34.52213,36.46641,289.48054,8.82301,0.29035,0.60802,-0.00708,84,29,7.43360,0.06968,18.47164,54.79635,62.22996,57.65629,65.47787,,,,,,,,,,,,150.80620,0.35618,0.22668,0.42994,1.52295,1.65649,14.06739,
2n13_81-79cm_20um_rec_voi_1074.bmp,22.11515,106,95.03969,32.60191,34.30347,36.46641,287.33111,8.81332,0.30757,0.62578,0.55506,86,20,7.34128,-4.03083,18.37930,55.09650,62.43777,57.97209,65.69653,,,,,,,,,,,,151.59954,0.38064,0.22693,0.43461,1.51164,1.65299,14.05929,
