
<<<<< Begin of task (b48e3f6d-31b4-488d-af84-bd070b09b443) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_85-83cm_20um\2n13_85-83cm_20um_Rec\VOI\2n13_85-83cm_20um_rec_voi_0081.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1002
Total Z-position range, 81, 1082
Number of images inside VOI, 1002
Z-position range of VOI, 81, 1082
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/10/20 16:32:53 ] Thresholding
Mode, Global
Lower grey threshold, 72
Upper grey threshold, 200
[ 12/10/20 16:32:54 ]	Thresholding done

-----------------------------------------------------------------
[ 12/10/20 16:32:54 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1589 speckles removed
[ 12/10/20 16:32:58 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:32:58 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/10/20 16:33:01 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:33:38 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_85-83cm_20um\2n13_85-83cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,72
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_85-83cm_20um_rec_voi_1082.bmp,22.27988,137,95.03969,30.56992,32.16543,36.46641,291.26168,9.52772,0.22314,0.53302,0.50800,115,22,7.41421,-3.73690,19.51922,57.05556,64.46977,60.03340,67.83457,,,,,,,,,,,,16.58374,0.24710,0.20991,0.44269,1.53232,1.64581,11.12981,
2n13_85-83cm_20um_rec_voi_1081.bmp,22.25929,136,95.03969,30.49864,32.09042,36.46641,285.01296,9.34511,0.22425,0.53435,0.82941,111,25,7.26819,-6.00160,19.24491,57.27286,64.54105,60.26205,67.90958,,,,,,,,,,,,23.58976,0.27067,0.21402,0.45290,1.49944,1.64249,10.49562,
2n13_85-83cm_20um_rec_voi_1080.bmp,22.23870,130,95.03969,30.60236,32.19956,36.46641,283.03654,9.24885,0.23540,0.54747,0.88217,110,20,7.21450,-6.33777,19.07747,57.22283,64.43733,60.20940,67.80044,,,,,,,,,,,,29.99785,0.28540,0.21624,0.45533,1.48904,1.64044,10.06381,
2n13_85-83cm_20um_rec_voi_1079.bmp,22.21810,131,95.03969,30.63808,32.23714,36.46641,281.70699,9.19467,0.23388,0.54570,0.46781,105,26,7.41892,-3.40002,19.49424,56.98268,64.40161,59.95672,67.76286,,,,,,,,,,,,29.61038,0.30741,0.21752,0.45722,1.48205,1.64030,9.89304,
2n13_85-83cm_20um_rec_voi_1078.bmp,22.19751,115,95.03969,30.58757,32.18400,36.46641,281.08717,9.18959,0.26598,0.58194,-0.07792,93,22,7.16669,0.62262,18.98247,57.28542,64.45212,60.27527,67.81600,,,,,,,,,,,,24.68081,0.32876,0.21764,0.45859,1.47879,1.55516,10.31486,
2n13_85-83cm_20um_rec_voi_1077.bmp,22.17692,115,95.03969,30.50494,32.09706,36.46641,281.72697,9.23545,0.26526,0.58115,0.08480,95,20,7.23952,-0.55170,19.18034,57.29523,64.53475,60.28558,67.90294,,,,,,,,,,,,22.78709,0.32936,0.21656,0.45814,1.48215,1.63826,10.46753,
2n13_85-83cm_20um_rec_voi_1076.bmp,22.15633,121,95.03969,30.37149,31.95664,36.46641,281.77522,9.27762,0.25100,0.56532,0.87367,106,15,7.47484,-6.47838,19.75050,57.19336,64.66820,60.17840,68.04336,,,,,,,,,,,,20.58439,0.31009,0.21557,0.45901,1.48241,1.63956,11.14955,
2n13_85-83cm_20um_rec_voi_1075.bmp,22.13574,122,95.03969,30.43578,32.02428,36.46641,285.86367,9.39236,0.24947,0.56360,0.66893,108,14,7.35522,-4.86604,19.46288,57.24869,64.60391,60.23662,67.97572,,,,,,,,,,,,17.19905,0.30308,0.21294,0.45199,1.50392,1.63052,11.33487,
