
<<<<< Begin of task (0670d22b-129d-4518-b9a2-7a308b8892b4) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_87-85cm_20um\2n13_87-85cm_20um_Rec\VOI\2n13_87-85cm_20um_rec_voi_0033.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1063
Total Z-position range, 33, 1095
Number of images inside VOI, 1063
Z-position range of VOI, 33, 1095
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/10/20 16:37:49 ] Thresholding
Mode, Global
Lower grey threshold, 72
Upper grey threshold, 200
[ 12/10/20 16:37:49 ]	Thresholding done

-----------------------------------------------------------------
[ 12/10/20 16:37:49 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2343 speckles removed
[ 12/10/20 16:37:52 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:37:52 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/10/20 16:37:55 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:38:38 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_87-85cm_20um\2n13_87-85cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,72
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_87-85cm_20um_rec_voi_1095.bmp,22.54757,320,95.03969,36.71529,38.63154,36.46641,473.08089,12.88512,0.11474,0.38221,-2.11825,249,71,12.20387,25.93815,24.94702,46.12052,58.32440,48.52764,61.36846,,,,,,,,,,,,144.74357,0.24777,0.15522,0.24657,2.48886,1.76782,14.18326,
2n13_87-85cm_20um_rec_voi_1094.bmp,22.52697,300,95.03969,36.77338,38.69266,36.46641,466.27474,12.67968,0.12258,0.39506,-1.69910,235,65,11.72162,19.99548,24.17078,46.54468,58.26631,48.97395,61.30734,,,,,,,,,,,,144.74849,0.24960,0.15773,0.24992,2.45305,1.76399,13.82218,
2n13_87-85cm_20um_rec_voi_1093.bmp,22.50638,303,95.03969,36.94579,38.87407,36.46641,460.02430,12.45133,0.12193,0.39402,-1.45794,252,51,11.74123,17.22402,24.11573,46.35266,58.09390,48.77190,61.12593,,,,,,,,,,,,144.56955,0.23039,0.16063,0.25257,2.42017,1.76207,13.55803,
2n13_87-85cm_20um_rec_voi_1092.bmp,22.48579,278,95.03969,37.40881,39.36125,36.46641,453.96115,12.13514,0.13456,0.41392,-1.58493,222,56,11.42805,18.24567,23.40046,46.20283,57.63088,48.61425,60.63875,,,,,,,,,,,,147.42279,0.20613,0.16481,0.25390,2.38827,1.75979,13.47920,
2n13_87-85cm_20um_rec_voi_1091.bmp,22.46520,262,95.03969,37.75061,39.72089,36.46641,445.53095,11.80195,0.14409,0.42832,-1.20361,203,59,11.19607,13.59016,22.87401,46.09301,57.28908,48.49870,60.27911,,,,,,,,,,,,149.54527,0.19177,0.16946,0.25717,2.34392,1.75967,13.38330,
2n13_87-85cm_20um_rec_voi_1090.bmp,22.44461,246,95.03969,38.06130,40.04779,36.46641,441.04274,11.58770,0.15472,0.44384,-1.47142,188,58,11.03791,16.41178,22.48084,45.94048,56.97839,48.33820,59.95221,,,,,,,,,,,,154.20332,0.20433,0.17260,0.25838,2.32031,1.75905,13.37124,
2n13_87-85cm_20um_rec_voi_1089.bmp,22.42402,238,95.03969,38.16094,40.15263,36.46641,438.89589,11.50118,0.16034,0.45183,-1.42384,184,54,10.98565,15.78405,22.35283,45.89309,56.87875,48.28835,59.84737,,,,,,,,,,,,158.39737,0.23705,0.17390,0.25919,2.30901,1.75839,13.11165,
2n13_87-85cm_20um_rec_voi_1088.bmp,22.40343,238,95.03969,38.00718,39.99085,36.46641,435.05918,11.44676,0.15969,0.45092,-1.40934,181,57,10.96313,15.61604,22.38730,46.06938,57.03250,48.47383,60.00915,,,,,,,,,,,,162.95863,0.25258,0.17472,0.26218,2.28883,1.75776,12.68380,
