
<<<<< Begin of task (47b65063-9bb3-451a-9eae-7dacf0bfa90b) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_89-87cm_20um_redo\2n13_89-87cm_20um_redo_Rec\VOI\2n13_89-87cm_20um_redo_rec_voi_0023.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 996
Total Z-position range, 23, 1018
Number of images inside VOI, 996
Z-position range of VOI, 23, 1018
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/10/20 16:43:06 ] Thresholding
Mode, Global
Lower grey threshold, 72
Upper grey threshold, 200
[ 12/10/20 16:43:07 ]	Thresholding done

-----------------------------------------------------------------
[ 12/10/20 16:43:07 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2093 speckles removed
[ 12/10/20 16:43:09 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:43:09 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/10/20 16:43:12 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:43:56 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:44
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_89-87cm_20um_redo\2n13_89-87cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,72
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_89-87cm_20um_redo_rec_voi_1018.bmp,20.96203,56,95.03969,7.79030,8.19689,36.46641,89.85059,11.53365,0.13911,0.42086,-0.13173,52,4,2.32895,-2.76359,23.01508,84.92043,87.24939,89.35260,91.80311,,,,,,,,,,,,7.08124,0.84954,0.17341,1.94210,0.47270,1.40788,2.34913,
2n13_89-87cm_20um_redo_rec_voi_1017.bmp,20.94144,54,95.03969,8.55907,9.00579,36.46641,98.38607,11.49494,0.15850,0.44923,-0.07939,48,6,2.54175,-2.36383,22.89696,83.93886,86.48061,88.31980,90.99421,,,,,,,,,,,,7.74436,0.84687,0.17399,1.75798,0.51761,1.43328,2.97583,
2n13_89-87cm_20um_redo_rec_voi_1016.bmp,20.92085,49,95.03969,9.24151,9.72384,36.46641,104.81572,11.34184,0.18860,0.49004,0.47363,41,8,2.81370,0.72331,23.34010,82.98448,85.79818,87.31561,90.27616,,,,,,,,,,,,8.65456,0.84419,0.17634,1.63712,0.55143,1.44625,2.91406,
2n13_89-87cm_20um_redo_rec_voi_1015.bmp,20.90026,60,95.03969,9.84853,10.36254,36.46641,113.67067,11.54190,0.16414,0.45716,0.52982,52,8,2.88832,-1.98647,22.67690,82.30284,85.19116,86.59839,89.63746,,,,,,,,,,,,9.60616,0.84276,0.17328,1.49891,0.59802,1.45475,2.85228,
2n13_89-87cm_20um_redo_rec_voi_1014.bmp,20.87966,67,95.03969,10.46026,11.00620,36.46641,121.78225,11.64237,0.15612,0.44585,0.47592,56,11,3.11649,-1.01964,22.95461,81.46294,84.57943,85.71465,88.99380,,,,,,,,,,,,9.54880,0.83860,0.17179,1.38903,0.64069,1.46785,2.95774,
2n13_89-87cm_20um_redo_rec_voi_1013.bmp,20.85907,68,95.03969,11.00802,11.58255,36.46641,131.40554,11.93725,0.16188,0.45400,0.52661,62,6,3.39315,-0.24423,23.56165,80.63851,84.03167,84.84720,88.41745,,,,,,,,,,,,9.52807,0.83885,0.16754,1.27897,0.69132,1.48656,3.03657,
2n13_89-87cm_20um_redo_rec_voi_1012.bmp,20.83848,79,95.03969,11.67975,12.28934,36.46641,143.44291,12.28133,0.14784,0.43387,0.47626,72,7,3.78573,3.87419,24.47858,79.57421,83.35994,83.72734,87.71066,,,,,,,,,,,,9.98295,0.83683,0.16285,1.16227,0.75465,1.50885,3.36500,
2n13_89-87cm_20um_redo_rec_voi_1011.bmp,20.81789,75,95.03969,12.31168,12.95425,36.46641,152.17552,12.36026,0.16416,0.45718,0.39739,70,5,4.03881,6.47421,24.70145,78.68920,82.72801,82.79615,87.04575,,,,,,,,,,,,10.98275,0.83439,0.16181,1.08727,0.80059,1.51971,3.53576,
