
<<<<< Begin of task (2b88ca30-8f86-44f6-be96-bf96e2b08232) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_91-89cm_20um\2n13_91-89cm_20um_Rec\VOI\2n13_91-89cm_20um_rec_voi_0082.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1017
Total Z-position range, 81, 1097
Number of images inside VOI, 1017
Z-position range of VOI, 81, 1097
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/10/20 16:47:53 ] Thresholding
Mode, Global
Lower grey threshold, 72
Upper grey threshold, 200
[ 12/10/20 16:47:54 ]	Thresholding done

-----------------------------------------------------------------
[ 12/10/20 16:47:54 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1915 speckles removed
[ 12/10/20 16:47:57 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:47:57 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/10/20 16:48:00 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:48:54 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:54
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_91-89cm_20um\2n13_91-89cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,72
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_91-89cm_20um_rec_voi_1097.bmp,22.58875,326,95.03969,33.34223,35.08242,36.46641,453.89913,13.61334,0.10228,0.36086,-1.02920,277,49,11.48042,11.87526,25.61298,50.21705,61.69746,52.83797,64.91758,,,,,,,,,,,,176.08319,0.10763,0.14691,0.27186,2.38795,1.75631,11.99301,
2n13_91-89cm_20um_rec_voi_1096.bmp,22.56816,304,95.03969,33.18047,34.91222,36.46641,445.93986,13.43983,0.10915,0.37279,-0.46182,256,48,11.36540,5.31156,25.51393,50.49382,61.85922,53.12919,65.08778,,,,,,,,,,,,171.57147,0.12407,0.14881,0.27743,2.34607,1.75803,11.85947,
2n13_91-89cm_20um_rec_voi_1095.bmp,22.54757,321,95.03969,32.81105,34.52353,36.46641,438.48527,13.36395,0.10222,0.36076,-0.39642,284,37,11.15796,4.49790,25.37687,51.07067,62.22863,53.73616,65.47647,,,,,,,,,,,,168.73699,0.13972,0.14966,0.28383,2.30685,1.75178,11.64709,
2n13_91-89cm_20um_rec_voi_1094.bmp,22.52697,310,95.03969,32.61373,34.31591,36.46641,431.76012,13.23860,0.10521,0.36599,-0.25377,273,37,11.01873,2.86921,25.25351,51.40723,62.42596,54.09028,65.68409,,,,,,,,,,,,177.19451,0.16471,0.15107,0.28917,2.27147,1.74585,11.49296,
2n13_91-89cm_20um_rec_voi_1093.bmp,22.50638,326,95.03969,32.33007,34.01744,36.46641,432.93615,13.39113,0.09917,0.35534,0.23620,293,33,11.02212,-2.57619,25.42459,51.68750,62.70961,54.38517,65.98256,,,,,,,,,,,,2.13129,0.18220,0.14935,0.28969,2.27766,1.74401,11.39293,
2n13_91-89cm_20um_rec_voi_1092.bmp,22.48579,306,95.03969,32.00968,33.68033,36.46641,428.61767,13.39025,0.10461,0.36495,0.24051,266,40,10.85776,-2.58412,25.32869,52.17224,63.03000,54.89521,66.31967,,,,,,,,,,,,4.58533,0.20118,0.14936,0.29411,2.25494,1.74268,12.30377,
2n13_91-89cm_20um_rec_voi_1091.bmp,22.46520,295,95.03969,31.76524,33.42314,36.46641,423.14814,13.32110,0.10768,0.37027,0.79741,263,32,10.78717,-8.57832,25.35031,52.48728,63.27444,55.22669,66.57686,,,,,,,,,,,,5.32865,0.22898,0.15014,0.29907,2.22617,1.74175,13.06194,
2n13_91-89cm_20um_rec_voi_1090.bmp,22.44461,297,95.03969,31.60349,33.25294,36.46641,421.52909,13.33806,0.10641,0.36808,0.81239,278,19,10.80259,-8.75219,25.47416,52.63361,63.43620,55.38066,66.74706,,,,,,,,,,,,0.40870,0.22289,0.14995,0.30098,2.21765,1.73627,12.89721,
