
<<<<< Begin of task (dfb0db50-f310-49d9-9df9-1c8e881eab75) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_92-90cm_20um\2n13_92-90cm_20um_Rec\VOI\2n13_92-90cm_20um_rec_voi_0020.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1079
Total Z-position range, 20, 1098
Number of images inside VOI, 1079
Z-position range of VOI, 20, 1098
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/10/20 16:52:48 ] Thresholding
Mode, Global
Lower grey threshold, 72
Upper grey threshold, 200
[ 12/10/20 16:52:49 ]	Thresholding done

-----------------------------------------------------------------
[ 12/10/20 16:52:49 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2507 speckles removed
[ 12/10/20 16:52:52 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:52:52 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/10/20 16:52:55 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:53:53 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:58
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_92-90cm_20um\2n13_92-90cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,72
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_92-90cm_20um_rec_voi_1098.bmp,22.60934,340,95.03969,34.70084,36.51195,36.46641,489.33162,14.10143,0.10206,0.36048,-1.13535,296,44,12.26869,13.99814,26.12053,48.07015,60.33884,50.57903,63.48805,,,,,,,,,,,,176.87854,0.19351,0.14183,0.24662,2.57435,1.77252,12.83233,
2n13_92-90cm_20um_rec_voi_1097.bmp,22.58875,321,95.03969,34.70816,36.51965,36.46641,484.99279,13.97345,0.10813,0.37104,-1.09105,266,55,12.34438,13.50516,26.23531,47.98715,60.33153,50.49170,63.48035,,,,,,,,,,,,7.68425,0.15226,0.14313,0.24879,2.55153,1.77220,12.46376,
2n13_92-90cm_20um_rec_voi_1096.bmp,22.56816,330,95.03969,34.58695,36.39211,36.46641,480.17790,13.88321,0.10481,0.36530,-0.63265,290,40,12.14001,7.71444,25.98074,48.31273,60.45274,50.83427,63.60789,,,,,,,,,,,,19.97626,0.15758,0.14406,0.25179,2.52620,1.77043,11.99576,
2n13_92-90cm_20um_rec_voi_1095.bmp,22.54757,344,95.03969,34.32019,36.11143,36.46641,480.05935,13.98766,0.09977,0.35641,-0.66241,300,44,12.19306,8.11128,26.21417,48.52643,60.71949,51.05912,63.88857,,,,,,,,,,,,22.32791,0.17728,0.14298,0.25297,2.52557,1.76987,11.29376,
2n13_92-90cm_20um_rec_voi_1094.bmp,22.52697,332,95.03969,34.09960,35.87933,36.46641,478.37206,14.02867,0.10271,0.36163,-0.49654,290,42,12.12782,6.04250,26.23512,48.81226,60.94008,51.35987,64.12067,,,,,,,,,,,,20.18597,0.17899,0.14257,0.25478,2.51670,1.76945,11.14919,
2n13_92-90cm_20um_rec_voi_1093.bmp,22.50638,311,95.03969,34.07846,35.85708,36.46641,474.45420,13.92241,0.10958,0.37352,-0.58904,269,42,11.95435,7.09170,25.96919,49.00688,60.96123,51.56465,64.14292,,,,,,,,,,,,22.45801,0.17375,0.14365,0.25697,2.49608,1.76810,10.63794,
2n13_92-90cm_20um_rec_voi_1092.bmp,22.48579,308,95.03969,34.03447,35.81079,36.46641,467.85810,13.74660,0.11050,0.37509,-0.65310,263,45,11.85974,7.77803,25.84148,49.14548,61.00522,51.71048,64.18921,,,,,,,,,,,,32.81140,0.18058,0.14549,0.26079,2.46138,1.76830,11.10697,
2n13_92-90cm_20um_rec_voi_1091.bmp,22.46520,289,95.03969,34.25113,36.03877,36.46641,463.55582,13.53403,0.11852,0.38846,-0.51037,240,49,11.72819,6.04786,25.50754,49.06036,60.78855,51.62092,63.96123,,,,,,,,,,,,43.08434,0.18458,0.14778,0.26227,2.43875,1.75046,11.34907,
