
<<<<< Begin of task (c729f8eb-42db-4e12-9585-2690dbacae7a) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_94-92cm_20um_redo\2n13_94-92cm_20um_redo_Rec\VOI\2n13_94-92cm_20um_redo_rec_voi_0023.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 934
Total Z-position range, 23, 956
Number of images inside VOI, 934
Z-position range of VOI, 23, 956
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/10/20 16:57:55 ] Thresholding
Mode, Global
Lower grey threshold, 72
Upper grey threshold, 200
[ 12/10/20 16:57:56 ]	Thresholding done

-----------------------------------------------------------------
[ 12/10/20 16:57:56 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1872 speckles removed
[ 12/10/20 16:57:59 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:57:59 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/10/20 16:58:01 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:59:03 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:02
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\94-77cm\2n13_94-92cm_20um_redo\2n13_94-92cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,72
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_94-92cm_20um_redo_rec_voi_0956.bmp,19.68536,27,95.03969,4.84908,5.10216,36.46641,53.53357,11.03994,0.17960,0.47819,-1.33126,23,4,0.76157,5.65803,13.57359,89.42904,90.19061,94.09652,94.89784,,,,,,,,,,,,81.47065,0.85731,0.18116,3.36950,0.28164,1.53112,2.67738,
2n13_94-92cm_20um_redo_rec_voi_0955.bmp,19.66477,18,95.03969,5.13274,5.40063,36.46641,55.96386,10.90331,0.28515,0.60255,3.35128,16,2,0.29108,3.15452,5.36669,89.61587,89.90695,94.29310,94.59937,,,,,,,,,,,,78.97090,0.87172,0.18343,3.21304,0.29442,1.54249,2.84461,
2n13_94-92cm_20um_redo_rec_voi_0954.bmp,19.64418,21,95.03969,5.35746,5.63708,36.46641,57.43644,10.72083,0.25512,0.56993,-1.53830,21,0,1.04284,8.58458,16.29361,88.63938,89.68222,93.26565,94.36292,,,,,,,,,,,,77.28349,0.87853,0.18655,3.12283,0.30217,1.55199,2.90035,
2n13_94-92cm_20um_redo_rec_voi_0953.bmp,19.62359,19,95.03969,5.63455,5.92863,36.46641,58.69484,10.41695,0.29656,0.61448,-0.00000,18,1,0.00101,0.12854,0.01787,89.40413,89.40514,94.07031,94.07137,,,,,,,,,,,,76.39032,0.88158,0.19199,3.04644,0.30879,1.54845,3.04949,
2n13_94-92cm_20um_redo_rec_voi_0952.bmp,19.60300,21,95.03969,6.01928,6.33344,36.46641,62.72504,10.42068,0.28663,0.60411,-0.00000,17,4,0.38357,8.26254,5.99055,88.63684,89.02040,93.26297,93.66656,,,,,,,,,,,,77.40332,0.86414,0.19193,2.83843,0.32999,1.48519,3.09670,
2n13_94-92cm_20um_redo_rec_voi_0951.bmp,19.58241,14,95.03969,6.38165,6.71472,36.46641,63.85247,10.00564,0.45583,0.76183,-1.30666,8,6,1.26915,9.82057,16.58850,87.38889,88.65804,91.94989,93.28528,,,,,,,,,,,,78.47734,0.84730,0.19989,2.77697,0.33593,1.54990,3.25790,
2n13_94-92cm_20um_redo_rec_voi_0950.bmp,19.56182,19,95.03969,6.74131,7.09315,36.46641,68.38308,10.14389,0.35481,0.67213,-2.75161,14,5,1.27286,11.75494,15.88265,87.02551,88.29838,91.56755,92.90685,,,,,,,,,,,,79.14760,0.83448,0.19716,2.58246,0.35976,1.55361,3.23481,
2n13_94-92cm_20um_redo_rec_voi_0949.bmp,19.54122,20,95.03969,7.05041,7.41839,36.46641,71.33753,10.11821,0.35252,0.66996,-2.51458,15,5,0.88622,10.74279,11.16624,87.10305,87.98928,91.64914,92.58161,,,,,,,,,,,,79.82354,0.82453,0.19766,2.46684,0.37530,1.57260,3.12936,
