
<<<<< Begin of task (aaa076ab-c8be-4903-ab6a-30eb9d812a32) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\109-92cm\2n13_96-94cm_20um\2n13_96-94cm_20um_Rec\VOI\2n13_96-94cm_20um_rec_voi_0030.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1066
Total Z-position range, 30, 1095
Number of images inside VOI, 1066
Z-position range of VOI, 30, 1095
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/10/20 16:18:25 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 12/10/20 16:18:26 ]	Thresholding done

-----------------------------------------------------------------
[ 12/10/20 16:18:26 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2810 speckles removed
[ 12/10/20 16:18:29 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:18:29 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/10/20 16:18:33 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:19:22 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:49
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\109-92cm\2n13_96-94cm_20um\2n13_96-94cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_96-94cm_20um_rec_voi_1095.bmp,22.54757,405,95.03969,36.81096,38.73220,36.46641,548.42608,14.89845,0.09089,0.34019,-1.42908,343,62,13.29712,19.14607,26.53688,44.93161,58.22873,47.27668,61.26780,,,,,,,,,,,,70.94215,0.31076,0.13424,0.21235,2.88525,1.79676,13.21418,
2n13_96-94cm_20um_rec_voi_1094.bmp,22.52697,394,95.03969,36.64146,38.55385,36.46641,548.01960,14.95627,0.09300,0.34411,-1.31072,329,65,13.37630,17.71659,26.74310,45.02192,58.39822,47.37171,61.44615,,,,,,,,,,,,74.60929,0.30925,0.13372,0.21312,2.88311,1.79526,13.88249,
2n13_96-94cm_20um_rec_voi_1093.bmp,22.50638,431,95.03969,36.32070,38.21635,36.46641,542.80402,14.94476,0.08427,0.32756,-0.89022,377,54,13.53112,12.07198,27.14267,45.18787,58.71898,47.54631,61.78365,,,,,,,,,,,,78.66299,0.30728,0.13383,0.21635,2.85567,1.79338,14.29268,
2n13_96-94cm_20um_rec_voi_1092.bmp,22.48579,405,95.03969,36.10510,37.98949,36.46641,537.69757,14.89257,0.08915,0.33691,-1.12571,353,52,13.53562,15.26511,27.26718,45.39897,58.93459,47.76843,62.01051,,,,,,,,,,,,79.55457,0.30901,0.13430,0.21921,2.82881,1.79383,15.02027,
2n13_96-94cm_20um_rec_voi_1091.bmp,22.46520,376,95.03969,35.99904,37.87790,36.46641,528.70787,14.68672,0.09574,0.34915,-0.75565,321,55,13.01823,9.86159,26.55845,46.02242,59.04065,48.42442,62.12210,,,,,,,,,,,,80.38156,0.29811,0.13618,0.22334,2.78151,1.79255,15.10056,
2n13_96-94cm_20um_rec_voi_1090.bmp,22.44461,380,95.03969,35.78010,37.64753,36.46641,515.43416,14.40561,0.09416,0.34625,-0.09719,333,47,12.97805,1.27923,26.61720,46.28154,59.25959,48.69706,62.35247,,,,,,,,,,,,78.64464,0.29633,0.13883,0.22994,2.71168,1.79007,14.49239,
2n13_96-94cm_20um_rec_voi_1089.bmp,22.42402,367,95.03969,35.49183,37.34422,36.46641,504.14792,14.20462,0.09671,0.35090,-0.12598,324,43,12.70303,1.61853,26.35765,46.84483,59.54786,49.28975,62.65578,,,,,,,,,,,,76.72781,0.27959,0.14080,0.23623,2.65230,1.77774,14.09116,
2n13_96-94cm_20um_rec_voi_1088.bmp,22.40343,361,95.03969,35.30309,37.14563,36.46641,495.69360,14.04108,0.09779,0.35286,0.26877,322,39,12.63344,-3.38057,26.35452,47.10315,59.73660,49.56156,62.85437,,,,,,,,,,,,73.87422,0.27088,0.14244,0.24102,2.60782,1.78509,13.70156,
