
<<<<< Begin of task (c3e27291-5de1-4db6-85a2-173de7da592c) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\109-92cm\2n13_98-96cm_20um\2n13_98-96cm_20um_Rec\VOI\2n13_98-96cm_20um_rec_voi_0039.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1020
Total Z-position range, 20, 1039
Number of images inside VOI, 1020
Z-position range of VOI, 20, 1039
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/10/20 16:23:52 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 12/10/20 16:23:53 ]	Thresholding done

-----------------------------------------------------------------
[ 12/10/20 16:23:53 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3231 speckles removed
[ 12/10/20 16:23:57 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:23:57 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/10/20 16:24:00 ]	Despeckle done

-----------------------------------------------------------------
[ 12/10/20 16:24:55 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:55
Dataset folder,D:\Courville_SnowEx2020\6Feb2020\2n13_6Feb_2020\109-92cm\2n13_98-96cm_20um\2n13_98-96cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
2n13_98-96cm_20um_rec_voi_1039.bmp,21.39445,281,95.03969,27.27355,28.69701,36.46641,383.22673,14.05122,0.09706,0.35154,0.80436,272,9,5.42928,-4.32845,16.60187,62.33686,67.76614,65.59035,71.30299,,,,,,,,,,,,45.39899,0.66133,0.14234,0.35366,2.01614,1.69935,8.24220,
2n13_98-96cm_20um_rec_voi_1038.bmp,21.37386,300,95.03969,28.01789,29.48020,36.46641,394.10512,14.06620,0.09339,0.34484,1.65878,289,11,10.25197,-16.98040,26.78862,56.76983,67.02180,59.73277,70.51980,,,,,,,,,,,,46.28714,0.64380,0.14218,0.34012,2.07337,1.72710,8.11262,
2n13_98-96cm_20um_rec_voi_1037.bmp,21.35327,305,95.03969,28.77511,30.27694,36.46641,403.66018,14.02810,0.09434,0.34659,0.65788,289,16,10.86275,-7.14692,27.40498,55.40183,66.26458,58.29337,69.72306,,,,,,,,,,,,47.01455,0.61347,0.14257,0.32832,2.12364,1.72155,8.36971,
2n13_98-96cm_20um_rec_voi_1036.bmp,21.33267,306,95.03969,29.53312,31.07452,36.46641,412.72603,13.97502,0.09651,0.35055,0.97818,283,23,11.18213,-10.93916,27.46422,54.32444,65.50656,57.15974,68.92548,,,,,,,,,,,,47.96865,0.58305,0.14311,0.31743,2.17134,1.72907,8.50782,
2n13_98-96cm_20um_rec_voi_1035.bmp,21.31208,328,95.03969,30.21985,31.79709,36.46641,419.85251,13.89327,0.09213,0.34250,1.75966,313,15,10.86126,-19.10192,26.43858,53.95857,64.81984,56.77478,68.20291,,,,,,,,,,,,48.93891,0.55369,0.14395,0.30877,2.20883,1.74150,9.34646,
2n13_98-96cm_20um_rec_voi_1034.bmp,21.29149,316,95.03969,30.96133,32.57726,36.46641,427.15821,13.79651,0.09798,0.35320,1.65564,300,16,11.03802,-18.25328,26.28140,53.04034,64.07836,55.80862,67.42274,,,,,,,,,,,,49.33640,0.52879,0.14496,0.30002,2.24726,1.74173,10.05803,
2n13_98-96cm_20um_rec_voi_1033.bmp,21.27090,301,95.03969,31.60142,33.25076,36.46641,428.15987,13.54875,0.10499,0.36562,1.90345,285,16,11.07618,-21.07541,25.95315,52.36209,63.43827,55.09497,66.74924,,,,,,,,,,,,48.89988,0.49954,0.14762,0.29633,2.25253,1.73375,9.96567,
2n13_98-96cm_20um_rec_voi_1032.bmp,21.25031,323,95.03969,32.27951,33.96424,36.46641,438.42709,13.58221,0.09994,0.35671,1.43184,312,11,11.40341,-16.31941,26.10496,51.35677,62.76018,54.03719,66.03576,,,,,,,,,,,,48.42471,0.47593,0.14725,0.28630,2.30655,1.75330,10.70988,
